## 1
## 김장훈은 이날 자신의 트위터에 “근 한달 만에 쉬는 날이라 테이큰3 다운받았는데 쌩뚱맞게 자막이 아랍어”라며 “슬프고 진지한 장면도 통~집중 안 된다”는 글과 함께 사진 네 장을 올렸다.
## <김장훈:PER>은 이날 자신의 <트위터:POH>에 “근 <한달 만:DUR>에 쉬는 날이라 <테이큰3:POH> 다운받았는데 쌩뚱맞게 자막이 아랍어”라며 “슬프고 진지한 장면도 통~집중 안 된다”는 글과 함께 사진 <네 장:NOH>을 올렸다.
김장훈	김장훈	NNP	B-PER
은	은	JX	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
자신	자신	NNG	O
의	의	JKG	O
_	_	_	O
트위터	트위터	NNP	B-POH
에	에	JKB	O
_	_	_	O
“	“	SS	O
근	근	MM	O
_	_	_	O
한	한	MM	B-DUR
달	달	NNB	I-DUR
_	_	_	I-DUR
만	만	NNB	I-DUR
에	에	JKB	O
_	_	_	O
쉬	쉬	VV	O
는	는	ETM	O
_	_	_	O
날	날	NNG	O
이	이	VCP	O
라	라	EC	O
_	_	_	O
테이	테이	NNP	B-POH
큰	크+ㄴ	VA+ETM	I-POH
3	3	SN	I-POH
_	_	_	O
다운	다운	NNG	O
받	받	VV	O
았	았	EP	O
는데	는데	EC	O
_	_	_	O
쌩	쌩	NNG	O
뚱	뚱	NNG	O
맞	맞	VV	O
게	게	EC	O
_	_	_	O
자막	자막	NNG	O
이	이	JKS	O
_	_	_	O
아랍어	아랍어	NNP	O
”	”+이	SS+VCP	O
라며	라며	EC	O
_	_	_	O
“	“	SS	O
슬프	슬프	VA	O
고	고	EC	O
_	_	_	O
진지한	진지하+ㄴ	VA+ETM	O
_	_	_	O
장면	장면	NNG	O
도	도	JX	O
_	_	_	O
통	통	NNG	O
~	~	SO	O
집중	집중	NNG	O
_	_	_	O
안	안	MAG	O
_	_	_	O
된다	되+ㄴ다	VV+EF	O
”	”	SS	O
는	는	JX	O
_	_	_	O
글	글	NNG	O
과	과	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
사진	사진	NNG	O
_	_	_	O
네	네	MM	B-NOH
_	_	_	I-NOH
장	장	NNB	I-NOH
을	을	JKO	O
_	_	_	O
올	올리	VV	O
렸	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 가맹점이 많지 않은 NFC방식이고 애플·삼성에 비해 시장 진출이 늦은 편이다.
## 가맹점이 많지 않은 NFC방식이고 <애플:ORG>·<삼성:ORG>에 비해 시장 진출이 늦은 편이다.
가맹점	가맹점	NNG	O
이	이	JKS	O
_	_	_	O
많	많	VA	O
지	지	EC	O
_	_	_	O
않	않	VX	O
은	은	ETM	O
_	_	_	O
NFC	NFC	SL	O
방식	방식	NNG	O
이	이	VCP	O
고	고	EC	O
_	_	_	O
애플	애플	NNP	B-ORG
·	·	SP	O
삼성	삼성	NNP	B-ORG
