## 1
## 김홍민 북스피어 대표는 “딱 1쇄만 찍기 때문에 독자들이 구하기 어렵다는 반응”이라며 “‘르 지라시’를 보기 위해 책을 구매한다는 독자들까지 생겼다”고 말했다.
## <김홍민:PER> <북스피어:ORG> 대표는 “딱 <1쇄:NOH>만 찍기 때문에 독자들이 구하기 어렵다는 반응”이라며 “‘<르 지라시:POH>’를 보기 위해 책을 구매한다는 독자들까지 생겼다”고 말했다.
김홍민	김홍민	NNP	B-PER
_	_	_	O
북	북	NNP	B-ORG
스피어	스피어	NNG	I-ORG
_	_	_	O
대표	대표	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
딱	딱	MAG	O
_	_	_	O
1	1	SN	B-NOH
쇄	쇄	NNG	I-NOH
만	만	JX	O
_	_	_	O
찍	찍	VV	O
기	기	ETN	O
_	_	_	O
때문	때문	NNB	O
에	에	JKB	O
_	_	_	O
독자	독자	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
구하	구하	VV	O
기	기	ETN	O
_	_	_	O
어렵	어렵	VA	O
다는	다는	ETM	O
_	_	_	O
반응	반응	NNG	O
”	”	SS	O
이	이	VCP	O
라며	라며	EC	O
_	_	_	O
“	“	SS	O
‘	‘	SS	O
르	르	NNP	B-POH
_	_	_	I-POH
지라시	지라시	NNG	I-POH
’	’	SS	O
를	를	JKO	O
_	_	_	O
보	보	VV	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
책	책	NNG	O
을	을	JKO	O
_	_	_	O
구매한다는	구매하+ㄴ다는	VV+ETM	O
_	_	_	O
독자	독자	NNG	O
들	들	XSN	O
까지	까지	JX	O
_	_	_	O
생	생기	VV	O
겼	었	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 같은 날 정 국장은 중국 환추스바오와의 인터뷰에서 "우리는 평화를 기구(祈求)하지 않을 것"이라며 추가 도발 가능성을 내비쳤다.
## 같은 날 <정:PER> 국장은 <중국 환추스바오:ORG>와의 인터뷰에서 "우리는 평화를 기구(祈求)하지 않을 것"이라며 추가 도발 가능성을 내비쳤다.
같	같	VA	O
은	은	ETM	O
_	_	_	O
날	날	NNG	O
_	_	_	O
정	정	NNP	B-PER
_	_	_	O
국장	국장	NNG	O
은	은	JX	O
_	_	_	O
중국	중국	NNP	B-ORG
_	_	_	I-ORG
환추	환추	NNP	I-ORG
스바	스바	NNP	I-ORG
오	오	NNP	I-ORG
와	와	JKB	O
의	의	JKG	O
_	_	_	O
인터뷰	인터뷰	NNG	O
에서	에서	JKB	O
_	_	_	O
"	"	SS	O
우리	우리	NP	O
는	는	JX	O
_	_	_	O
평화	평화	NNG	O
를	를	JKO	O
_	_	_	O
기구	기구	NNG	O
(	(	SS	O
祈求	祈求	SH	O
)	)	SS	O
하	하	XSV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
을	을	ETM	O
_	_	_	O
것	것	NNB	O
"	"	SS	O
이	이	VCP	O
라며	라며	EC	O
_	_	_	O
추가	추가	NNG	O
_	_	_	O
도발	도발	NNG	O
_	_	_	O
가능성	가능성	NNG	O
을	을	JKO	O
_	_	_	O
내비	내비치	VV	O
쳤	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 드롭탑, 커피와 잘 어울리는 식사대용 신 메뉴 3종 출시
## <드롭탑:ORG>, 커피와 잘 어울리는 식사대용 신 메뉴 <3종:NOH> 출시
드롭	드롭	NNG	B-ORG
탑	탑	NNG	I-ORG
,	,	SP	O
_	_	_	O
커피	커피	NNG	O
와	와	JKB	O
_	_	_	O
잘	잘	MAG	O
_	_	_	O
어울리	어울리	VV	O
는	는	ETM	O
_	_	_	O
식사	식사	NNG	O
대용	대용	NNG	O
_	_	_	O
신	신	NNG	O
_	_	_	O
메뉴	메뉴	NNG	O
_	_	_	O
3	3	SN	B-NOH
종	종	NNG	I-NOH
_	_	_	O
출시	출시	NNG	O

## 4
## 8일 보건복지부 중앙메르스대책본부는 메르스 확진 환자가 경유한 병원 5곳을 추가로 공개했다.
## <8일:DAT> <보건복지부 중앙메르스대책본부:ORG>는 <메르스:POH> 확진 환자가 경유한 병원 <5곳:NOH>을 추가로 공개했다.
8	8	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
보건복지부	보건복지부	NNG	B-ORG
_	_	_	I-ORG
중앙	중앙	NNG	I-ORG
메르스	메르스	NNG	I-ORG
대책	대책	NNG	I-ORG
본부	본부	NNG	I-ORG
는	는	JX	O
_	_	_	O
메르스	메르스	NNG	B-POH
_	_	_	O
확진	확진	NNG	O
_	_	_	O
환자	환자	NNG	O
가	가	JKS	O
_	_	_	O
경유한	경유하+ㄴ	VV+ETM	O
_	_	_	O
병원	병원	NNG	O
_	_	_	O
5	5	SN	B-NOH
곳	곳	NNG	I-NOH
을	을	JKO	O
_	_	_	O
추가	추가	NNG	O
로	로	JKB	O
_	_	_	O
공개	공개하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 1988년 서울올림픽에 소련을 비롯한 공산권 국가가 대거 참가한 것을 계기로 한국과 이들 나라의 문화 교류에 물꼬가 트이자 이듬해 고려극장도 창단 57년 만에 고국 나들이에 나섰다.
## <1988년:DAT> <서울올림픽:POH>에 <소련:ORG>을 비롯한 공산권 국가가 대거 참가한 것을 계기로 <한국:ORG>과 이들 나라의 문화 교류에 물꼬가 트이자 이듬해 <고려극장:ORG>도 창단 <57년 만:DUR>에 고국 나들이에 나섰다.
1988	1988	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
서울	서울	NNP	B-POH
올림픽	올림픽	NNG	I-POH
에	에	JKB	O
_	_	_	O
소련	소련	NNP	B-ORG
을	을	JKO	O
_	_	_	O
비롯한	비롯하+ㄴ	VV+ETM	O
_	_	_	O
공산권	공산권	NNG	O
_	_	_	O
국가	국가	NNG	O
가	가	JKS	O
_	_	_	O
대거	대거	MAG	O
_	_	_	O
참가한	참가하+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
을	을	JKO	O
_	_	_	O
계기	계기	NNG	O
로	로	JKB	O
_	_	_	O
한국	한국	NNP	B-ORG
과	과	JC	O
_	_	_	O
이	이	NP	O
들	들	XSN	O
_	_	_	O
나라	나라	NNG	O
의	의	JKG	O
_	_	_	O
문화	문화	NNG	O
_	_	_	O
교류	교류	NNG	O
에	에	JKB	O
_	_	_	O
물꼬	물꼬	NNG	O
가	가	JKS	O
_	_	_	O
트이	트이	VV	O
자	자	EC	O
_	_	_	O
이듬해	이듬해	NNG	O
_	_	_	O
고려	고려	NNP	B-ORG
극장	극장	NNG	I-ORG
도	도	JX	O
_	_	_	O
창단	창단	NNG	O
_	_	_	O
57	57	SN	B-DUR
년	년	NNB	I-DUR
_	_	_	I-DUR
만	만	NNB	I-DUR
에	에	JKB	O
_	_	_	O
고국	고국	NNG	O
_	_	_	O
나들이	나들이	NNG	O
에	에	JKB	O
_	_	_	O
나섰	나서+었	VV+EP	O
다	다	EF	O
.	.	SF	O

## 6
## 이 병원을 찾는 산모 10명 중 4명은 입원 기간 내내 머리를 안 감는다고 한다.
## 이 병원을 찾는 산모 <10명:NOH> 중 <4명:NOH>은 입원 기간 내내 머리를 안 감는다고 한다.
이	이	MM	O
_	_	_	O
병원	병원	NNG	O
을	을	JKO	O
_	_	_	O
찾	찾	VV	O
는	는	ETM	O
_	_	_	O
산모	산모	NNG	O
_	_	_	O
10	10	SN	B-NOH
명	명	NNB	I-NOH
_	_	_	O
중	중	NNB	O
_	_	_	O
4	4	SN	B-NOH
명	명	NNB	I-NOH
은	은	JX	O
_	_	_	O
입원	입원	NNG	O
_	_	_	O
기간	기간	NNG	O
_	_	_	O
내내	내내	MAG	O
_	_	_	O
머리	머리	NNG	O
를	를	JKO	O
_	_	_	O
안	안	MAG	O
_	_	_	O
감	감	VV	O
는다고	는다고	EC	O
_	_	_	O
한다	하+ㄴ다	VV+EF	O
.	.	SF	O

## 7
## 한국의 고고도미사일방어(THAADㆍ사드) 체계 배치에 따른 중국의 경제 보복에도 항공ㆍ여행주는 꿋꿋하다.
## <한국:ORG>의 <고고도미사일방어:POH>(<THAADㆍ사드:POH>) 체계 배치에 따른 <중국:ORG>의 경제 보복에도 항공ㆍ여행주는 꿋꿋하다.
한국	한국	NNP	B-ORG
의	의	JKG	O
_	_	_	O
고고도	고고도	NNG	B-POH
미사일	미사일	NNG	I-POH
방어	방어	NNG	I-POH
(	(	SS	O
THAAD	THAAD	SL	B-POH
ㆍ	ㆍ	SP	I-POH
사드	사드	NNP	I-POH
)	)	SS	O
_	_	_	O
체계	체계	NNG	O
_	_	_	O
배치	배치	NNG	O
에	에	JKB	O
_	_	_	O
따른	따르+ㄴ	VV+ETM	O
_	_	_	O
중국	중국	NNP	B-ORG
의	의	JKG	O
_	_	_	O
경제	경제	NNG	O
_	_	_	O
보복	보복	NNG	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
항공	항공	NNG	O
ㆍ	ㆍ	SP	O
여행	여행	NNG	O
주	주	NNG	O
는	는	JX	O
_	_	_	O
꿋꿋하	꿋꿋하	VA	O
다	다	EF	O
.	.	SF	O

## 8
## 신성통상의 탑텐(TOPTEN)이 론칭 3주년을 맞이해 ‘3주년 기념 특가’ 프로모션을 진행하고 있다.
## <신성통상:ORG>의 <탑텐:POH>(<TOPTEN:POH>)이 론칭 <3주년:NOH>을 맞이해 ‘<3주년:NOH> 기념 특가’ 프로모션을 진행하고 있다.
신성	신성	NNG	B-ORG
통상	통상	NNG	I-ORG
의	의	JKG	O
_	_	_	O
탑	탑	NNG	B-POH
텐	터+이	NNB+VCP	I-POH
(	(	SS	O
TOPTEN	TOPTEN	SL	B-POH
)	)	SS	O
이	이	JKS	O
_	_	_	O
