## 1
## 최악의 경제상황에 BBQ는 위기를 성장의 발판으로 도약했다.대박 터뜨린 ‘올리브 럭셔리 치킨’ 윤 회장에게 닥친 가장 큰 시련은 2003년의 AI 파동이었다.
## 최악의 경제상황에 <BBQ:ORG>는 위기를 성장의 발판으로 도약했다.대박 터뜨린 ‘올리브 럭셔리 치킨’ <윤:PER> 회장에게 닥친 가장 큰 시련은 <2003년:DAT>의 <AI 파동:POH>이었다.
최악	최악	NNG	O
의	의	JKG	O
_	_	_	O
경제	경제	NNG	O
상황	상황	NNG	O
에	에	JKB	O
_	_	_	O
BBQ	BBQ	SL	B-ORG
는	는	JX	O
_	_	_	O
위기	위기	NNG	O
를	를	JKO	O
_	_	_	O
성장	성장	NNG	O
의	의	JKG	O
_	_	_	O
발판	발판	NNG	O
으로	으로	JKB	O
_	_	_	O
도약	도약하	VV	O
했	었	EP	O
다	다	EF	O
.	.	SF	O
대박	대박	NNG	O
_	_	_	O
터뜨린	터뜨리+ㄴ	VV+ETM	O
_	_	_	O
‘	‘	SS	O
올리브	올리브	NNP	O
_	_	_	O
럭셔리	럭셔리	NNG	O
_	_	_	O
치킨	치킨	NNG	O
’	’	SS	O
_	_	_	O
윤	윤	NNP	B-PER
_	_	_	O
회장	회장	NNG	O
에게	에게	JKB	O
_	_	_	O
닥친	닥치+ㄴ	VV+ETM	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
큰	크+ㄴ	VA+ETM	O
_	_	_	O
시련	시련	NNG	O
은	은	JX	O
_	_	_	O
2003	2003	SN	B-DAT
년	년	NNB	I-DAT
의	의	JKG	O
_	_	_	O
AI	AI	SL	B-POH
_	_	_	I-POH
파동	파동	NNG	I-POH
이	이	VCP	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 이 트럭들은 모두 차이냐오의 물류정보 시스템에 등록된 차량들. 티몰, 타오바오 등에 주문이 접수되면 물류정보 시스템을 통해 택배사별 배송 역량과 지역별 주문량 등이 계산돼 자동으로 각 회사에 배달 물량이 할당된다.
## 이 트럭들은 모두 <차이냐오:ORG>의 물류정보 시스템에 등록된 차량들. <티몰:ORG>, <타오바오:PER> 등에 주문이 접수되면 물류정보 시스템을 통해 택배사별 배송 역량과 지역별 주문량 등이 계산돼 자동으로 각 회사에 배달 물량이 할당된다.
이	이	MM	O
_	_	_	O
트럭	트럭	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
모두	모두	MAG	O
_	_	_	O
차이냐오	차이냐오	NNG	B-ORG
의	의	JKG	O
_	_	_	O
물류	물류	NNG	O
정보	정보	NNG	O
_	_	_	O
시스템	시스템	NNG	O
에	에	JKB	O
_	_	_	O
등록된	등록되+ㄴ	VV+ETM	O
_	_	_	O
차량	차량	NNG	O
들	들	XSN	O
.	.	SF	O
_	_	_	O
티몰	티몰	NNG	B-ORG
,	,	SP	O
_	_	_	O
타오바오	타오바오	NNP	B-PER
_	_	_	O
등	등	NNB	O
에	에	JKB	O
_	_	_	O
주문	주문	NNG	O
이	이	JKS	O
_	_	_	O
접수되	접수되	VV	O
면	면	EC	O
_	_	_	O
물류	물류	NNG	O
정보	정보	NNG	O
_	_	_	O
시스템	시스템	NNG	O
을	을	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
택배사	택배사	NNP	O
별	별	XSN	O
_	_	_	O
배송	배송	NNG	O
_	_	_	O
역량	역량	NNG	O
과	과	JC	O
_	_	_	O
지역	지역	NNG	O
별	별	XSN	O
_	_	_	O
주문	주문	NNG	O
량	량	NNG	O
_	_	_	O
등	등	NNB	O
이	이	JKS	O
_	_	_	O
계산돼	계산되+어	VV+EC	O
_	_	_	O
자동	자동	NNG	O
으로	으로	JKB	O
_	_	_	O
각	각	MM	O
_	_	_	O
회사	회사	NNG	O
에	에	JKB	O
_	_	_	O
배달	배달	NNG	O
_	_	_	O
물량	물량	NNG	O
이	이	JKS	O
_	_	_	O
할당된다	할당되+ㄴ다	VV+EF	O
.	.	SF	O

## 3
## 이성·동성 커플 어느 쪽이나 쓸 수 있는 말이라는 것.이 밖에 “국민의당은 이 현수막으로 무슨 메시지를 전달하고자 했던 것인지 궁금하다”는 이들이 많았다.‘어떤 식으로 해석하느냐’ 문제 이전에 중의적으로 읽힐 수 있는 글을 써 현수막을 내건 의도 전달에 실패했다는 지적도 있다.
