## 1
## 동년배로서 CSIS의 이사회 멤버인 틸러슨과 오랜 기간에 걸쳐 다양한 현안과 정책을 터놓고 상의해 온 사이다.
## 동년배로서 <CSIS:ORG>의 이사회 멤버인 <틸러슨:PER>과 오랜 기간에 걸쳐 다양한 현안과 정책을 터놓고 상의해 온 사이다.
동년배	동년배	NNG	O
로서	로서	JKB	O
_	_	_	O
CSIS	CSIS	SL	B-ORG
의	의	JKG	O
_	_	_	O
이사회	이사회	NNG	O
_	_	_	O
멤버	멤버	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
틸러슨	틸러슨	NNG	B-PER
과	과	JC	O
_	_	_	O
오랜	오랜	MM	O
_	_	_	O
기간	기간	NNG	O
에	에	JKB	O
_	_	_	O
걸쳐	걸치+어	VV+EC	O
_	_	_	O
다양한	다양하+ㄴ	VA+ETM	O
_	_	_	O
현안	현안	NNG	O
과	과	JC	O
_	_	_	O
정책	정책	NNG	O
을	을	JKO	O
_	_	_	O
터놓	터놓	VV	O
고	고	EC	O
_	_	_	O
상의해	상의하+여	VV+EC	O
_	_	_	O
온	오+ㄴ	VX+ETM	O
_	_	_	O
사	사이	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 명지신도시 중심부에 들어서며 단지 옆으로 서부산 법조타운(2018년 예정), 부산시민공원의 1.7배인 대규모 생태공원이 예정됐다.
## <명지신도시:LOC> 중심부에 들어서며 단지 옆으로 <서부산 법조타운:LOC>(<2018년:DAT> 예정), <부산시민공원:LOC>의 <1.7배:PNT>인 대규모 생태공원이 예정됐다.
명지	명지	NNP	B-LOC
신도시	신도시	NNG	I-LOC
_	_	_	O
중심부	중심부	NNG	O
에	에	JKB	O
_	_	_	O
들어서	들어서	VV	O
며	며	EC	O
_	_	_	O
단지	단지	NNG	O
_	_	_	O
옆	옆	NNG	O
으로	으로	JKB	O
_	_	_	O
서부산	서부산	NNP	B-LOC
_	_	_	I-LOC
법조타운	법조타운	NNG	I-LOC
(	(	SS	O
2018	2018	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
예정	예정	NNG	O
)	)	SS	O
,	,	SP	O
_	_	_	O
부산	부산	NNP	B-LOC
시민	시민	NNG	I-LOC
공원	공원	NNG	I-LOC
의	의	JKG	O
_	_	_	O
1.7	1.7	SN	B-PNT
배	배	NNG	I-PNT
인	이+ㄴ	VCP+ETM	O
_	_	_	O
대규모	대규모	NNG	O
_	_	_	O
생태	생태	NNG	O
공원	공원	NNG	O
이	이	JKS	O
_	_	_	O
예정	예정되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 에디터 김민숙, 김수석 포토그래퍼 김현진 추석명절의 대표음식인 송편, 나물, 생선, 각종 전 등은 단백질, 탄수화물, 지방의 3대 영양소와 비타민, 무기질이 골고루 분포한 ‘균형 잡힌 영양음식’이지만, 이들 대부분이 기름에 굽거나 볶거나 무치는 방식으로 조리돼 열량이 높다.
## 에디터 <김민숙:PER>, <김수석:PER> 포토그래퍼 <김현진:PER> <추석:DAT>명절의 대표음식인 송편, 나물, 생선, 각종 전 등은 단백질, 탄수화물, 지방의 <3대:NOH> 영양소와 비타민, 무기질이 골고루 분포한 ‘균형 잡힌 영양음식’이지만, 이들 대부분이 기름에 굽거나 볶거나 무치는 방식으로 조리돼 열량이 높다.
에디터	에디터	NNG	O
_	_	_	O
김민숙	김민숙	NNP	B-PER
,	,	SP	O
_	_	_	O
김	김	NNP	B-PER
수석	수석	NNG	I-PER
_	_	_	O
포토	포토	NNG	O
그래퍼	그래퍼	NNG	O
_	_	_	O
김현진	김현진	NNP	B-PER
_	_	_	O
추석	추석	NNG	B-DAT
명절	명절	NNG	O
의	의	JKG	O
_	_	_	O
대표	대표	NNG	O
음식	음식	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
송편	송편	NNG	O
,	,	SP	O
_	_	_	O
나물	나물	NNG	O
,	,	SP	O
_	_	_	O
생선	생선	NNG	O
,	,	SP	O
_	_	_	O
각종	각종	NNG	O
_	_	_	O
전	전	NNG	O
_	_	_	O
등	등	NNB	O
은	은	JX	O
_	_	_	O
단백질	단백질	NNG	O
,	,	SP	O
_	_	_	O
탄수화물	탄수화물	NNG	O
,	,	SP	O
_	_	_	O
지방	지방	NNG	O
의	의	JKG	O
_	_	_	O
3	3	SN	B-NOH
대	대	NNG	I-NOH
_	_	_	O
영양소	영양소	NNG	O
와	와	JC	O
_	_	_	O
비타민	비타민	NNG	O
,	,	SP	O
_	_	_	O
무기질	무기질	NNG	O
이	이	JKS	O
_	_	_	O
골고루	골고루	MAG	O
_	_	_	O
분포한	분포하+ㄴ	VV+ETM	O
_	_	_	O
‘	‘	SS	O
균형	균형	NNG	O
_	_	_	O
잡힌	잡히+ㄴ	VV+ETM	O
_	_	_	O
영양	영양	NNG	O
음식	음식	NNG	O
’	’	SS	O
이	이	VCP	O
지만	지만	EC	O
,	,	SP	O
_	_	_	O
이	이	NP	O
들	들	XSN	O
_	_	_	O
대부분	대부분	NNG	O
이	이	JKS	O
_	_	_	O
기름	기름	NNG	O
에	에	JKB	O
_	_	_	O
