## 1
## 파리바게뜨는 모든 NBCI 평가요인에서 상승세를 보이며 리딩브랜드로서의 입지를 강화했다.
## <파리바게뜨:ORG>는 모든 NBCI 평가요인에서 상승세를 보이며 리딩브랜드로서의 입지를 강화했다.
파리바게뜨	파리바게뜨	NNP	B-ORG
는	는	JX	O
_	_	_	O
모든	모든	MM	O
_	_	_	O
NBCI	NBCI	SL	O
_	_	_	O
평가	평가	NNG	O
요인	요인	NNG	O
에서	에서	JKB	O
_	_	_	O
상승세	상승세	NNG	O
를	를	JKO	O
_	_	_	O
보이	보이	VV	O
며	며	EC	O
_	_	_	O
리딩	리딩	NNG	O
브랜드	브랜드	NNG	O
로서	로서	JKB	O
의	의	JKG	O
_	_	_	O
입지	입지	NNG	O
를	를	JKO	O
_	_	_	O
강화	강화하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 방송대 프라임칼리지,100% 온라인 교육과정으로 평생교육 실현
## <방송대 프라임칼리지:ORG>,<100%:PNT> 온라인 교육과정으로 평생교육 실현
방송대	방송대	NNP	B-ORG
_	_	_	I-ORG
프라임	프라임	NNG	I-ORG
칼리지	칼리지	NNG	I-ORG
,	,	SP	O
100	100	SN	B-PNT
%	%	SW	I-PNT
_	_	_	O
온라인	온라인	NNG	O
_	_	_	O
교육	교육	NNG	O
과정	과정	NNG	O
으로	으로	JKB	O
_	_	_	O
평생	평생	NNG	O
교육	교육	NNG	O
_	_	_	O
실현	실현	NNG	O

## 3
## 오 마이 비너스, 소지섭-성훈-헨리 ‘한 지붕 세 남자’ 식사 사진 공개16일 첫 방송 예정인 KBS 드라마‘오 마이 비너스’ 소지섭-성훈- 헨리의 촬영 현장 모습이 공개됐다.
## <오 마이 비너스:POH>, <소지섭:PER>-<성훈:PER>-<헨리:PER> ‘한 지붕 세 남자’ 식사 사진 공개<16일:DAT> 첫 방송 예<정인:PER> <KBS:ORG> 드라마‘<오 마이 비너스:POH>’ <소지섭:PER>-<성훈:PER>- <헨리:PER>의 촬영 현장 모습이 공개됐다.
오	오	IC	B-POH
_	_	_	I-POH
마이	마이	NNG	I-POH
_	_	_	I-POH
비너스	비너스	NNP	I-POH
,	,	SP	O
_	_	_	O
소	소	NNG	B-PER
지섭	지섭	NNP	I-PER
-	-	SO	O
성훈	성훈	NNP	B-PER
-	-	SO	O
헨리	헨리	NNP	B-PER
_	_	_	O
‘	‘	SS	O
한	한	MM	O
_	_	_	O
지붕	지붕	NNG	O
_	_	_	O
세	세	MM	O
_	_	_	O
남자	남자	NNG	O
’	’	SS	O
_	_	_	O
식사	식사	NNG	O
_	_	_	O
사진	사진	NNG	O
_	_	_	O
공개	공개	NNG	O
16	16	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
첫	첫	MM	O
_	_	_	O
방송	방송	NNG	O
_	_	_	O
예정	예정	NNG	B-PER
인	이+ㄴ	VCP+ETM	I-PER
_	_	_	O
KBS	KBS	SL	B-ORG
_	_	_	O
드라마	드라마	NNG	O
‘	‘	SS	O
오	오	NNP	B-POH
_	_	_	I-POH
마이	마이	NNG	I-POH
_	_	_	I-POH
비너스	비너스	NNP	I-POH
’	’	SS	O
_	_	_	O
소	소	NNG	B-PER
지섭	지섭	NNP	I-PER
-	-	SO	O
성훈	성훈	NNP	B-PER
-	-	SO	O
_	_	_	O
헨리	헨리	NNP	B-PER
의	의	JKG	O
_	_	_	O
촬영	촬영	NNG	O
_	_	_	O
