## 1
## 프로골퍼 장하나가 ‘파4 홀인원’이라는 진기록을 세웠다.
## 프로골퍼 <장하나:PER>가 ‘<파4:NOH> 홀인원’이라는 진기록을 세웠다.
프로	프로	NNG	O
골퍼	골퍼	NNG	O
_	_	_	O
장하나	장하나	NNP	B-PER
가	가	JKS	O
_	_	_	O
‘	‘	SS	O
파	파	NNG	B-NOH
4	4	SN	I-NOH
_	_	_	O
홀인원	홀인원	NNG	O
’	’	SS	O
이	이	VCP	O
라는	라는	ETM	O
_	_	_	O
진	진	XPN	O
기록	기록	NNG	O
을	을	JKO	O
_	_	_	O
세	세우	VV	O
웠	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## '복면가왕' 윤형빈, 상상초월 가창력 어떤가 봤더니'복면가왕' 바람의 정체는 윤형빈으로 밝혀졌다.
## '<복면가왕:POH>' <윤형빈:PER>, 상상초월 가창력 어떤가 봤더니'<복면가왕:POH>' <바람:PER>의 정체는 <윤형빈:PER>으로 밝혀졌다.
'	'	SS	O
복면	복면	NNG	B-POH
가왕	가왕	NNG	I-POH
'	'	SS	O
_	_	_	O
윤형빈	윤형빈	NNP	B-PER
,	,	SP	O
_	_	_	O
상상	상상	NNG	O
초월	초월	NNG	O
_	_	_	O
가창력	가창력	NNG	O
_	_	_	O
어떤가	어떻+ㄴ가	VA+EC	O
_	_	_	O
봤	+았	+EP	O
더니	더니	EF	O
'	'	SS	O
복면	복면	NNG	B-POH
가왕	가왕	NNG	I-POH
'	'	SS	O
_	_	_	O
바람	바람	NNG	B-PER
의	의	JKG	O
_	_	_	O
정체	정체	NNG	O
는	는	JX	O
_	_	_	O
윤형빈	윤형빈	NNP	B-PER
으로	으로	JKB	O
_	_	_	O
밝혀	밝혀지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 특히 28일 방송된 최종화에서는 도경이 해영을 번쩍 들고 도경의 방 이곳저곳에서 키스를 나누는 장면으로 눈길을 모았다.
## 특히 <28일:DAT> 방송된 최종화에서는 <도경:PER>이 <해영:PER>을 번쩍 들고 <도경:PER>의 방 이곳저곳에서 키스를 나누는 장면으로 눈길을 모았다.
특히	특히	MAG	O
_	_	_	O
28	28	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
방송된	방송되+ㄴ	VV+ETM	O
_	_	_	O
최종화	최종화	NNP	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
도경이	도경이	NNP	O
_	_	_	O
해영	해영	NNP	B-PER
을	을	JKO	O
_	_	_	O
번쩍	번쩍	MAG	O
_	_	_	O
들	들	VV	O
고	고	EC	O
_	_	_	O
도경	도경	NNG	B-PER
의	의	JKG	O
_	_	_	O
방	방	NNG	O
_	_	_	O
이곳저곳	이곳저곳	NNG	O
에서	에서	JKB	O
_	_	_	O
키스	키스	NNG	O
를	를	JKO	O
_	_	_	O
나누	나누	VV	O
는	는	ETM	O
_	_	_	O
장면	장면	NNG	O
으로	으로	JKB	O
_	_	_	O
눈길	눈길	NNG	O
을	을	JKO	O
_	_	_	O
모	모으	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 중앙선거관리위원회와 중앙일보가 ‘참여하는 시민, 꽃피는 민주주의’를 주제로 강연 콘테스트를 개최합니다.
## <중앙선거관리위원회:ORG>와 <중앙일보:ORG>가 ‘<참여하는 시민, 꽃피는 민주주의:POH>’를 주제로 강연 콘테스트를 개최합니다.
중앙선거관리위원회	중앙선거관리위원회	NNG	B-ORG
와	와	JC	O
_	_	_	O
중앙일보	중앙일보	NNP	B-ORG
가	가	JKS	O
_	_	_	O
‘	‘	SS	O
참여하	참여하	VV	B-POH
는	는	ETM	I-POH
_	_	_	I-POH
시민	시민	NNG	I-POH
,	,	SP	I-POH
_	_	_	I-POH
꽃피	꽃피	VV	I-POH
는	는	ETM	I-POH
