## 1
## PC온라인게임 부문 최고 기대작 중 하나인 스마일게이트의 ‘로스트아크’도 내년 상반기 내 첫 테스트를 할 것으로 보인다.
## PC온라인게임 부문 최고 기대작 중 <하나:NOH>인 <스마일게이트:ORG>의 ‘<로스트아크:POH>’도 내년 상반기 내 첫 테스트를 할 것으로 보인다.
PC	PC	SL	O
온라인	온라인	NNG	O
게임	게임	NNG	O
_	_	_	O
부문	부문	NNG	O
_	_	_	O
최고	최고	NNG	O
_	_	_	O
기대	기대	NNG	O
작	작	XSN	O
_	_	_	O
중	중	NNB	O
_	_	_	O
하나	하나	NNG	B-NOH
인	이+ㄴ	VCP+ETM	O
_	_	_	O
스마일	스마일	NNG	B-ORG
게이트	게이트	NNG	I-ORG
의	의	JKG	O
_	_	_	O
‘	‘	SS	O
로스트	로스트	NNG	B-POH
아크	아크	NNG	I-POH
’	’	SS	O
도	도	JX	O
_	_	_	O
내년	내년	NNG	O
_	_	_	O
상반기	상반기	NNG	O
_	_	_	O
내	나+의	NP+JKG	O
_	_	_	O
첫	첫	MM	O
_	_	_	O
테스트	테스트	NNG	O
를	를	JKO	O
_	_	_	O
할	하+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
보인다	보이+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## ‘미라클 벨리에’(12세 이상)는 청각장애가 있는 가족들 중 유일하게 듣고 말할 수 있는 소녀 폴라(루안 에므라)가 주인공이다.
## ‘<미라클 벨리에:POH>’(<12세:NOH> 이상)는 청각장애가 있는 가족들 중 유일하게 듣고 말할 수 있는 소녀 <폴라:PER>(<루안 에므라:PER>)가 주인공이다.
‘	‘	SS	O
미라클	미라클	NNP	B-POH
_	_	_	I-POH
벨리	벨리	NNG	I-POH
에	에	JKB	I-POH
’	’	SS	O
(	(	SS	O
12	12	SN	B-NOH
세	세	NNB	I-NOH
_	_	_	O
이상	이상	NNG	O
)	)	SS	O
는	는	JX	O
_	_	_	O
청각	청각	NNG	O
장애	장애	NNG	O
가	가	JKS	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
가족	가족	NNG	O
들	들	XSN	O
_	_	_	O
중	중	NNB	O
_	_	_	O
유일하	유일하	VA	O
게	게	EC	O
_	_	_	O
듣	듣	VV	O
고	고	EC	O
_	_	_	O
말할	말하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
소녀	소녀	NNG	O
_	_	_	O
폴라	폴라	NNP	B-PER
(	(	SS	O
루안	루안	NNG	B-PER
_	_	_	I-PER
에므	에므+이	NNG+VCP	I-PER
라	라	EF	I-PER
)	)	SS	O
가	가	JKS	O
_	_	_	O
주인공	주인공	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 3
## 주진우 김어준 항소심도 무죄, 朴대통령 명예훼손 vs 언론의 자유…재판부 입장보니?
## <주진우:PER> <김어준:PER> 항소심도 무죄, <朴:PER>대통령 명예훼손 vs 언론의 자유…재판부 입장보니?
주진우	주진우	NNP	B-PER
_	_	_	O
김어준	김어준	NNP	B-PER
_	_	_	O
항소심	항소심	NNG	O
도	도	JX	O
_	_	_	O
무죄	무죄	NNG	O
,	,	SP	O
_	_	_	O
朴	朴	SH	B-PER
대통령	대통령	NNG	O
_	_	_	O
명예	명예	NNG	O
훼손	훼손	NNG	O
_	_	_	O
vs	vs	SL	O
_	_	_	O
언론	언론	NNG	O
의	의	JKG	O
_	_	_	O
자유	자유	NNG	O
…	…	SE	O
재판부	재판부	NNG	O
_	_	_	O
입장	입장	NNG	O
보	보	VV	O
니	니	EF	O
?	?	SF	O

## 4
## 먼저 자신을 물심양면 챙겨주겠다던 황진이(황우슬혜 분)는 예상외의 텃세를 부려 박하나를 힘들게 했다.
## 먼저 자신을 물심양면 챙겨주겠다던 <황진이:PER>(<황우슬혜:PER> 분)는 예상외의 텃세를 부려 <박하나:PER>를 힘들게 했다.
먼저	먼저	MAG	O
_	_	_	O
자신	자신	NNG	O
을	을	JKO	O
_	_	_	O
물심양면	물심양면	NNG	O
_	_	_	O
챙겨	챙기+어	VV+EC	O
주	주	VX	O
겠	겠	EP	O
다던	다던	ETM	O
_	_	_	O
황진이	황진이	NNP	B-PER
(	(	SS	O
황우슬혜	황우슬혜	NNG	B-PER
_	_	_	O
분	분	NNB	O
)	)	SS	O
는	는	JX	O
_	_	_	O
예상외	예상외	NNG	O
의	의	JKG	O
_	_	_	O
텃세	텃세	NNG	O
를	를	JKO	O
_	_	_	O
부려	부리+어	VV+EC	O
_	_	_	O
박하나	박하나	NNP	B-PER
를	를	JKO	O
_	_	_	O
힘들	힘들	VA	O
게	게	EC	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 5
## 케이블 3사(KBSN스포츠·MBC스포츠플러스·SBS스포츠)가 중계한 한화 경기는 최고 시청률 2%를 돌파했다.
## 케이블 <3사:NOH>(<KBSN스포츠:POH>·<MBC스포츠플러스:POH>·<SBS스포츠:POH>)가 중계한 <한화:ORG> 경기는 최고 시청률 <2%:PNT>를 돌파했다.
케이블	케이블	NNG	O
_	_	_	O
3	3	SN	B-NOH
사	사	NNG	I-NOH
(	(	SS	O
KBSN	KBSN	SL	B-POH
스포츠	스포츠	NNG	I-POH
·	·	SP	O
MBC	MBC	SL	B-POH
스포츠	스포츠	NNG	I-POH
플러스	플러스	NNG	I-POH
·	·	SP	O
SBS	SBS	SL	B-POH
스포츠	스포츠	NNG	I-POH
)	)	SS	O
가	가	JKS	O
_	_	_	O
중계한	중계하+ㄴ	VV+ETM	O
_	_	_	O
한화	한화	NNP	B-ORG
_	_	_	O
경기	경기	NNG	O
는	는	JX	O
_	_	_	O
최고	최고	NNG	O
_	_	_	O
시청률	시청률	NNG	O
_	_	_	O
2	2	SN	B-PNT
%	%	SW	I-PNT
를	를	JKO	O
_	_	_	O
돌파	돌파하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 스카이반은 남녀 분반 시스템, 레벨-업 수업, 369 상담관리 시스템, 국·수·영 책임지도교수제를 운영한다.
## 스카이반은 남녀 분반 시스템, 레벨-업 수업, <369 상담관리 시스템:POH>, 국·수·영 책임지도교수제를 운영한다.
스카이	스카이	NNG	O
반	반	NNG	O
은	은	JX	O
_	_	_	O
남녀	남녀	NNG	O
_	_	_	O
분반	분반	NNG	O
_	_	_	O
시스템	시스템	NNG	O
,	,	SP	O
_	_	_	O
레벨	레벨	NNG	O
-	-	SO	O
업	업	NNG	O
_	_	_	O
수업	수업	NNG	O
,	,	SP	O
_	_	_	O
369	369	SN	B-POH
_	_	_	I-POH
상담	상담	NNG	I-POH
관리	관리	NNG	I-POH
_	_	_	I-POH
시스템	시스템	NNG	I-POH
,	,	SP	O
_	_	_	O
국	국	NNG	O
·	·	SP	O
수	수	NNG	O
·	·	SP	O
영	영	NNG	O
_	_	_	O
책임	책임	NNG	O
지도	지도	NNG	O
교수	교수	NNG	O
제	제	XSN	O
를	를	JKO	O
_	_	_	O
운영한다	운영하+ㄴ다	VV+EF	O
.	.	SF	O

## 7
## 토트넘이 2200만파운드(약 400억원)의 거금을 들여 손흥민을 영입한 것은 전 소속팀 레버쿠젠(독일)에서 3시즌 연속 두 자릿수 득점을 올린 결정력에 주목했기 때문이다.
## <토트넘:ORG>이 <2200만파운드:MNY>(약 <400억원:MNY>)의 거금을 들여 <손흥민:PER>을 영입한 것은 전 소속팀 <레버쿠젠:ORG>(<독일:ORG>)에서 <3시즌:NOH> 연속 두 자릿수 득점을 올린 결정력에 주목했기 때문이다.
토트넘	토트넘	NNP	B-ORG
이	이	JKS	O
_	_	_	O
2200	2200	SN	B-MNY
만	만	NR	I-MNY
파운드	파운드	NNB	I-MNY
(	(	SS	O
약	약	MM	O
_	_	_	O
400	400	SN	B-MNY
억	억	NR	I-MNY
원	원	NNB	I-MNY
)	)	SS	O
의	의	JKG	O
_	_	_	O
거금	거금	NNG	O
을	을	JKO	O
_	_	_	O
들	들이	VV	O
여	어	EC	O
_	_	_	O
손흥민	손흥민	NNP	B-PER
을	을	JKO	O
_	_	_	O
영입한	영입하+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
은	은	JX	O
_	_	_	O
전	전	MM	O
_	_	_	O
소속	소속	NNG	O
팀	팀	NNG	O
_	_	_	O
레버쿠젠	레버쿠젠	NNP	B-ORG
(	(	SS	O
독일	독일	NNP	B-ORG
)	)	SS	O
에서	에서	JKB	O
_	_	_	O
3	3	SN	B-NOH
시즌	시즌	NNG	I-NOH
_	_	_	O
연속	연속	NNG	O
_	_	_	O
두	두	MM	O
_	_	_	O
자릿수	자릿수	NNG	O
_	_	_	O
득점	득점	NNG	O
을	을	JKO	O
_	_	_	O
올린	올리+ㄴ	VV+ETM	O
_	_	_	O
결정력	결정력	NNG	O
에	에	JKB	O
_	_	_	O
주목	주목하	VV	O
했	였	EP	O
기	기	ETN	O
_	_	_	O
때문	때문	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 8
## 파타고니아코리아 최우혁 부장은 “이번 할인 이벤트는 높은 활용도를 지닌 베이스 레이어 제품을 합리적인 가격에 만나볼 수 있는 좋은 기회가 될 것”이라며 “앞으로도 많은 고객들이 파타고니아의 우수한 제품력과 브랜드를 경험할 수 있도록 다양한 프로모션을 지속적으로 진행해 나가겠다”고 말했다.
## <파타고니아코리아:ORG> <최우혁:PER> 부장은 “이번 할인 이벤트는 높은 활용도를 지닌 베이스 레이어 제품을 합리적인 가격에 만나볼 수 있는 좋은 기회가 될 것”이라며 “앞으로도 많은 고객들이 <파타고니아:ORG>의 우수한 제품력과 브랜드를 경험할 수 있도록 다양한 프로모션을 지속적으로 진행해 나가겠다”고 말했다.
파타고니아	파타고니아	NNP	B-ORG
코리아	코리아	NNP	I-ORG
_	_	_	O
최우혁	최우혁	NNP	B-PER
_	_	_	O
부장	부장	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
이번	이번	NNG	O
_	_	_	O
할인	할인	NNG	O
_	_	_	O
이벤트	이벤트	NNG	O
는	는	JX	O
_	_	_	O
높	높	VA	O
은	은	ETM	O
_	_	_	O
활용	활용	NNG	O
도	도	NNG	O
를	를	JKO	O
_	_	_	O
지닌	지니+ㄴ	VV+ETM	O
_	_	_	O
베이스	베이스	NNG	O
_	_	_	O
레이어	레이어	NNG	O
_	_	_	O
제품	제품	NNG	O
을	을	JKO	O
_	_	_	O
합리적	합리적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
