## 1
## 또 평택 최초로 ‘대치동 명문학원 타운’을 유치했다.
## 또 <평택:LOC> 최초로 ‘대치동 명문학원 타운’을 유치했다.
또	또	MAG	O
_	_	_	O
평택	평택	NNP	B-LOC
_	_	_	O
최초	최초	NNG	O
로	로	JKB	O
_	_	_	O
‘	‘	SS	O
대치동	대치동	NNP	O
_	_	_	O
명문	명문	NNG	O
학원	학원	NNG	O
_	_	_	O
타운	타운	NNG	O
’	’	SS	O
을	을	JKO	O
_	_	_	O
유치	유치하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 한국관광공사가 현황을 집계한 1일부터 4일까지 예약취소 누적은 2만600명으로 전날의 1만1800여명에 비해 거의 두 배 가까이 늘어났다.
## <한국관광공사:ORG>가 현황을 집계한 <1일부터 4일:DUR>까지 예약취소 누적은 <2만600명:NOH>으로 전날의 <1만1800여명:NOH>에 비해 거의 <두 배:PNT> 가까이 늘어났다.
한국관광공사	한국관광공사	NNP	B-ORG
가	가	JKS	O
_	_	_	O
현황	현황	NNG	O
을	을	JKO	O
_	_	_	O
집계한	집계하+ㄴ	VV+ETM	O
_	_	_	O
1	1	SN	B-DUR
일	일	NNB	I-DUR
부터	부터	JX	I-DUR
_	_	_	I-DUR
4	4	SN	I-DUR
일	일	NNB	I-DUR
까지	까지	JX	O
_	_	_	O
예약	예약	NNG	O
취소	취소	NNG	O
_	_	_	O
누적	누적	NNG	O
은	은	JX	O
_	_	_	O
2	2	SN	B-NOH
만	만	NR	I-NOH
600	600	SN	I-NOH
명	명	NNB	I-NOH
으로	으로	JKB	O
_	_	_	O
전날	전날	NNG	O
의	의	JKG	O
_	_	_	O
1	1	SN	B-NOH
만	만	NR	I-NOH
1800	1800	SN	I-NOH
여	여	XSN	I-NOH
명	명	NNB	I-NOH
에	에	JKB	O
_	_	_	O
비해	비하+여	VV+EC	O
_	_	_	O
거의	거의	MAG	O
_	_	_	O
두	두	MM	B-PNT
_	_	_	I-PNT
배	배	NNG	I-PNT
_	_	_	O
가까이	가까이	MAG	O
_	_	_	O
늘어났	늘어나+았	VV+EP	O
다	다	EF	O
.	.	SF	O

## 3
## 1994년에 상장했는데 시가총액이 3000억 원이다.
## <1994년:DAT>에 상장했는데 시가총액이 <3000억 원:MNY>이다.
1994	1994	SN	B-DAT
년	년	NNB	I-DAT
에	에	JKB	O
_	_	_	O
상장	상장하	VV	O
했	였	EP	O
는데	는데	EC	O
_	_	_	O
시가	시가	NNG	O
총액	총액	NNG	O
이	이	JKS	O
_	_	_	O
3000	3000	SN	B-MNY
억	억	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 4
## 무역회사에 다니는 이모(29·여) 씨는 출근 직전, 퇴근 직후, 점심시간을 이용해 중국어를 공부한다.
## 무역회사에 다니는 <이모:PER>(<29:NOH>·여) 씨는 출근 직전, 퇴근 직후, 점심시간을 이용해 중국어를 공부한다.
무역	무역	NNG	O
회사	회사	NNG	O
에	에	JKB	O
_	_	_	O
다니	다니	VV	O
는	는	ETM	O
_	_	_	O
이	이	NNP	B-PER
모	모	NP	I-PER
(	(	SS	O
29	29	SN	B-NOH
·	·	SP	O
여	여	NNG	O
)	)	SS	O
_	_	_	O
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
출근	출근	NNG	O
_	_	_	O
직전	직전	NNG	O
,	,	SP	O
_	_	_	O
퇴근	퇴근	NNG	O
_	_	_	O
직후	직후	NNG	O
,	,	SP	O
_	_	_	O
점심시간	점심시간	NNG	O
을	을	JKO	O
_	_	_	O
이용해	이용하+여	VV+EC	O
_	_	_	O
중국어	중국어	NNP	O
를	를	JKO	O
_	_	_	O
공부한다	공부하+ㄴ다	VV+EF	O
.	.	SF	O

## 5
## 지누션이 장한나와 함께 컴백한다는 소식을 접한 네티즌들은 “지누션 장한나, 컴백한다니 반갑다”,
## <지누션:ORG>이 <장한나:PER>와 함께 컴백한다는 소식을 접한 네티즌들은 “<지누션:ORG> <장한나:PER>, 컴백한다니 반갑다”,
지누션	지누션	NNP	B-ORG
이	이	JKS	O
_	_	_	O
장한나	장한나	NNP	B-PER
와	와	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
컴백한다는	컴백하+ㄴ다는	VV+ETM	O
_	_	_	O
소식	소식	NNG	O
을	을	JKO	O
_	_	_	O
접한	접하+ㄴ	VV+ETM	O
_	_	_	O
네티즌	네티즌	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
