## 1
## 렉서스 브랜드에서는 RC 350, GS 350, LS 460, GX 460, LX 570, RX 450h가 각각 1위에 올랐다.
## <렉서스:ORG> 브랜드에서는 <RC 350:POH>, <GS 350:POH>, <LS 460:POH>, <GX 460:POH>, <LX 570:POH>, <RX 450h:POH>가 각각 <1위:NOH>에 올랐다.
렉서스	렉서스	NNP	B-ORG
_	_	_	O
브랜드	브랜드	NNG	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
RC	RC	SL	B-POH
_	_	_	I-POH
350	350	SN	I-POH
,	,	SP	O
_	_	_	O
GS	GS	SL	B-POH
_	_	_	I-POH
350	350	SN	I-POH
,	,	SP	O
_	_	_	O
LS	LS	SL	B-POH
_	_	_	I-POH
460	460	SN	I-POH
,	,	SP	O
_	_	_	O
GX	GX	SL	B-POH
_	_	_	I-POH
460	460	SN	I-POH
,	,	SP	O
_	_	_	O
LX	LX	SL	B-POH
_	_	_	I-POH
570	570	SN	I-POH
,	,	SP	O
_	_	_	O
RX	RX	SL	B-POH
_	_	_	I-POH
450	450	SN	I-POH
h	h	SL	I-POH
가	가	JKS	O
_	_	_	O
각각	각각	MAG	O
_	_	_	O
1	1	SN	B-NOH
위	위	NNB	I-NOH
에	에	JKB	O
_	_	_	O
올	오르	VV	O
랐	았	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 표창원, 설전 영상 SNS 게재…장제원 “악의적 편집” 표창원 “편집 불가능”
## <표창원:PER>, 설전 영상 SNS 게재…<장제원:PER> “악의적 편집” <표창원:PER> “편집 불가능”
표창원	표창원	NNP	B-PER
,	,	SP	O
_	_	_	O
설전	설전	NNG	O
_	_	_	O
영상	영상	NNG	O
_	_	_	O
SNS	SNS	SL	O
_	_	_	O
게재	게재	NNG	O
…	…	SE	O
장제원	장제원	NNP	B-PER
_	_	_	O
“	“	SS	O
악의	악의	NNG	O
적	적	XSN	O
_	_	_	O
편집	편집	NNG	O
”	”	SS	O
_	_	_	O
표창원	표창원	NNP	B-PER
_	_	_	O
“	“	SS	O
편집	편집	NNG	O
_	_	_	O
불가능	불가능	NNG	O
”	”	SS	O

## 3
## 이 위원은 3경기 연속으로 무4사구 피칭을 하고 있는 NC 손민한을 예로 들며 “맞혀 잡는 피칭을 하기 때문에 야수들이 항상 긴장을 하게 된다.
## 이 위원은 <3경기:NOH> 연속으로 무<4사구:NOH> 피칭을 하고 있는 <NC:ORG> <손민한:PER>을 예로 들며 “맞혀 잡는 피칭을 하기 때문에 야수들이 항상 긴장을 하게 된다.
이	이	MM	O
_	_	_	O
위원	위원	NNG	O
은	은	JX	O
_	_	_	O
3	3	SN	B-NOH
경기	경기	NNG	I-NOH
_	_	_	O
연속	연속	NNG	O
으로	으로	JKB	O
_	_	_	O
무	무	NNG	O
4	4	SN	B-NOH
사구	사구	NNG	I-NOH
_	_	_	O
피칭	피칭	NNG	O
을	을	JKO	O
_	_	_	O
하	하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
NC	NC	SL	B-ORG
_	_	_	O
손민한	손민한	NNP	B-PER
을	을	JKO	O
_	_	_	O
예	예	NNG	O
로	로	JKB	O
_	_	_	O
들	들	VV	O
며	며	EC	O
_	_	_	O
“	“	SS	O
맞혀	맞히+어	VV+EC	O
_	_	_	O
잡	잡	VV	O
는	는	ETM	O
_	_	_	O
피칭	피칭	NNG	O
을	을	JKO	O
_	_	_	O
하	하	VV	O
기	기	ETN	O
_	_	_	O
때문	때문	NNB	O
에	에	JKB	O
_	_	_	O
야수	야수	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
항상	항상	MAG	O
_	_	_	O
긴장	긴장	NNG	O
을	을	JKO	O
_	_	_	O
하	하	VV	O
게	게	EC	O
_	_	_	O
된다	되+ㄴ다	VV+EF	O
.	.	SF	O

## 4
## ▽김다은=소설 밖 한글은 서류, 정보, 지식을 구성하고 전달하는 도구다.
## ▽<김다은:PER>=소설 밖 한글은 서류, 정보, 지식을 구성하고 전달하는 도구다.
▽	▽	SW	O
김다은	김다은	NNP	B-PER
=	=	SW	O
소설	소설	NNG	O
_	_	_	O
밖	밖	NNG	O
_	_	_	O
한글	한글	NNG	O
은	은	JX	O
_	_	_	O
서류	서류	NNG	O
,	,	SP	O
_	_	_	O
정보	정보	NNG	O
,	,	SP	O
_	_	_	O
지식	지식	NNG	O
을	을	JKO	O
_	_	_	O
구성하	구성하	VV	O
고	고	EC	O
_	_	_	O
전달하	전달하	VV	O
는	는	ETM	O
_	_	_	O
도구	도구+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 5
## NIA 빅데이터전략센터 신신애 부장은 “영세 슈퍼의 경우 간단하고 직관적인 판매 정보를 원하지만 얻을 수 있는 기회가 없었다”며 “이번 빅데이터 분석 결과는 올해 상반기 인터넷을 통해 공개한다”고 밝혔다.
