## 1
## 저녁이 있는 삶. 2012년 대선을 앞두고 손학규 당시 민주통합당 상임고문이 내건 슬로건이다.
## 저녁이 있는 삶. <2012년:DAT> 대선을 앞두고 <손학규:PER> 당시 <민주통합당:ORG> 상임고문이 내건 슬로건이다.
저녁	저녁	NNG	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
삶	삶	NNG	O
.	.	SF	O
_	_	_	O
2012	2012	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
대선	대선	NNG	O
을	을	JKO	O
_	_	_	O
앞두	앞두	VV	O
고	고	EC	O
_	_	_	O
손학규	손학규	NNP	B-PER
_	_	_	O
당시	당시	NNG	O
_	_	_	O
민주통합당	민주통합당	NNP	B-ORG
_	_	_	O
상임	상임	NNG	O
고문	고문	NNG	O
이	이	JKS	O
_	_	_	O
내건	내걸+ㄴ	VV+ETM	O
_	_	_	O
슬로건	슬로건	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 안 소령은 이번 대회 상금 130만 원을 순직 조종사 자녀를 위한 ‘하늘사랑 장학재단’에 기부하기로 했다.
## <안:PER> 소령은 이번 대회 상금 <130만 원:MNY>을 순직 조종사 자녀를 위한 ‘<하늘사랑 장학재단:POH>’에 기부하기로 했다.
안	안	NNP	B-PER
_	_	_	O
소령	소령	NNG	O
은	은	JX	O
_	_	_	O
이번	이번	NNG	O
_	_	_	O
대회	대회	NNG	O
_	_	_	O
상금	상금	NNG	O
_	_	_	O
130	130	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
을	을	JKO	O
_	_	_	O
순직	순직	NNG	O
_	_	_	O
조종사	조종사	NNG	O
_	_	_	O
자녀	자녀	NNG	O
를	를	JKO	O
_	_	_	O
위한	위하+ㄴ	VV+ETM	O
_	_	_	O
‘	‘	SS	O
하늘사랑	하늘사랑	NNP	B-POH
_	_	_	I-POH
장학	장학	NNG	I-POH
재단	재단	NNG	I-POH
’	’	SS	O
에	에	JKB	O
_	_	_	O
기부하	기부하	VV	O
기	기	ETN	O
로	로	JKB	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 3
## 서울지방경찰청은 14일 오전 9시부터 10시 반까지 ‘투르드코리아 2015’ 대회 코스를 따라 도로를 순차적으로 통제한다고 13일 밝혔다.
## <서울지방경찰청:ORG>은 <14일:DAT> <오전 9시부터 10시 반:DUR>까지 ‘<투르드코리아:POH> <2015:DAT>’ 대회 코스를 따라 도로를 순차적으로 통제한다고 <13일:DAT> 밝혔다.
