## 1
## 출고가격은 잠정적으로 98만8900원으로 정해졌다.
## 출고가격은 잠정적으로 <98만8900원:MNY>으로 정해졌다.
출고	출고	NNG	O
가격	가격	NNG	O
은	은	JX	O
_	_	_	O
잠정적	잠정적	NNG	O
으로	으로	JKB	O
_	_	_	O
98	98	SN	B-MNY
만	만	NR	I-MNY
8900	8900	SN	I-MNY
원	원	NNB	I-MNY
으로	으로	JKB	O
_	_	_	O
정해	정하	VV	O
졌	여+지+었	EC+VX+EP	O
다	다	EF	O
.	.	SF	O

## 2
## 서울대가 8-4로 이겼다.
## <서울대:ORG>가 <8-4:NOH>로 이겼다.
서울대	서울대	NNP	B-ORG
가	가	JKS	O
_	_	_	O
8	8	SN	B-NOH
-	-	SO	I-NOH
4	4	SN	I-NOH
로	로	JKB	O
_	_	_	O
이	이기	VV	O
겼	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## [금융 단신]미래에셋증권 ETN 5개종목 상장 外
## [금융 단신]<미래에셋증권:ORG> ETN <5개:NOH>종목 상장 外
[	[	SS	O
금융	금융	NNG	O
_	_	_	O
단신	단신	NNG	O
]	]	SS	O
미래에셋증권	미래에셋증권	NNP	B-ORG
_	_	_	O
ETN	ETN	SL	O
_	_	_	O
5	5	SN	B-NOH
개	개	NNB	I-NOH
종목	종목	NNG	O
_	_	_	O
상장	상장	NNG	O
_	_	_	O
外	外	SH	O

## 4
## 가장 먼저 기습배틀에 나선 김소희는 “그동안 보여주지 않았던 모습이다.
## 가장 먼저 기습배틀에 나선 <김소희:PER>는 “그동안 보여주지 않았던 모습이다.
가장	가장	MAG	O
_	_	_	O
먼저	먼저	MAG	O
_	_	_	O
기습	기습	NNG	O
배틀	배틀	NNG	O
에	에	JKB	O
_	_	_	O
나선	나서+ㄴ	VV+ETM	O
_	_	_	O
김소희	김소희	NNP	B-PER
는	는	JX	O
_	_	_	O
“	“	SS	O
그동안	그동안	NNG	O
_	_	_	O
보	보이	VV	O
여	어	EC	O
주	주	VX	O
지	지	EC	O
_	_	_	O
않	않	VX	O
았	았	EP	O
던	던	ETM	O
_	_	_	O
모습	모습	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 5
## 지난해에는 33명, 올해는 단 6명만 이용하는 데 그쳤다.
## 지난해에는 <33명:NOH>, 올해는 단 <6명:NOH>만 이용하는 데 그쳤다.
지난해	지난해	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
33	33	SN	B-NOH
명	명	NNB	I-NOH
,	,	SP	O
_	_	_	O
올해	올해	NNG	O
는	는	JX	O
_	_	_	O
단	단	MAG	O
_	_	_	O
6	6	SN	B-NOH
명	명	NNB	I-NOH
만	만	JX	O
_	_	_	O
이용하	이용하	VV	O
는	는	ETM	O
_	_	_	O
데	데	NNB	O
_	_	_	O
그	그치	VV	O
쳤	었	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 한 달 전부터 웹드라마를 제작하느라 중국에 머무르고 있는 차 씨는 최 씨와의 관계에 대해 “그분(최순실)에 대해선 저는 드릴 말씀이 없다”고 잘라 말했다.
## <한 달:NOH> 전부터 웹드라마를 제작하느라 <중국:LOC>에 머무르고 있는 <차:PER> 씨는 <최:PER> 씨와의 관계에 대해 “그분(<최순실:PER>)에 대해선 저는 드릴 말씀이 없다”고 잘라 말했다.
한	한	MM	B-NOH
_	_	_	I-NOH
달	달	NNB	I-NOH
_	_	_	O
전	전	NNG	O
부터	부터	JX	O
_	_	_	O
웹	웹	NNG	O
드라마	드라마	NNG	O
를	를	JKO	O
_	_	_	O
제작하	제작하	VV	O
느라	느라	EC	O
_	_	_	O
중국	중국	NNP	B-LOC
에	에	JKB	O
_	_	_	O
머무르	머무르	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
차	차	NNG	B-PER
_	_	_	O
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
최	최	NNP	B-PER
_	_	_	O
씨	씨	NNB	O
와	와	JKB	O
의	의	JKG	O
_	_	_	O
관계	관계	NNG	O
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
“	“	SS	O
그분	그분	NP	O
(	(	SS	O
최순실	최순실	NNP	B-PER
)	)	SS	O
에	에	JKB	O
_	_	_	O
대해선	대하+여서+ㄴ	VV+EC+JX	O
_	_	_	O
저	저	NP	O
는	는	JX	O
_	_	_	O
드릴	드리+ㄹ	VV+ETM	O
_	_	_	O
말씀	말씀	NNG	O
이	이	JKS	O
_	_	_	O
없	없	VA	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
잘	자르	VV	O
라	아	EC	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 글로벌 유동성은 여전히 상대적으로 높은 수익률을 찾아 신흥국으로 유입될 수 있는 분위기여서 2,100까지 무난히 오를 수 있을 것이라는 전망이 대부분이다.
## 글로벌 유동성은 여전히 상대적으로 높은 수익률을 찾아 신흥국으로 유입될 수 있는 분위기여서 <2,100:NOH>까지 무난히 오를 수 있을 것이라는 전망이 대부분이다.
글로벌	글로벌	NNG	O
_	_	_	O
유동성	유동성	NNG	O
은	은	JX	O
_	_	_	O
여전히	여전히	MAG	O
_	_	_	O
상대적	상대적	NNG	O
으로	으로	JKB	O
_	_	_	O
높	높	VA	O
은	은	ETM	O
_	_	_	O
수익률	수익률	NNG	O
을	을	JKO	O
_	_	_	O
찾	찾	VV	O
아	아	EC	O
_	_	_	O
신흥	신흥	NNG	O
국	국	XSN	O
으로	으로	JKB	O
_	_	_	O
유입될	유입되+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
분위기	분위기+이	NNG+VCP	O
여서	어서	EC	O
_	_	_	O
2,100	2,100	SN	B-NOH
까지	까지	JX	O
_	_	_	O
무난히	무난히	MAG	O
_	_	_	O
오를	오르+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
을	을	ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
라는	라는	ETM	O
_	_	_	O
전망	전망	NNG	O
이	이	JKS	O
_	_	_	O
대부분	대부분	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 8
## ‘왕의 남자’(2005년)로 1000만 관객을 맛본 이 감독이지만 이후 연출한 ‘평양성’(2011년), ‘님은 먼 곳에’(2008년) 등은 잇달아 저조한 흥행 성적을 보였다.
## ‘<왕의 남자:POH>’(<2005년:DAT>)로 <1000만:NOH> 관객을 맛본 <이:PER> 감독이지만 이후 연출한 ‘<평양성:POH>’(<2011년:DAT>), ‘<님은 먼 곳에:POH>’(<2008년:DAT>) 등은 잇달아 저조한 흥행 성적을 보였다.
‘	‘	SS	O
왕	왕	NNG	B-POH
의	의	JKG	I-POH
_	_	_	I-POH
남자	남자	NNG	I-POH
’	’	SS	O
(	(	SS	O
2005	2005	SN	B-DAT
년	년	NNB	I-DAT
)	)	SS	O
로	로	JKB	O
_	_	_	O
1000	1000	SN	B-NOH
만	만	NR	I-NOH
_	_	_	O
관객	관객	NNG	O
을	을	JKO	O
_	_	_	O
맛본	맛보+ㄴ	VV+ETM	O
_	_	_	O
이	이	NNP	B-PER
_	_	_	O
감독	감독	NNG	O
이	이	VCP	O
지만	지만	EC	O
_	_	_	O
이후	이후	NNG	O
_	_	_	O
연출한	연출하+ㄴ	VV+ETM	O
_	_	_	O
‘	‘	SS	O
평양성	평양성	NNG	B-POH
’	’	SS	O
(	(	SS	O
2011	2011	SN	B-DAT
년	년	NNB	I-DAT
)	)	SS	O
,	,	SP	O
_	_	_	O
‘	‘	SS	O
님	님	NNG	B-POH
은	은	JX	I-POH
_	_	_	I-POH
먼	멀+ㄴ	VA+ETM	I-POH
_	_	_	I-POH
곳	곳	NNG	I-POH
에	에	JKB	I-POH
’	’	SS	O
(	(	SS	O
2008	2008	SN	B-DAT
년	년	NNB	I-DAT
)	)	SS	O
_	_	_	O
등	등	NNB	O
은	은	JX	O
