## 1
## 홍 담당관은 “어떤 게 해결인지, 완화인지 명확하게 정의하기는 어렵다”면서도 “갈등의 골이 깊은 현장에서는 ‘협상 테이블에 대상자들이 골고루 나와서 앉기만 해도 절반은 성공’인 경우가 많다”고 말했다.
## <홍:PER> 담당관은 “어떤 게 해결인지, 완화인지 명확하게 정의하기는 어렵다”면서도 “갈등의 골이 깊은 현장에서는 ‘협상 테이블에 대상자들이 골고루 나와서 앉기만 해도 절반은 성공’인 경우가 많다”고 말했다.
홍	홍	NNP	B-PER
_	_	_	O
담당관	담당관	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
어떤	어떤	MM	O
_	_	_	O
게	것+이	NNB+JKS	O
_	_	_	O
해결	해결	NNG	O
인지	이+ㄴ지	VCP+EC	O
,	,	SP	O
_	_	_	O
완화	완화	NNG	O
인지	이+ㄴ지	VCP+EC	O
_	_	_	O
명확하	명확하	VA	O
게	게	EC	O
_	_	_	O
정의하	정의하	VV	O
기	기	ETN	O
는	는	JX	O
_	_	_	O
어렵	어렵	VA	O
다	다	EF	O
”	”	SS	O
면서	면서	EC	O
도	도	JX	O
_	_	_	O
“	“	SS	O
갈등	갈등	NNG	O
의	의	JKG	O
_	_	_	O
골	골	NNG	O
이	이	JKS	O
_	_	_	O
깊	깊	VA	O
은	은	ETM	O
_	_	_	O
현장	현장	NNG	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
‘	‘	SS	O
협상	협상	NNG	O
_	_	_	O
테이블	테이블	NNG	O
에	에	JKB	O
_	_	_	O
대상자	대상자	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
골고루	골고루	MAG	O
_	_	_	O
나	나오	VV	O
와서	아서	EC	O
_	_	_	O
앉	앉	VV	O
기	기	ETN	O
만	만	JX	O
_	_	_	O
해도	하+여도	VV+EC	O
_	_	_	O
절반	절반	NNG	O
은	은	JX	O
_	_	_	O
성공	성공	NNG	O
’	’	SS	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
경우	경우	NNG	O
가	가	JKS	O
_	_	_	O
많	많	VA	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 이에 호놀룰루 한국 총영사관은 피해 국민의 진술을 토대로 미국 세관국경보호국(CBP)에 대한 진상 규명에 나선 상황이다.
## 이에 <호놀룰루 한국 총영사관:ORG>은 피해 국민의 진술을 토대로 <미국 세관국경보호국:ORG>(<CBP:ORG>)에 대한 진상 규명에 나선 상황이다.
이	이	NP	O
에	에	JKB	O
_	_	_	O
호놀룰루	호놀룰루	NNP	B-ORG
_	_	_	I-ORG
한국	한국	NNP	I-ORG
_	_	_	I-ORG
총영사관	총영사관	NNG	I-ORG
은	은	JX	O
_	_	_	O
피해	피해	NNG	O
_	_	_	O
국민	국민	NNG	O
의	의	JKG	O
_	_	_	O
진술	진술	NNG	O
을	을	JKO	O
_	_	_	O
토대	토대	NNG	O
로	로	JKB	O
_	_	_	O
미국	미국	NNP	B-ORG
_	_	_	I-ORG
세관	세관	NNG	I-ORG
국경	국경	NNG	I-ORG
보호국	보호국	NNG	I-ORG
(	(	SS	O
CBP	CBP	SL	B-ORG
)	)	SS	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
진상	진상	NNG	O
_	_	_	O
규명	규명	NNG	O
에	에	JKB	O
_	_	_	O
나선	나서+ㄴ	VV+ETM	O
_	_	_	O
상황	상황	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 3
## 총영사관의 한 관계자는 "뉴욕에 있는 김씨 지인의 제보로 3일 사건을 최초로 인지해 즉각 CBP에 관련 사실을 문의했으나 구체적인 답변을 듣지 못했다"며 "김씨의 신고를 토대로 CBP에 진상 파악을 촉구하는 항의 공문을 보내 대응할 예정"이라고 밝혔다.
## 총영사관의 한 관계자는 "<뉴욕:LOC>에 있는 <김:PER>씨 지인의 제보로 <3일:DAT> 사건을 최초로 인지해 즉각 <CBP:ORG>에 관련 사실을 문의했으나 구체적인 답변을 듣지 못했다"며 "<김:PER>씨의 신고를 토대로 <CBP:ORG>에 진상 파악을 촉구하는 항의 공문을 보내 대응할 예정"이라고 밝혔다.
총영사관	총영사관	NNG	O
의	의	JKG	O
_	_	_	O
한	한	MM	O
_	_	_	O
관계자	관계자	NNG	O
는	는	JX	O
_	_	_	O
"	"	SS	O
뉴욕	뉴욕	NNP	B-LOC
에	에	JKB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
김	김	NNP	B-PER
씨	씨	NNB	O
_	_	_	O
지인	지인	NNG	O
의	의	JKG	O
_	_	_	O
제보	제보	NNG	O
로	로	JKB	O
_	_	_	O
3	3	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
사건	사건	NNG	O
을	을	JKO	O
_	_	_	O
최초	최초	NNG	O
로	로	JKB	O
_	_	_	O
인지해	인지하+여	VV+EC	O
_	_	_	O
즉각	즉각	MAG	O
_	_	_	O
CBP	CBP	SL	B-ORG
에	에	JKB	O
_	_	_	O
관련	관련	NNG	O
_	_	_	O
사실	사실	NNG	O
을	을	JKO	O
_	_	_	O
문의	문의하	VV	O
했	였	EP	O
으나	으나	EC	O
_	_	_	O
구체적	구체적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
답변	답변	NNG	O
을	을	JKO	O
_	_	_	O
듣	듣	VV	O
지	지	EC	O
_	_	_	O
못	못하	VX	O
했	였	EP	O
다	다	EF	O
"	"	SS	O
며	며	EC	O
_	_	_	O
"	"	SS	O
김	김	NNP	B-PER
씨	씨	NNB	O
의	의	JKG	O
_	_	_	O
신고	신고	NNG	O
를	를	JKO	O
_	_	_	O
토대	토대	NNG	O
로	로	JKB	O
_	_	_	O
CBP	CBP	SL	B-ORG
에	에	JKB	O
_	_	_	O
진상	진상	NNG	O
_	_	_	O
파악	파악	NNG	O
을	을	JKO	O
_	_	_	O
촉구하	촉구하	VV	O
