## 1
## 김혜수는 극중 베테랑 여형사 차수현 역을, 이제훈은 프로파일러 박해영 역을 맡아 현재의 인물로 등장한다.
## <김혜수:PER>는 극중 베테랑 여형사 <차수현:PER> 역을, <이제훈:PER>은 프로파일러 <박해영:PER> 역을 맡아 현재의 인물로 등장한다.
김혜수	김혜수	NNP	B-PER
는	는	JX	O
_	_	_	O
극	극	NNG	O
중	중	NNB	O
_	_	_	O
베테랑	베테랑	NNG	O
_	_	_	O
여	여	XPN	O
형사	형사	NNG	O
_	_	_	O
차수현	차수현	NNP	B-PER
_	_	_	O
역	역	NNG	O
을	을	JKO	O
,	,	SP	O
_	_	_	O
이제훈	이제훈	NNP	B-PER
은	은	JX	O
_	_	_	O
프로파일	프로파일	NNG	O
러	러	NNP	O
_	_	_	O
박해영	박해영	NNP	B-PER
_	_	_	O
역	역	NNG	O
을	을	JKO	O
_	_	_	O
맡	맡	VV	O
아	아	EC	O
_	_	_	O
현재	현재	NNG	O
의	의	JKG	O
_	_	_	O
인물	인물	NNG	O
로	로	JKB	O
_	_	_	O
등장한다	등장하+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 이같은 발언들은 때로는 미국의 정책입안가들로 하여금 김대통령의 국내 정치적 제약에 맞추기 위해 (대북)전략을 수정하게 까지 만들어 왔다.
## 이같은 발언들은 때로는 <미국:ORG>의 정책입안가들로 하여금 <김:PER>대통령의 국내 정치적 제약에 맞추기 위해 (대북)전략을 수정하게 까지 만들어 왔다.
이	이	NP	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
발언	발언	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
때로	때로	MAG	O
는	는	JX	O
_	_	_	O
미국	미국	NNP	B-ORG
의	의	JKG	O
_	_	_	O
정책	정책	NNG	O
입안	입안	NNG	O
가	가	XSN	O
들	들	XSN	O
로	로	JKB	O
_	_	_	O
하여금	하여금	MAG	O
_	_	_	O
김	김	NNP	B-PER
대통령	대통령	NNG	O
의	의	JKG	O
_	_	_	O
국내	국내	NNG	O
_	_	_	O
정치적	정치적	NNG	O
_	_	_	O
제약	제약	NNG	O
에	에	JKB	O
_	_	_	O
맞추	맞추	VV	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
(	(	SS	O
대북	대북	NNG	O
)	)	SS	O
전략	전략	NNG	O
을	을	JKO	O
_	_	_	O
수정하	수정하	VV	O
게	게	EC	O
_	_	_	O
까지	까지	JX	O
_	_	_	O
만들	만들	VV	O
어	어	EC	O
_	_	_	O
왔	+았	+EP	O
다	다	EF	O
.	.	SF	O

## 3
## PDF 파일의 특징 이해하기PDF는 미국의 SW 기업 어도비가 지난 1991년 공개한 문서 형식입니다.
## PDF 파일의 특징 이해하기PDF는 <미국:ORG>의 SW 기업 <어도비:ORG>가 지난 <1991년:DAT> 공개한 문서 형식입니다.
PDF	PDF	SL	O
_	_	_	O
파일	파일	NNG	O
의	의	JKG	O
_	_	_	O
특징	특징	NNG	O
_	_	_	O
이해하	이해하	VV	O
기	기	ETN	O
PDF	PDF	SL	O
는	는	JX	O
_	_	_	O
미국	미국	NNP	B-ORG
의	의	JKG	O
_	_	_	O
SW	SW	SL	O
_	_	_	O
기업	기업	NNG	O
_	_	_	O
어도비	어도비	NNP	B-ORG
가	가	JKS	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
1991	1991	SN	B-DAT
년	년	NNB	I-DAT
