## 1
## 정부는 현재의 메르스 확산 상황을 ‘관심’ ‘주의’ ‘경계’ ‘심각’ 등 질병 경보의 4단계 중에서 ‘주의’ 단계로 분류하고 문형표 보건복지부 장관에게 중앙사고수습본부장을 맡겼다.
## 정부는 현재의 <메르스:POH> 확산 상황을 ‘관심’ ‘주의’ ‘경계’ ‘심각’ 등 질병 경보의 <4단계:NOH> 중에서 ‘주의’ 단계로 분류하고 <문형표:PER> <보건복지부:ORG> 장관에게 중앙사고수습본부장을 맡겼다.
정부	정부	NNG	O
는	는	JX	O
_	_	_	O
현재	현재	NNG	O
의	의	JKG	O
_	_	_	O
메르스	메르스	NNG	B-POH
_	_	_	O
확산	확산	NNG	O
_	_	_	O
상황	상황	NNG	O
을	을	JKO	O
_	_	_	O
‘	‘	SS	O
관심	관심	NNG	O
’	’	SS	O
_	_	_	O
‘	‘	SS	O
주의	주의	NNG	O
’	’	SS	O
_	_	_	O
‘	‘	SS	O
경계	경계	NNG	O
’	’	SS	O
_	_	_	O
‘	‘	SS	O
심각	심각	NNG	O
’	’	SS	O
_	_	_	O
등	등	NNB	O
_	_	_	O
질병	질병	NNG	O
_	_	_	O
경보	경보	NNG	O
의	의	JKG	O
_	_	_	O
4	4	SN	B-NOH
단계	단계	NNG	I-NOH
_	_	_	O
중	중	NNB	O
에서	에서	JKB	O
_	_	_	O
‘	‘	SS	O
주의	주의	NNG	O
’	’	SS	O
_	_	_	O
단계	단계	NNG	O
로	로	JKB	O
_	_	_	O
분류하	분류하	VV	O
고	고	EC	O
_	_	_	O
문형표	문형표	NNP	B-PER
_	_	_	O
보건복지부	보건복지부	NNG	B-ORG
_	_	_	O
장관	장관	NNG	O
에게	에게	JKB	O
_	_	_	O
중앙	중앙	NNG	O
사고	사고	NNG	O
수습	수습	NNG	O
본부	본부	NNG	O
장	장	XSN	O
을	을	JKO	O
_	_	_	O
맡	맡기	VV	O
겼	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 우선 덤덤라디오, 브릭스 등 인기 밴드가 진행하는 ‘뮤직쇼 메가 콘서트’가 열릴 예정이며, 중앙광장에서 시계탑까지 ‘메가마켓’이 펼쳐져 유명 푸드트럭과 각종 디자이너 소품들을 만나볼 수 있다.
## 우선 <덤덤라디오:ORG>, <브릭스:ORG> 등 인기 밴드가 진행하는 ‘<뮤직쇼 메가 콘서트:POH>’가 열릴 예정이며, 중앙광장에서 시계탑까지 ‘메가마켓’이 펼쳐져 유명 푸드트럭과 각종 디자이너 소품들을 만나볼 수 있다.
우선	우선	MAG	O
_	_	_	O
덤덤	덤덤	NNG	B-ORG
라디오	라디오	NNG	I-ORG
,	,	SP	O
_	_	_	O
브릭스	브릭스	NNB	B-ORG
_	_	_	O
등	등	NNB	O
_	_	_	O
인기	인기	NNG	O
_	_	_	O
밴드	밴드	NNG	O
가	가	JKS	O
_	_	_	O
진행하	진행하	VV	O
는	는	ETM	O
_	_	_	O
‘	‘	SS	O
뮤직	뮤직	NNG	B-POH
쇼	쇼	NNG	I-POH
_	_	_	I-POH
메가	메가	NNB	I-POH
_	_	_	I-POH
콘서트	콘서트	NNG	I-POH
’	’	SS	O
가	가	JKS	O
_	_	_	O
열릴	열리+ㄹ	VV+ETM	O
_	_	_	O
예정	예정	NNG	O
이	이	VCP	O
며	며	EC	O
,	,	SP	O
_	_	_	O
중앙	중앙	NNG	O
광장	광장	NNG	O
에서	에서	JKB	O
_	_	_	O
