## 1
## 광주환경운동연합 관계자는 “S산업의 TCE 배출량 감소와 공장 이전으로 해결될 문제가 아니다”라며 “근로자와 시민의 건강을 위협하고 있으므로 정확한 피해 조사가 진행돼야 한다”고 말했다.
## <광주환경운동연합:ORG> 관계자는 “<S:ORG>산업의 TCE 배출량 감소와 공장 이전으로 해결될 문제가 아니다”라며 “근로자와 시민의 건강을 위협하고 있으므로 정확한 피해 조사가 진행돼야 한다”고 말했다.
광주	광주	NNP	B-ORG
환경	환경	NNG	I-ORG
운동	운동	NNG	I-ORG
연합	연합	NNG	I-ORG
_	_	_	O
관계자	관계자	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
S	S	SL	B-ORG
산업	산업	NNG	O
의	의	JKG	O
_	_	_	O
TCE	TCE	SL	O
_	_	_	O
배출	배출	NNG	O
량	량	NNG	O
_	_	_	O
감소	감소	NNG	O
와	와	JC	O
_	_	_	O
공장	공장	NNG	O
_	_	_	O
이전	이전	NNG	O
으로	으로	JKB	O
_	_	_	O
해결될	해결되+ㄹ	VV+ETM	O
_	_	_	O
문제	문제	NNG	O
가	가	JKC	O
_	_	_	O
아니	아니	VCN	O
다	다	EF	O
”	”	SS	O
라며	라며	EC	O
_	_	_	O
“	“	SS	O
근로자	근로자	NNG	O
와	와	JC	O
_	_	_	O
시민	시민	NNG	O
의	의	JKG	O
_	_	_	O
건강	건강	NNG	O
을	을	JKO	O
_	_	_	O
위협하	위협하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
으므로	으므로	EC	O
_	_	_	O
정확한	정확하+ㄴ	VA+ETM	O
_	_	_	O
피해	피해	NNG	O
_	_	_	O
조사	조사	NNG	O
가	가	JKS	O
_	_	_	O
진행돼야	진행되+어야	VV+EC	O
_	_	_	O
한다	하+ㄴ다	VX+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 2016학년도 전문대 수시모집에서는 전국 137개 전문대에서 18만2297명을 선발한다.
## <2016학년:DAT>도 전문대 수시모집에서는 전국 <137개:NOH> 전문대에서 <18만2297명:NOH>을 선발한다.
2016	2016	SN	B-DAT
학년도	학년도	NNG	O
_	_	_	O
전문대	전문대	NNG	O
_	_	_	O
수시	수시	NNG	O
모집	모집	NNG	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
전국	전국	NNG	O
_	_	_	O
137	137	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
전문대	전문대	NNG	O
에서	에서	JKB	O
_	_	_	O
18	18	SN	B-NOH
만	만	NR	I-NOH
2297	2297	SN	I-NOH
명	명	NNB	I-NOH
을	을	JKO	O
_	_	_	O
선발한다	선발하+ㄴ다	VV+EF	O
.	.	SF	O

## 3
## 김무성 대표 비서실의 허숭 부실장은 김문수 지사와도 오래 일했다.
## <김무성:PER> 대표 비서실의 <허숭:PER> 부실장은 <김문수:PER> 지사와도 오래 일했다.
김무성	김무성	NNP	B-PER
_	_	_	O
대표	대표	NNG	O
_	_	_	O
비서실	비서실	NNG	O
의	의	JKG	O
_	_	_	O
허숭	허숭	NNP	B-PER
_	_	_	O
부	부	XPN	O
실장	실장	NNG	O
은	은	JX	O
_	_	_	O
김문수	김문수	NNP	B-PER
_	_	_	O
지사	지사	NNG	O
와	와	JKB	O
도	도	JX	O
_	_	_	O
오래	오래	MAG	O
_	_	_	O
일	일하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 2011년 김모 씨(29·여)를 만난 유 씨는 “사업가인데 강남역 근처에 바를 차릴 것이다.
## <2011년:DAT> <김모:PER> 씨(<29:NOH>·여)를 만난 <유:PER> 씨는 “사업가인데 <강남역:LOC> 근처에 바를 차릴 것이다.
2011	2011	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
김	김	NNP	B-PER
모	모	NP	I-PER
_	_	_	O
씨	씨	NNB	O
(	(	SS	O
29	29	SN	B-NOH
·	·	SP	O
여	여	NNG	O
)	)	SS	O
를	를	JKO	O
_	_	_	O
만난	만나+ㄴ	VV+ETM	O
_	_	_	O
유	유	NNP	B-PER
_	_	_	O
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
“	“	SS	O
사업가	사업가	NNG	O
인데	이+ㄴ데	VCP+EC	O
_	_	_	O
강남역	강남역	NNP	B-LOC
_	_	_	O
근처	근처	NNG	O
에	에	JKB	O
_	_	_	O
바	바	NNG	O
를	를	JKO	O
_	_	_	O
차릴	차리+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 5
## 삼성전자가 모바일 메모리 시장에서 처음으로 ‘8GB(기가바이트) D램 시대’를 열었다.
## <삼성전자:ORG>가 모바일 메모리 시장에서 처음으로 ‘<8GB:NOH>(기가바이트) D램 시대’를 열었다.
삼성전자	삼성전자	NNP	B-ORG
가	가	JKS	O
_	_	_	O
모바일	모바일	NNG	O
_	_	_	O
메모리	메모리	NNG	O
_	_	_	O
시장	시장	NNG	O
에서	에서	JKB	O
_	_	_	O
처음	처음	NNG	O
으로	으로	JKB	O
_	_	_	O
‘	‘	SS	O
8	8	SN	B-NOH
GB	GB	SL	I-NOH
(	(	SS	O
기가바이트	기가바이트	NNB	O
)	)	SS	O
_	_	_	O
D	D	SL	O
램	램	NNG	O
_	_	_	O
시대	시대	NNG	O
’	’	SS	O
를	를	JKO	O
_	_	_	O
열	열	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 아들은 고등학생 때 이미 한 살 차이나는 부잣집 아들 과외까지 해줄 만큼 공부를 잘했다.
## 아들은 고등학생 때 이미 <한 살:NOH> 차이나는 부잣집 아들 과외까지 해줄 만큼 공부를 잘했다.
아들	아들	NNG	O
은	은	JX	O
_	_	_	O
고등학생	고등학생	NNG	O
_	_	_	O
때	때	NNG	O
_	_	_	O
이미	이미	MAG	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
살	살	NNB	I-NOH
_	_	_	O
차이	차이	NNG	O
나	나	VV	O
는	는	ETM	O
_	_	_	O
부잣집	부잣집	NNG	O
_	_	_	O
아들	아들	NNG	O
_	_	_	O
과외	과외	NNG	O
까지	까지	JX	O
_	_	_	O
해	하+여	VV+EC	O
줄	주+ㄹ	VX+ETM	O
_	_	_	O
만큼	만큼	NNB	O
_	_	_	O
공부	공부	NNG	O
를	를	JKO	O
_	_	_	O
