## 1
## 버락 오바마 미국 대통령의 대외정책이 헨리 키신저 전 국무장관(92)의 현실주의 외교 노선을 닮아가고 있다.
## <버락 오바마:PER> <미국:ORG> 대통령의 대외정책이 <헨리 키신저:PER> 전 국무장관(<92:DAT>)의 현실주의 외교 노선을 닮아가고 있다.
버락	버락	NNP	B-PER
_	_	_	I-PER
오바마	오바마	NNP	I-PER
_	_	_	O
미국	미국	NNP	B-ORG
_	_	_	O
대통령	대통령	NNG	O
의	의	JKG	O
_	_	_	O
대외	대외	NNG	O
정책	정책	NNG	O
이	이	JKS	O
_	_	_	O
헨리	헨리	NNP	B-PER
_	_	_	I-PER
키신저	키신저	NNP	I-PER
_	_	_	O
전	전	MM	O
_	_	_	O
국무	국무	NNG	O
장관	장관	NNG	O
(	(	SS	O
92	92	SN	B-DAT
)	)	SS	O
의	의	JKG	O
_	_	_	O
현실주의	현실주의	NNG	O
_	_	_	O
외교	외교	NNG	O
_	_	_	O
노선	노선	NNG	O
을	을	JKO	O
_	_	_	O
닮	닮	VV	O
아	아	EC	O
가	가	VX	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 2
## 기상 당국은 베이징 주변 대기가 안정돼 있어 9일과 10일에는 스모그가 더 기승을 부릴 것이라고 예보했다.
## 기상 당국은 <베이징:LOC> 주변 대기가 안정돼 있어 <9일:DAT>과 <10일:DAT>에는 스모그가 더 기승을 부릴 것이라고 예보했다.
기상	기상	NNG	O
_	_	_	O
당국	당국	NNG	O
은	은	JX	O
_	_	_	O
베이징	베이징	NNP	B-LOC
_	_	_	O
주변	주변	NNG	O
_	_	_	O
대기	대기	NNG	O
가	가	JKS	O
_	_	_	O
안정돼	안정되+어	VV+EC	O
_	_	_	O
있	있	VX	O
어	어	EC	O
_	_	_	O
9	9	SN	B-DAT
일	일	NNB	I-DAT
과	과	JC	O
_	_	_	O
10	10	SN	B-DAT
일	일	NNB	I-DAT
에	에	JKB	O
는	는	JX	O
_	_	_	O
스모그	스모그	NNG	O
가	가	JKS	O
_	_	_	O
더	더	MAG	O
_	_	_	O
기승	기승	NNG	O
을	을	JKO	O
_	_	_	O
부릴	부리+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
라고	라고	EC	O
_	_	_	O
예보	예보하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## ‘외국인 노동자 지킴이’ 경남이주민센터(대표 이철승 목사)가 8일 기자회견에서 밝힌 이주노동자의 피해 사례다.
## ‘<외국인 노동자 지킴이:POH>’ <경남이주민센터:ORG>(대표 <이철승:PER> 목사)가 <8일:DAT> 기자회견에서 밝힌 이주노동자의 피해 사례다.
‘	‘	SS	O
외국인	외국인	NNG	B-POH
_	_	_	I-POH
노동자	노동자	NNG	I-POH
_	_	_	I-POH
지킴이	지킴이	NNG	I-POH
’	’	SS	O
_	_	_	O
경남이	경남이	NNP	B-ORG
주민	주민	NNG	I-ORG
센터	센터	NNG	I-ORG
(	(	SS	O
대표	대표	NNG	O
_	_	_	O
이철승	이철승	NNP	B-PER
_	_	_	O
목사	목사	NNG	O
)	)	SS	O
가	가	JKS	O
_	_	_	O
8	8	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
기자	기자	NNG	O
회견	회견	NNG	O
에서	에서	JKB	O
_	_	_	O
밝힌	밝히+ㄴ	VV+ETM	O
_	_	_	O
이주	이주	NNG	O
노동자	노동자	NNG	O
의	의	JKG	O
_	_	_	O
피해	피해	NNG	O
_	_	_	O
사례	사례+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 4
## 창업을 위한 휴학이 인정되면 최대 2년(4학기)까지 연속으로 휴학이 가능하다.
## 창업을 위한 휴학이 인정되면 최대 <2년:DUR>(<4학기:DUR>)까지 연속으로 휴학이 가능하다.
창업	창업	NNG	O
을	을	JKO	O
_	_	_	O
위한	위하+ㄴ	VV+ETM	O
_	_	_	O
휴학	휴학	NNG	O
이	이	JKS	O
_	_	_	O
인정되	인정되	VV	O
면	면	EC	O
_	_	_	O
최대	최대	NNG	O
_	_	_	O
2	2	SN	B-DUR
년	년	NNB	I-DUR
(	(	SS	O
4	4	SN	B-DUR
학기	학기	NNG	I-DUR
)	)	SS	O
까지	까지	JX	O
_	_	_	O
연속	연속	NNG	O
으로	으로	JKB	O
_	_	_	O
휴학	휴학	NNG	O
이	이	JKS	O
_	_	_	O
가능하	가능하	VA	O
다	다	EF	O
.	.	SF	O

## 5
## 통일로(74분) 자유로(49분)를 이용하는 것보다 10∼35분 짧다.
## <통일로:LOC>(<74분:NOH>) <자유로:LOC>(<49분:NOH>)를 이용하는 것보다 <10:NOH>∼<35분:NOH> 짧다.
통일	통일	NNG	B-LOC
로	로	JKB	I-LOC
(	(	SS	O
74	74	SN	B-NOH
분	분	NNB	I-NOH
)	)	SS	O
_	_	_	O
자유	자유	NNG	B-LOC
로	로	JKB	I-LOC
(	(	SS	O
49	49	SN	B-NOH
분	분	NNB	I-NOH
)	)	SS	O
를	를	JKO	O
_	_	_	O
이용하	이용하	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
보다	보다	JKB	O
_	_	_	O
10	10	SN	B-NOH
∼	∼	SO	O
35	35	SN	B-NOH
분	분	NNB	I-NOH
_	_	_	O
짧	짧	VA	O
다	다	EF	O
.	.	SF	O

## 6
## 김무열-윤승아 커플, 이탈리아 여행 중 다정한 근황 전해…'깨가 쏟아지네'
## <김무열:PER>-<윤승아:PER> 커플, <이탈리아:LOC> 여행 중 다정한 근황 전해…'깨가 쏟아지네'
김무열	김무열	NNP	B-PER
-	-	SO	O
