## 1
## 박람회 현장에서 매 시간마다 추첨을 통해 경품을 증정하는 ‘LUCKY DRAW’를 진행한다.
## 박람회 현장에서 매 시간마다 추첨을 통해 경품을 증정하는 ‘<LUCKY DRAW:POH>’를 진행한다.
박람회	박람회	NNG	O
_	_	_	O
현장	현장	NNG	O
에서	에서	JKB	O
_	_	_	O
매	매	MM	O
_	_	_	O
시간	시간	NNG	O
마다	마다	JX	O
_	_	_	O
추첨	추첨	NNG	O
을	을	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
경품	경품	NNG	O
을	을	JKO	O
_	_	_	O
증정하	증정하	VV	O
는	는	ETM	O
_	_	_	O
‘	‘	SS	O
LUCKY	LUCKY	SL	B-POH
_	_	_	I-POH
DRAW	DRAW	SL	I-POH
’	’	SS	O
를	를	JKO	O
_	_	_	O
진행한다	진행하+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 노벨상·공쿠르상과 함께 세계 3대 문학상으로 꼽히는 맨부커상의 자매상이다.
## <노벨상:POH>·<공쿠르상:POH>과 함께 세계 <3대:NOH> 문학상으로 꼽히는 <맨부커상:POH>의 자매상이다.
노벨상	노벨상	NNG	B-POH
·	·	SP	O
공쿠르상	공쿠르상	NNG	B-POH
과	과	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
세계	세계	NNG	O
_	_	_	O
3	3	SN	B-NOH
대	대	NNB	I-NOH
_	_	_	O
문학상	문학상	NNG	O
으로	으로	JKB	O
_	_	_	O
꼽히	꼽히	VV	O
는	는	ETM	O
_	_	_	O
맨	맨	XPN	B-POH
부커	부커	NNP	I-POH
상	상	NNG	I-POH
의	의	JKG	O
_	_	_	O
자매	자매	NNG	O
상	상	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 3
## 장기영은 조선은행 입사동기인 백두진에게 서운함을 느끼면서도 김진형을 의심했다.
## <장기영:PER>은 <조선은행:ORG> 입사동기인 <백두진:PER>에게 서운함을 느끼면서도 <김진형:PER>을 의심했다.
장기영	장기영	NNP	B-PER
은	은	JX	O
_	_	_	O
조선은행	조선은행	NNG	B-ORG
_	_	_	O
입사	입사	NNG	O
동기	동기	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
백두진	백두진	NNP	B-PER
에게	에게	JKB	O
_	_	_	O
서운함	서운하+ㅁ	VA+ETN	O
을	을	JKO	O
_	_	_	O
느끼	느끼	VV	O
면서	면서	EC	O
도	도	JX	O
_	_	_	O
김진형	김진형	NNP	B-PER
을	을	JKO	O
_	_	_	O
의심	의심하	VV	O
했	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 오세근은 54경기에 출전해 평균 32분38초를 뛰면서 13.98점·8.4리바운드·3.4어시스트·1.4가로채기·1.0블록슛을 기록하며 KGC의 창단 첫 정규리그 우승에 앞장섰다.
## <오세근:PER>은 <54경기:NOH>에 출전해 평균 <32분38초:NOH>를 뛰면서 <13.98점:NOH>·<8.4리바운드:NOH>·<3.4어시스트:NOH>·<1.4가로채기:NOH>·<1.0블록슛:NOH>을 기록하며 <KGC:ORG>의 창단 <첫:NOH> 정규리그 우승에 앞장섰다.
오세근	오세근	NNP	B-PER
은	은	JX	O
_	_	_	O
54	54	SN	B-NOH
경기	경기	NNG	I-NOH
에	에	JKB	O
_	_	_	O
출전해	출전하+여	VV+EC	O
_	_	_	O
평균	평균	NNG	O
_	_	_	O
32	32	SN	B-NOH
분	분	NNB	I-NOH
38	38	SN	I-NOH
초	초	NNB	I-NOH
를	를	JKO	O
_	_	_	O
뛰	뛰	VV	O
면서	면서	EC	O
_	_	_	O
13.98	13.98	SN	B-NOH
점	점	NNB	I-NOH
·	·	SP	O
8.4	8.4	SN	B-NOH
리바운드	리바운드	NNG	I-NOH
·	·	SP	O
3.4	3.4	SN	B-NOH
어시스트	어시스트	NNG	I-NOH
·	·	SP	O
1.4	1.4	SN	B-NOH
가로채	가로채	VV	I-NOH
기	기	ETN	I-NOH
·	·	SP	O
1.0	1.0	SN	B-NOH
블록	블록	NNG	I-NOH
슛	슛	NNG	I-NOH
을	을	JKO	O
_	_	_	O
기록하	기록하	VV	O
며	며	EC	O
_	_	_	O
KGC	KGC	SL	B-ORG
의	의	JKG	O
_	_	_	O
창단	창단	NNG	O
_	_	_	O
첫	첫	MM	B-NOH
_	_	_	O
정규	정규	NNG	O
리그	리그	NNG	O
_	_	_	O
우승	우승	NNG	O
에	에	JKB	O
_	_	_	O
앞장섰	앞장서+었	VV+EP	O
다	다	EF	O
.	.	SF	O

## 5
## SK 관계자는 “터키는 중동과 유럽을 잇는 지정학적 요충지여서 터키에서의 사업 성공은 두 대륙에 대한 사업 진출에 유리한 교두보를 확보한다는 의미가 있다”고 말했다.
## <SK:ORG> 관계자는 “<터키:LOC>는 <중동:LOC>과 <유럽:LOC>을 잇는 지정학적 요충지여서 <터키:LOC>에서의 사업 성공은 <두 대륙:NOH>에 대한 사업 진출에 유리한 교두보를 확보한다는 의미가 있다”고 말했다.
SK	SK	SL	B-ORG
_	_	_	O
관계자	관계자	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
터키	터키	NNP	B-LOC
는	는	JX	O
_	_	_	O
중동	중동	NNP	B-LOC
과	과	JC	O
_	_	_	O
유럽	유럽	NNP	B-LOC
을	을	JKO	O
_	_	_	O
잇	잇	VV	O
는	는	ETM	O
_	_	_	O
지정학	지정학	NNG	O
적	적	XSN	O
_	_	_	O
요충지	요충지+이	NNG+VCP	O
여서	어서	EC	O
_	_	_	O
터키	터키	NNP	B-LOC
에서	에서	JKB	O
의	의	JKG	O
_	_	_	O
사업	사업	NNG	O
_	_	_	O
