## 1
## 신분당선 연장선 상현역과 광교중앙역이 멀지 않아 대중교통 여건도 양호한 편이다.
## <신분당선:POH> 연장선 <상현역:LOC>과 <광교중앙역:LOC>이 멀지 않아 대중교통 여건도 양호한 편이다.
신분당선	신분당선	NNP	B-POH
_	_	_	O
연장선	연장선	NNG	O
_	_	_	O
상	상	XSN	B-LOC
현역	현역	NNG	I-LOC
과	과	JC	O
_	_	_	O
광교	광교	NNP	B-LOC
중앙역	중앙역	NNP	I-LOC
이	이	JKS	O
_	_	_	O
멀	멀	VA	O
지	지	EC	O
_	_	_	O
않	않	VX	O
아	아	EC	O
_	_	_	O
대중	대중	NNG	O
교통	교통	NNG	O
_	_	_	O
여건	여건	NNG	O
도	도	JX	O
_	_	_	O
양호한	양호하+ㄴ	VA+ETM	O
_	_	_	O
편	편	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 서울시 21일부터 내달 15일까지
## <서울시:LOC> <21일:DAT>부터 내달 <15일:DAT>까지
서울시	서울시	NNP	B-LOC
_	_	_	O
21	21	SN	B-DAT
일	일	NNB	I-DAT
부터	부터	JX	O
_	_	_	O
내달	내달	NNG	O
_	_	_	O
15	15	SN	B-DAT
일	일	NNB	I-DAT
까지	까지	JX	O

## 3
## 아베크롬비가 있던 건물 임대료는 보증금 60억원에 월 2억3500만원이다.
## <아베크롬비:ORG>가 있던 건물 임대료는 보증금 <60억원:MNY>에 월 <2억3500만원:MNY>이다.
아베	아베	NNP	B-ORG
크롬비	크롬비	NNP	I-ORG
가	가	JKS	O
_	_	_	O
있	있	VA	O
던	던	ETM	O
_	_	_	O
건물	건물	NNG	O
_	_	_	O
임대료	임대료	NNG	O
는	는	JX	O
_	_	_	O
보증금	보증금	NNG	O
_	_	_	O
60	60	SN	B-MNY
억	억	NR	I-MNY
원	원	NNB	I-MNY
에	에	JKB	O
_	_	_	O
월	월	NNG	O
_	_	_	O
2	2	SN	B-MNY
억	억	NR	I-MNY
3500	3500	SN	I-MNY
만	만	NR	I-MNY
원	원	NNB	I-MNY
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 4
## 설 명절 걱정거리 1위는 ‘잔소리’…스트레스 만땅에 ‘한숨이 절로’
