## 1
## 배심원 7명은 만장일치로 유죄로 판단했다.
## 배심원 <7명:NOH>은 만장일치로 유죄로 판단했다.
배심원	배심원	NNG	O
_	_	_	O
7	7	SN	B-NOH
명	명	NNB	I-NOH
은	은	JX	O
_	_	_	O
만장일치	만장일치	NNG	O
로	로	JKB	O
_	_	_	O
유죄	유죄	NNG	O
로	로	JKB	O
_	_	_	O
판단	판단하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 검찰은 박 씨가 사건 전날 화투를 치다가 심하게 다퉜다는 피해자 진술, 피고인 옷과 전동휠체어, 지팡이 등 21곳에서 농약 성분이 검출된 점, 집에서 농약 성분이 든 드링크제 병이 나온 점 등을 증거로 제시했다.
## 검찰은 <박:PER> 씨가 사건 전날 화투를 치다가 심하게 다퉜다는 피해자 진술, 피고인 옷과 전동휠체어, 지팡이 등 <21곳:NOH>에서 농약 성분이 검출된 점, 집에서 농약 성분이 든 드링크제 병이 나온 점 등을 증거로 제시했다.
검찰	검찰	NNG	O
은	은	JX	O
_	_	_	O
박	박	NNP	B-PER
_	_	_	O
씨	씨	NNB	O
가	가	JKS	O
_	_	_	O
사건	사건	NNG	O
_	_	_	O
전날	전날	NNG	O
_	_	_	O
화투	화투	NNG	O
를	를	JKO	O
_	_	_	O
치	치	VV	O
다가	다가	EC	O
_	_	_	O
심하	심하	VA	O
게	게	EC	O
_	_	_	O
다	다투	VV	O
퉜	었	EP	O
다	다	EC	O
는	는	JX	O
_	_	_	O
피해자	피해자	NNG	O
_	_	_	O
진술	진술	NNG	O
,	,	SP	O
_	_	_	O
피고인	피고인	NNG	O
_	_	_	O
옷	옷	NNG	O
과	과	JC	O
_	_	_	O
전동	전동	NNP	O
휠체어	휠체어	NNG	O
,	,	SP	O
_	_	_	O
지팡이	지팡이	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
21	21	SN	B-NOH
곳	곳	NNG	I-NOH
에서	에서	JKB	O
_	_	_	O
농약	농약	NNG	O
_	_	_	O
성분	성분	NNG	O
이	이	JKS	O
_	_	_	O
검출된	검출되+ㄴ	VV+ETM	O
_	_	_	O
점	점	NNB	O
,	,	SP	O
_	_	_	O
집	집	NNG	O
에서	에서	JKB	O
_	_	_	O
농약	농약	NNG	O
_	_	_	O
성분	성분	NNG	O
이	이	JKS	O
_	_	_	O
든	들+ㄴ	VV+ETM	O
_	_	_	O
드링크제	드링크제	NNG	O
_	_	_	O
병	병	NNG	O
이	이	JKS	O
_	_	_	O
나온	나오+ㄴ	VV+ETM	O
_	_	_	O
점	점	NNG	O
_	_	_	O
등	등	NNB	O
을	을	JKO	O
_	_	_	O
증거	증거	NNG	O
로	로	JKB	O
_	_	_	O
제시	제시하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 또한 50여 분 동안 사건 현장에 있으면서 구조 노력을 하지 않는 등 범행 전후 미심쩍은 행동 등도 박 할머니를 범인으로 지목한 이유라고 검찰은 설명했다.
## 또한 <50여 분:DUR> 동안 사건 현장에 있으면서 구조 노력을 하지 않는 등 범행 전후 미심쩍은 행동 등도 <박:PER> 할머니를 범인으로 지목한 이유라고 검찰은 설명했다.
또한	또한	MAG	O
_	_	_	O
50	50	SN	B-DUR
여	여	XSN	I-DUR
_	_	_	I-DUR
분	분	NNB	I-DUR
_	_	_	O
동안	동안	NNG	O
_	_	_	O
사건	사건	NNG	O
_	_	_	O
현장	현장	NNG	O
에	에	JKB	O
_	_	_	O
있	있	VA	O
으면서	으면서	EC	O
_	_	_	O
구조	구조	NNG	O
_	_	_	O
노력	노력	NNG	O
을	을	JKO	O
_	_	_	O
하	하	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
는	는	ETM	O
_	_	_	O
등	등	NNB	O
_	_	_	O
범행	범행	NNG	O
_	_	_	O
전후	전후	NNG	O
_	_	_	O
미심쩍	미심쩍	VA	O
은	은	ETM	O
_	_	_	O
행동	행동	NNG	O
_	_	_	O
등	등	NNB	O
도	도	JX	O
_	_	_	O
박	박	NNP	B-PER
_	_	_	O
할머니	할머니	NNG	O
를	를	JKO	O
_	_	_	O
범인	범인	NNG	O
으로	으로	JKB	O
_	_	_	O
지목한	지목하+ㄴ	VV+ETM	O
_	_	_	O
이유	이유+이	NNG+VCP	O
라고	라고	EC	O
_	_	_	O
검찰	검찰	NNG	O
은	은	JX	O
