## 1
## 대법원은 주민공람 공고일을 기준으로 할 경우 이주대책 대상자에서 제외되는 안모 씨 등 5명에 대한 심리를 다시 하라며 사건을 서울고법으로 돌려보냈다.
## <대법원:ORG>은 주민공람 공고일을 기준으로 할 경우 이주대책 대상자에서 제외되는 <안모:PER> 씨 등 <5명:NOH>에 대한 심리를 다시 하라며 사건을 <서울고법:ORG>으로 돌려보냈다.
대법원	대법원	NNG	B-ORG
은	은	JX	O
_	_	_	O
주민	주민	NNG	O
공람	공람	NNG	O
_	_	_	O
공고	공고	NNG	O
일	일	XSN	O
을	을	JKO	O
_	_	_	O
기준	기준	NNG	O
으로	으로	JKB	O
_	_	_	O
할	하+ㄹ	VV+ETM	O
_	_	_	O
경우	경우	NNG	O
_	_	_	O
이주	이주	NNG	O
대책	대책	NNG	O
_	_	_	O
대상자	대상자	NNG	O
에서	에서	JKB	O
_	_	_	O
제외되	제외되	VV	O
는	는	ETM	O
_	_	_	O
안모	안모	NNP	B-PER
_	_	_	O
씨	씨	NNB	O
_	_	_	O
등	등	NNB	O
_	_	_	O
5	5	SN	B-NOH
명	명	NNB	I-NOH
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
심리	심리	NNG	O
를	를	JKO	O
_	_	_	O
다시	다시	MAG	O
_	_	_	O
하	하	VV	O
라며	라며	EC	O
_	_	_	O
사건	사건	NNG	O
을	을	JKO	O
_	_	_	O
서울	서울	NNP	B-ORG
고법	고법	NNG	I-ORG
으로	으로	JKB	O
_	_	_	O
돌려보냈	돌려보내+었	VV+EP	O
다	다	EF	O
.	.	SF	O

## 2
## 또한 우리가 자주 먹는 탄수화물 100g당 당질 함유량을 보면 흰쌀밥 36g, 식빵 44g, 소면 25g으로 한식에서 당을 뺀다는 건 쉽지 않다.
## 또한 우리가 자주 먹는 탄수화물 <100g:NOH>당 당질 함유량을 보면 흰쌀밥 <36g:NOH>, 식빵 <44g:NOH>, 소면 <25g:NOH>으로 한식에서 당을 뺀다는 건 쉽지 않다.
또한	또한	MAG	O
_	_	_	O
우리	우리	NP	O
가	가	JKS	O
_	_	_	O
자주	자주	MAG	O
_	_	_	O
먹	먹	VV	O
는	는	ETM	O
_	_	_	O
탄수화물	탄수화물	NNG	O
_	_	_	O
100	100	SN	B-NOH
g	g	SL	I-NOH
당	당	XSN	O
_	_	_	O
당질	당질	NNG	O
_	_	_	O
함유량	함유량	NNG	O
을	을	JKO	O
_	_	_	O
보	보	VV	O
면	면	EC	O
_	_	_	O
흰	희+ㄴ	VA+ETM	O
쌀밥	쌀밥	NNG	O
_	_	_	O
36	36	SN	B-NOH
g	g	SL	I-NOH
,	,	SP	O
_	_	_	O
식빵	식빵	NNG	O
_	_	_	O
44	44	SN	B-NOH
g	g	SL	I-NOH
,	,	SP	O
_	_	_	O
소면	소면	NNG	O
_	_	_	O
