## 1
## 신용회복위원회가 담보대출을 내준 모든 금융회사에 요청해서 50% 이상(금액 기준)이 동의하면 전 금융권이 일괄적으로 경매를 미뤄준다.
## <신용회복위원회:ORG>가 담보대출을 내준 모든 금융회사에 요청해서 <50%:PNT> 이상(금액 기준)이 동의하면 전 금융권이 일괄적으로 경매를 미뤄준다.
신용	신용	NNG	B-ORG
회복	회복	NNG	I-ORG
위원회	위원회	NNG	I-ORG
가	가	JKS	O
_	_	_	O
담보대출	담보대출	NNG	O
을	을	JKO	O
_	_	_	O
내준	내주+ㄴ	VV+ETM	O
_	_	_	O
모든	모든	MM	O
_	_	_	O
금융	금융	NNG	O
회사	회사	NNG	O
에	에	JKB	O
_	_	_	O
요청해서	요청하+여서	VV+EC	O
_	_	_	O
50	50	SN	B-PNT
%	%	SW	I-PNT
_	_	_	O
이상	이상	NNG	O
(	(	SS	O
금액	금액	NNG	O
_	_	_	O
기준	기준	NNG	O
)	)	SS	O
이	이	JKS	O
_	_	_	O
동의하	동의하	VV	O
면	면	EC	O
_	_	_	O
전	전	MM	O
_	_	_	O
금융권	금융권	NNG	O
이	이	JKS	O
_	_	_	O
일괄적	일괄적	NNG	O
으로	으로	JKB	O
_	_	_	O
경매	경매	NNG	O
를	를	JKO	O
_	_	_	O
미뤄	미루+어	VV+EC	O
준다	주+ㄴ다	VX+EF	O
.	.	SF	O

## 2
## 6 브뤼셀스프라우트와 백만송이 버섯은 데치고, 감자는 껍질을 깎은 후 튀긴다.
## <6:NOH> <브뤼셀스프라우트:POH>와 <백만송이 버섯:POH>은 데치고, 감자는 껍질을 깎은 후 튀긴다.
6	6	SN	B-NOH
_	_	_	O
브뤼셀	브뤼셀	NNP	B-POH
스프	스프	NNG	I-POH
라우트	라우트	NNG	I-POH
와	와	JC	O
_	_	_	O
백만	백만	NR	B-POH
송이	송이	NNG	I-POH
_	_	_	I-POH
버섯	버섯	NNG	I-POH
은	은	JX	O
_	_	_	O
데치	데치	VV	O
고	고	EC	O
,	,	SP	O
_	_	_	O
감자	감자	NNG	O
는	는	JX	O
_	_	_	O
껍질	껍질	NNG	O
을	을	JKO	O
_	_	_	O
깎	깎	VV	O
은	은	ETM	O
_	_	_	O
후	후	NNG	O
_	_	_	O
튀긴다	튀기+ㄴ다	VV+EF	O
.	.	SF	O

## 3
## 손 전 고문은 이날 광주 북구의 한 식당에서 자신의 싱크탱크인 ‘동아시아미래재단’ 관계자와 지지자 등 600여 명에게 “총선의 결과를 깊이 새겨 국민의 분노와 좌절을 제대로 안아서 새판을 짜는 데 앞장서 나갈 것”이라고 말했다.
## <손:PER> 전 고문은 이날 <광주:LOC> <북구:LOC>의 한 식당에서 자신의 싱크탱크인 ‘<동아시아미래재단:ORG>’ 관계자와 지지자 등 <600여 명:NOH>에게 “총선의 결과를 깊이 새겨 국민의 분노와 좌절을 제대로 안아서 새판을 짜는 데 앞장서 나갈 것”이라고 말했다.
손	손	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
고문	고문	NNG	O
은	은	JX	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
광주	광주	NNP	B-LOC
_	_	_	O
북구	북구	NNP	B-LOC
의	의	JKG	O
_	_	_	O
한	한	MM	O
_	_	_	O
식당	식당	NNG	O
에서	에서	JKB	O
_	_	_	O
자신	자신	NNG	O
의	의	JKG	O
_	_	_	O
싱크탱크	싱크탱크	NNP	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
‘	‘	SS	O
동아시아미래재단	동아시아미래재단	NNP	B-ORG
’	’	SS	O
_	_	_	O
관계자	관계자	NNG	O
와	와	JC	O
_	_	_	O
지지자	지지자	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
600	600	SN	B-NOH
여	여	XSN	I-NOH
_	_	_	I-NOH
명	명	NNB	I-NOH
에게	에게	JKB	O
_	_	_	O
“	“	SS	O
총선	총선	NNG	O
의	의	JKG	O
_	_	_	O
결과	결과	NNG	O
를	를	JKO	O
_	_	_	O
깊이	깊이	MAG	O
_	_	_	O
새겨	새기+어	VV+EC	O
_	_	_	O
국민	국민	NNG	O
의	의	JKG	O
_	_	_	O
분노	분노	NNG	O
와	와	JC	O
_	_	_	O
좌절	좌절	NNG	O
을	을	JKO	O
_	_	_	O
제대로	제대로	MAG	O
_	_	_	O
안	안	VV	O
아서	아서	EC	O
_	_	_	O
새판	새판	NNG	O
을	을	JKO	O
_	_	_	O
짜	짜	VV	O
는	는	ETM	O
_	_	_	O
데	데	NNB	O
_	_	_	O
앞장서	앞장서+어	VV+EC	O
_	_	_	O
나갈	나가+ㄹ	VX+ETM	O
_	_	_	O
것	것	NNB	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
말	말하	VV	O
