## 1
## YG엔터테인먼트 소속의 위너, 아이콘도 모두 리얼리티 프로그램으로 대중에 먼저 인사했다.
## <YG엔터테인먼트:ORG> 소속의 <위너:ORG>, <아이콘:ORG>도 모두 리얼리티 프로그램으로 대중에 먼저 인사했다.
YG	YG	SL	B-ORG
엔터테인먼트	엔터테인먼트	NNG	I-ORG
_	_	_	O
소속	소속	NNG	O
의	의	JKG	O
_	_	_	O
위너	위너	NNG	B-ORG
,	,	SP	O
_	_	_	O
아이콘	아이콘	NNG	B-ORG
도	도	JX	O
_	_	_	O
모두	모두	MAG	O
_	_	_	O
리얼리티	리얼리티	NNG	O
_	_	_	O
프로그램	프로그램	NNG	O
으로	으로	JKB	O
_	_	_	O
대중	대중	NNG	O
에	에	JKB	O
_	_	_	O
먼저	먼저	MAG	O
_	_	_	O
인사	인사하	VV	O
했	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 익동다방은 골목길과 마당을 포함해서 21평 규모지만 실제 사용하는 공간은 15평 정도다.
## <익동다방:LOC>은 골목길과 마당을 포함해서 <21평:NOH> 규모지만 실제 사용하는 공간은 <15평:NOH> 정도다.
익	익	NNG	B-LOC
동다방	동다방	NNP	I-LOC
은	은	JX	O
_	_	_	O
골목길	골목길	NNG	O
과	과	JC	O
_	_	_	O
마당	마당	NNG	O
을	을	JKO	O
_	_	_	O
포함해서	포함하+여서	VV+EC	O
_	_	_	O
21	21	SN	B-NOH
평	평	NNB	I-NOH
_	_	_	O
규모	규모+이	NNG+VCP	O
지만	지만	EC	O
_	_	_	O
실제	실제	NNG	O
_	_	_	O
사용하	사용하	VV	O
는	는	ETM	O
_	_	_	O
공간	공간	NNG	O
은	은	JX	O
_	_	_	O
15	15	SN	B-NOH
평	평	NNB	I-NOH
_	_	_	O
정도	정도+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 3
## ‘씨스타’ 효린, 환상적인 비키니 몸매 공개… 구릿빛 피부 ‘눈길’
## ‘<씨스타:ORG>’ <효린:PER>, 환상적인 비키니 몸매 공개… 구릿빛 피부 ‘눈길’
‘	‘	SS	O
씨스타	씨스타	NNP	B-ORG
’	’	SS	O
_	_	_	O
효	효	NNG	B-PER
린	린	NNP	I-PER
,	,	SP	O
_	_	_	O
환상적	환상적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
비키니	비키니	NNG	O
_	_	_	O
몸매	몸매	NNG	O
_	_	_	O
공개	공개	NNG	O
…	…	SE	O
_	_	_	O
구릿빛	구릿빛	NNG	O
_	_	_	O
피부	피부	NNG	O
_	_	_	O
‘	‘	SS	O
눈길	눈길	NNG	O
’	’	SS	O

## 4
## 오히려 일본군 위안부 피해자 중에는 “합의 자체는 불가피했고 받아들이겠다”는 사람도 있다.
## 오히려 <일본군 위안부:ORG> 피해자 중에는 “합의 자체는 불가피했고 받아들이겠다”는 사람도 있다.
오히려	오히려	MAG	O
_	_	_	O
일본	일본	NNP	B-ORG
군	군	NNG	I-ORG
_	_	_	I-ORG
위안부	위안부	NNG	I-ORG
_	_	_	O
피해자	피해자	NNG	O
_	_	_	O
중	중	NNB	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
“	“	SS	O
합의	합의	NNG	O
_	_	_	O
자체	자체	NNG	O
는	는	JX	O
_	_	_	O
불가피	불가피하	VA	O
했	였	EP	O
고	고	EC	O
_	_	_	O
받아들이	받아들이	VV	O
겠	겠	EP	O
다	다	EF	O
”	”	SS	O
는	는	JX	O
_	_	_	O
사람	사람	NNG	O
도	도	JX	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 5
## 앞서 죠스떡볶이는 지난 4월 브랜드와 관련된 다양한 동영상 콘텐츠를 제작하는 죠스미디어사업단을 구축한 바 있다.
## 앞서 <죠스떡볶이:ORG>는 지난 <4월:DAT> 브랜드와 관련된 다양한 동영상 콘텐츠를 제작하는 <죠스미디어사업단:ORG>을 구축한 바 있다.
앞서	앞서	MAG	O
_	_	_	O
죠스	죠스	NNP	B-ORG
떡볶이	떡볶이	NNG	I-ORG
는	는	JX	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
4	4	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
브랜드	브랜드	NNG	O
와	와	JKB	O
_	_	_	O
관련된	관련되+ㄴ	VV+ETM	O
_	_	_	O
다양한	다양하+ㄴ	VA+ETM	O
_	_	_	O
동영상	동영상	NNG	O
_	_	_	O
콘텐츠	콘텐츠	NNG	O
를	를	JKO	O
_	_	_	O
제작하	제작하	VV	O
는	는	ETM	O
_	_	_	O
죠스	죠스	NNP	B-ORG
미디어	미디어	NNG	I-ORG
사업	사업	NNG	I-ORG
단	단	XSN	I-ORG
을	을	JKO	O
_	_	_	O
구축한	구축하+ㄴ	VV+ETM	O
_	_	_	O
바	바	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 6
## 시즌 5승 사냥과 상금왕 굳히기에 나섰던 전인지는 전날까지 박성현 등과 공동 선두를 달렸지만 3라운드에서 3오버파를 기록하며 최종 합계 7언더파로 공동 11위에 머물렀다.
## 시즌 <5승:NOH> 사냥과 상금왕 굳히기에 나섰던 <전인지:PER>는 전날까지 <박성현:PER> 등과 공동 선두를 달렸지만 <3라운드:NOH>에서 <3오버파:NOH>를 기록하며 최종 합계 <7언더파:NOH>로 공동 <11위:NOH>에 머물렀다.
시즌	시즌	NNG	O
_	_	_	O
