## 1
## 북쪽에 산다고 폭염에 안전하지 않아 통계청에 따르면 2003년부터 10년간 열사병으로 사망한 국내 인구는 293명으로 나타났다.
## 북쪽에 산다고 폭염에 안전하지 않아 <통계청:ORG>에 따르면 <2003년:DAT>부터 <10년간:DUR> 열사병으로 사망한 국내 인구는 <293명:NOH>으로 나타났다.
북쪽	북쪽	NNG	O
에	에	JKB	O
_	_	_	O
산다고	살+ㄴ다고	VV+EC	O
_	_	_	O
폭염	폭염	NNG	O
에	에	JKB	O
_	_	_	O
안전하	안전하	VA	O
지	지	EC	O
_	_	_	O
않	않	VX	O
아	아	EC	O
_	_	_	O
통계청	통계청	NNG	B-ORG
에	에	JKB	O
_	_	_	O
따르	따르	VV	O
면	면	EC	O
_	_	_	O
2003	2003	SN	B-DAT
년	년	NNB	I-DAT
부터	부터	JX	O
_	_	_	O
10	10	SN	B-DUR
년	년	NNB	I-DUR
간	간	XSN	I-DUR
_	_	_	O
열사병	열사병	NNG	O
으로	으로	JKB	O
_	_	_	O
사망한	사망하+ㄴ	VV+ETM	O
_	_	_	O
국내	국내	NNG	O
_	_	_	O
인구	인구	NNG	O
는	는	JX	O
_	_	_	O
293	293	SN	B-NOH
명	명	NNB	I-NOH
으로	으로	JKB	O
_	_	_	O
나타났	나타나+았	VV+EP	O
다	다	EF	O
.	.	SF	O

## 2
## 이에 맞선 소련의 수비군은 병력과 장비면에서 상대적으로 초라하기 비할 바 없었다.
## 이에 맞선 <소련:ORG>의 수비군은 병력과 장비면에서 상대적으로 초라하기 비할 바 없었다.
이	이	NP	O
에	에	JKB	O
_	_	_	O
맞선	맞서+ㄴ	VV+ETM	O
_	_	_	O
소련	소련	NNP	B-ORG
의	의	JKG	O
_	_	_	O
수비군	수비군	NNG	O
은	은	JX	O
_	_	_	O
병력	병력	NNG	O
과	과	JC	O
_	_	_	O
장비	장비	NNG	O
면	면	NNG	O
에서	에서	JKB	O
_	_	_	O
상대적	상대적	NNG	O
으로	으로	JKB	O
_	_	_	O
초라하	초라하	VA	O
기	기	ETN	O
_	_	_	O
비할	비하+ㄹ	VV+ETM	O
_	_	_	O
바	바	NNB	O
_	_	_	O
없	없	VA	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 그런데 최근 며칠간 신규 가입자가 하루 평균 1000명에 육박한다.
## 그런데 최근 며칠간 신규 가입자가 <하루:NOH> 평균 <1000명:NOH>에 육박한다.
그런데	그런데	MAJ	O
_	_	_	O
최근	최근	NNG	O
_	_	_	O
며칠	며칠	NNG	O
간	간	XSN	O
_	_	_	O
신규	신규	NNG	O
_	_	_	O
가입자	가입자	NNG	O
가	가	JKS	O
_	_	_	O
하루	하루	NNG	B-NOH
_	_	_	O
평균	평균	NNG	O
_	_	_	O
1000	1000	SN	B-NOH
명	명	NNB	I-NOH
에	에	JKB	O
_	_	_	O
육박한다	육박하+ㄴ다	VV+EF	O
.	.	SF	O

## 4
## 백종원은 “씻은 묵은지를 넣고 쌀뜨물을 넣으면 된다.
## <백종원:PER>은 “씻은 묵은지를 넣고 쌀뜨물을 넣으면 된다.
백종원	백종원	NNP	B-PER
은	은	JX	O
_	_	_	O
“	“	SS	O
씻	씻	VV	O
은	은	ETM	O
_	_	_	O
묵	묵	VV	O
은지	은지	EC	O
를	를	JKO	O
_	_	_	O
넣	넣	VV	O
고	고	EC	O
_	_	_	O
쌀뜨물	쌀뜨물	NNG	O
을	을	JKO	O
_	_	_	O
넣	넣	VV	O
으면	으면	EC	O
_	_	_	O
된다	되+ㄴ다	VV+EF	O
.	.	SF	O

## 5
## 2년 동안 열린 한국여자오픈에서 언더파를 기록한 선수는 김효주와 배선우 단 2명뿐이다.
## <2년:DUR> 동안 열린 <한국여자오픈:POH>에서 언더파를 기록한 선수는 <김효주:PER>와 <배선우:PER> 단 <2명:NOH>뿐이다.
2	2	SN	B-DUR
년	년	NNB	I-DUR
_	_	_	O
동안	동안	NNG	O
_	_	_	O
열린	열리+ㄴ	VV+ETM	O
_	_	_	O
한국	한국	NNP	B-POH
여자	여자	NNG	I-POH
오픈	오픈	NNG	I-POH
에서	에서	JKB	O
_	_	_	O
언더	언더	NNG	O
파	파	NNG	O
를	를	JKO	O
_	_	_	O
기록한	기록하+ㄴ	VV+ETM	O
_	_	_	O
선수	선수	NNG	O
는	는	JX	O
_	_	_	O
김효주	김효주	NNP	B-PER
와	와	JC	O
_	_	_	O
배선우	배선우	NNP	B-PER
_	_	_	O
단	단	MM	O
_	_	_	O
2	2	SN	B-NOH
명	명	NNB	I-NOH
뿐	뿐	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 6
## 이것을 맹자는 ‘공평함(平)’이라고 했다.
## 이것을 <맹자:POH>는 ‘공평함(平)’이라고 했다.
이것	이것	NP	O
을	을	JKO	O
