## 1
## Q. 얼마 전 기사를 읽다가 규제프리존특별법안이 9월 정기국회에서 최우선 처리될 것이라는 기사를 봤어요. 규제프리존이 뭔가요. 특별법안이 통과되면 무엇이 달라지나요. 미래 이끌 사업 규제 풀어 경제 살리고 일자리 만들자는 거죠A. 틴틴 여러분. 용어 설명을 하기 전에 먼저 일본에서 팔리는 삼각김밥 얘기부터 시작해야겠네요.
## Q. 얼마 전 기사를 읽다가 규제프리존특별법안이 <9월:DAT> 정기국회에서 최우선 처리될 것이라는 기사를 봤어요. 규제프리존이 뭔가요. 특별법안이 통과되면 무엇이 달라지나요. 미래 이끌 사업 규제 풀어 경제 살리고 일자리 만들자는 거죠A. 틴틴 여러분. 용어 설명을 하기 전에 먼저 <일본:ORG>에서 팔리는 삼각김밥 얘기부터 시작해야겠네요.
Q	Q	SL	O
.	.	SF	O
_	_	_	O
얼마	얼마	NNG	O
_	_	_	O
전	전	NNG	O
_	_	_	O
기사	기사	NNG	O
를	를	JKO	O
_	_	_	O
읽	읽	VV	O
다가	다가	EC	O
_	_	_	O
규제	규제	NNG	O
프리존	프리존	NNP	O
특별	특별	NNG	O
법안	법안	NNG	O
이	이	JKS	O
_	_	_	O
9	9	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
정기국회	정기국회	NNG	O
에서	에서	JKB	O
_	_	_	O
최우선	최우선	NNG	O
_	_	_	O
처리될	처리되+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
라는	라는	ETM	O
_	_	_	O
기사	기사	NNG	O
를	를	JKO	O
_	_	_	O
봤	+았	+EP	O
어요	어요	EF	O
.	.	SF	O
_	_	_	O
규제	규제	NNG	O
프리존	프리존	NNP	O
이	이	JKS	O
_	_	_	O
뭔가	뭐+이+ㄴ가	NP+VCP+EC	O
요	요	JX	O
.	.	SF	O
_	_	_	O
특별	특별	NNG	O
법안	법안	NNG	O
이	이	JKS	O
_	_	_	O
통과되	통과되	VV	O
면	면	EC	O
_	_	_	O
무엇	무엇	NP	O
이	이	JKS	O
_	_	_	O
달라지	달라지	VV	O
나	나	EC	O
요	요	JX	O
.	.	SF	O
_	_	_	O
미래	미래	NNG	O
_	_	_	O
이끌	이끌+ㄹ	VV+ETM	O
_	_	_	O
사업	사업	NNG	O
_	_	_	O
규제	규제	NNG	O
_	_	_	O
풀	풀	VV	O
어	어	EC	O
_	_	_	O
경제	경제	NNG	O
_	_	_	O
살리	살리	VV	O
고	고	EC	O
_	_	_	O
일자리	일자리	NNG	O
_	_	_	O
만들	만들	VV	O
자는	자는	ETM	O
_	_	_	O
거	것+이	NNB+VCP	O
죠	죠	EC	O
A	A	SL	O
.	.	SF	O
_	_	_	O
틴틴	틴틴	NNG	O
_	_	_	O
여러분	여러분	NP	O
.	.	SF	O
_	_	_	O
용어	용어	NNG	O
_	_	_	O
설명	설명	NNG	O
을	을	JKO	O
_	_	_	O
하	하	VV	O
기	기	ETN	O
_	_	_	O
전	전	NNG	O
에	에	JKB	O
_	_	_	O
먼저	먼저	MAG	O
_	_	_	O
일본	일본	NNP	B-ORG
에서	에서	JKB	O
_	_	_	O
팔리	팔리	VV	O
는	는	ETM	O
_	_	_	O
삼각	삼각	NNG	O
김밥	김밥	NNG	O
_	_	_	O
얘기	얘기	NNG	O
부터	부터	JX	O
_	_	_	O
시작해야	시작하+여야+하	VV+EC+VX	O
겠	겠	EP	O
네요	네요	EF	O
.	.	SF	O

## 2
## 칭화대 3명이 주목받는 가운데 여성 공청단 서기 3명이 도전하고 있다.
## <칭화대:ORG> <3명:NOH>이 주목받는 가운데 여성 공청단 서기 <3명:NOH>이 도전하고 있다.
칭화대	칭화대	NNP	B-ORG
_	_	_	O
3	3	SN	B-NOH
명	명	NNB	I-NOH
이	이	JKS	O
_	_	_	O
주목	주목	NNG	O
받	받	VV	O
는	는	ETM	O
_	_	_	O
가운데	가운데	NNG	O
_	_	_	O
여성	여성	NNG	O
_	_	_	O
공청	공청	NNG	O
단	단	XSN	O
_	_	_	O
서기	서기	NNG	O
_	_	_	O
3	3	SN	B-NOH
명	명	NNB	I-NOH
이	이	JKS	O
_	_	_	O
도전하	도전하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 3
## 조 감독 계약은 2017시즌으로 종료된다.
## <조:PER> 감독 계약은 <2017시즌:DAT>으로 종료된다.
조	조	NNP	B-PER
_	_	_	O
감독	감독	NNG	O
_	_	_	O
계약	계약	NNG	O
은	은	JX	O
_	_	_	O
2017	2017	SN	B-DAT
시즌	시즌	NNG	I-DAT
으로	으로	JKB	O
_	_	_	O
종료된다	종료되+ㄴ다	VV+EF	O
.	.	SF	O

## 4
## 최근 설문조사에서 임직원들은 전담조직 신설(30.6%), 성과 및 보상제도 보완(30.1%), 인수·합병(M&A) 활성화(20.9%) 등이 시급하다고 꼽기도 했다.
