## 1
## K뷰티 화장품이 두 면세점에서 쇼핑 ‘톱5 브랜드’를 휩쓴 것이다.
## K뷰티 화장품이 <두:NOH> 면세점에서 쇼핑 ‘<톱5:NOH> 브랜드’를 휩쓴 것이다.
K	K	SL	O
뷰티	뷰티	NNG	O
_	_	_	O
화장품	화장품	NNG	O
이	이	JKS	O
_	_	_	O
두	두	MM	B-NOH
_	_	_	O
면세점	면세점	NNG	O
에서	에서	JKB	O
_	_	_	O
쇼핑	쇼핑	NNG	O
_	_	_	O
‘	‘	SS	O
톱	톱	NNG	B-NOH
5	5	SN	I-NOH
_	_	_	O
브랜드	브랜드	NNG	O
’	’	SS	O
를	를	JKO	O
_	_	_	O
휩쓴	휩쓸+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## ① 차 유리창에 터치스크린…영화 보고 주변 검색도② 현대모비스 자율주행차, 고속도로서 보겠군요기존과 크지 않은 차이라고 볼 수 있지만 메르세데스-벤츠나 BMW, 도요타 같은 회사도 구현하지 못한 영역이다.
## ① 차 유리창에 터치스크린…영화 보고 주변 검색도② <현대모비스:ORG> 자율주행차, 고속도로서 보겠군요기존과 크지 않은 차이라고 볼 수 있지만 <메르세데스-벤츠:ORG>나 <BMW:ORG>, <도요타:ORG> 같은 회사도 구현하지 못한 영역이다.
①	①	SW	O
_	_	_	O
차	차	NNG	O
_	_	_	O
유리창	유리창	NNG	O
에	에	JKB	O
_	_	_	O
터치스크린	터치스크린	NNG	O
…	…	SE	O
영화	영화	NNG	O
_	_	_	O
보	보	VV	O
고	고	EC	O
_	_	_	O
주변	주변	NNG	O
_	_	_	O
검색	검색	NNG	O
도	도	JX	O
②	②	SW	O
_	_	_	O
현대모비스	현대모비스	NNP	B-ORG
_	_	_	O
자율	자율	NNG	O
주행	주행	NNG	O
차	차	NNG	O
,	,	SP	O
_	_	_	O
고속도로	고속도로	NNG	O
서	서	JKB	O
_	_	_	O
보	보	VV	O
겠	겠	EP	O
군	군	EC	O
요	요	XPN	O
기존	기존	NNG	O
과	과	JKB	O
_	_	_	O
크	크	VA	O
지	지	EC	O
_	_	_	O
않	않	VX	O
은	은	ETM	O
_	_	_	O
차	차이	NNG	O
이	이	VCP	O
라고	라고	EC	O
_	_	_	O
볼	보+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
지만	지만	EC	O
_	_	_	O
메르세데스	메르세데스	NNP	B-ORG
-	-	SO	I-ORG
벤츠	벤츠	NNP	I-ORG
나	나	JC	O
_	_	_	O
BMW	BMW	SL	B-ORG
,	,	SP	O
_	_	_	O
도요타	도요타	NNP	B-ORG
_	_	_	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
회사	회사	NNG	O
도	도	JX	O
_	_	_	O
구현하	구현하	VV	O
지	지	EC	O
_	_	_	O
못한	못하+ㄴ	VX+ETM	O
_	_	_	O
영역	영역	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 3
## 레버쿠젠과 함부르크의 2014∼2015시즌 독일 분데스리가 27라운드 경기가 열린 4일(한국시간) 바이 아레나. 경기 전 손흥민(23·레버쿠젠)의 이름이 전광판에 뜨자 원정 응원을 온 함부르크 팬들은 ‘뜨거운 야유’를 보냈다.
## <레버쿠젠:ORG>과 <함부르크:ORG>의 <2014∼2015:DUR>시즌 <독일:ORG> <분데스리가:POH> <27라운드:NOH> 경기가 열린 <4일:DAT>(<한국:LOC>시간) <바이 아레나:LOC>. 경기 전 <손흥민:PER>(<23:NOH>·<레버쿠젠:ORG>)의 이름이 전광판에 뜨자 원정 응원을 온 <함부르크:ORG> 팬들은 ‘뜨거운 야유’를 보냈다.
레버쿠젠	레버쿠젠	NNP	B-ORG
과	과	JC	O
_	_	_	O
함부르크	함부르크	NNP	B-ORG
의	의	JKG	O
_	_	_	O
2014	2014	SN	B-DUR
∼	∼	SO	I-DUR
2015	2015	SN	I-DUR
시즌	시즌	NNG	O
_	_	_	O
독일	독일	NNP	B-ORG
_	_	_	O
분데스리가	분데스리가	NNP	B-POH
_	_	_	O
27	27	SN	B-NOH
라운드	라운드	NNG	I-NOH
_	_	_	O
경기	경기	NNG	O
가	가	JKS	O
_	_	_	O
열린	열리+ㄴ	VV+ETM	O
_	_	_	O
4	4	SN	B-DAT
일	일	NNB	I-DAT
(	(	SS	O
한국	한국	NNP	B-LOC
시간	시간	NNG	O
)	)	SS	O
_	_	_	O
바이	바이	NNG	B-LOC
_	_	_	I-LOC
아레나	아레나	NNP	I-LOC
.	.	SF	O
_	_	_	O
경기	경기	NNG	O
_	_	_	O
전	전	NNG	O
_	_	_	O
손흥민	손흥민	NNP	B-PER
(	(	SS	O
23	23	SN	B-NOH
·	·	SP	O
레버쿠젠	레버쿠젠	NNP	B-ORG
)	)	SS	O
의	의	JKG	O
_	_	_	O
이름	이름	NNG	O
이	이	JKS	O
_	_	_	O
전광판	전광판	NNG	O
에	에	JKB	O
_	_	_	O
뜨	뜨	VV	O
자	자	EC	O
_	_	_	O
원정	원정	NNG	O
_	_	_	O
응원	응원	NNG	O
을	을	JKO	O
_	_	_	O
온	온	NNG	O
_	_	_	O
함부르크	함부르크	NNP	B-ORG
_	_	_	O
팬	팬	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
‘	‘	SS	O
뜨거	뜨겁	VA	O
운	ㄴ	ETM	O
_	_	_	O
야유	야유	NNG	O
’	’	SS	O
를	를	JKO	O
_	_	_	O
보냈	보내+었	VV+EP	O
다	다	EF	O
.	.	SF	O

## 4
## 문 후보는 지난 호남 경선때와 마찬가지로 ‘아점’(아침 겸 점심)으로 식사를 해결하며 연설문을 가다듬고 있다.
## <문:PER> 후보는 지난 <호남:LOC> 경선때와 마찬가지로 ‘아점’(아침 겸 점심)으로 식사를 해결하며 연설문을 가다듬고 있다.
문	문	NNP	B-PER
_	_	_	O
후보	후보	NNG	O
는	는	JX	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
호남	호남	NNP	B-LOC
_	_	_	O
경선	경선	NNG	O
때	때	NNG	O
와	와	JKB	O
_	_	_	O
마찬가지	마찬가지	NNG	O
로	로	JKB	O
_	_	_	O
‘	‘	SS	O
아점	아점	NNG	O
’	’	SS	O
(	(	SS	O
아침	아침	NNG	O
