## 1
## 공효진은 사랑스러운 미소를 지으며
## <공효진:PER>은 사랑스러운 미소를 지으며
공효진	공효진	NNP	B-PER
은	은	JX	O
_	_	_	O
사랑스러	사랑스럽	VA	O
운	ㄴ	ETM	O
_	_	_	O
미소	미소	NNG	O
를	를	JKO	O
_	_	_	O
지	짓	VV	O
으며	으며	EC	O

## 2
## ‘전·월세난 놔두고는 경제 못 살린다’는 중앙의 사설 제목이 경제 살리기에 초점을 맞추고 있다면, ‘언 발에 오줌 누기 서민 주거 대책’이라는 한겨레의 사설 제목은 복지에 초점을 맞추고 있다.
## ‘전·월세난 놔두고는 경제 못 살린다’는 <중앙:ORG>의 사설 제목이 경제 살리기에 초점을 맞추고 있다면, ‘언 발에 오줌 누기 서민 주거 대책’이라는 <한겨레:ORG>의 사설 제목은 복지에 초점을 맞추고 있다.
‘	‘	SS	O
전	전	NNP	O
·	·	SP	O
월세	월세	NNG	O
난	나+ㄴ	NP+JX	O
_	_	_	O
놔두	놔두	VV	O
고는	고는	EC	O
_	_	_	O
경제	경제	NNG	O
_	_	_	O
못	못	MAG	O
_	_	_	O
살린다	살리+ㄴ다	VV+EF	O
’	’	SS	O
는	는	JX	O
_	_	_	O
중앙	중앙	NNG	B-ORG
의	의	JKG	O
_	_	_	O
사설	사설	NNG	O
_	_	_	O
제목	제목	NNG	O
이	이	JKS	O
_	_	_	O
경제	경제	NNG	O
_	_	_	O
살리	살리	VV	O
기	기	ETN	O
에	에	JKB	O
_	_	_	O
초점	초점	NNG	O
을	을	JKO	O
_	_	_	O
맞추	맞추	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다면	다면	EC	O
,	,	SP	O
_	_	_	O
‘	‘	SS	O
언	얼+ㄴ	VV+ETM	O
_	_	_	O
발	발	NNG	O
에	에	JKB	O
_	_	_	O
오줌	오줌	NNG	O
_	_	_	O
누	누	VV	O
기	기	ETN	O
_	_	_	O
서민	서민	NNG	O
_	_	_	O
주거	주거	NNG	O
_	_	_	O
대책	대책	NNG	O
’	’	SS	O
이	이	VCP	O
라는	라는	ETM	O
_	_	_	O
한겨레	한겨레	NNP	B-ORG
의	의	JKG	O
_	_	_	O
사설	사설	NNG	O
_	_	_	O
제목	제목	NNG	O
은	은	JX	O
_	_	_	O
복지	복지	NNG	O
에	에	JKB	O
_	_	_	O
초점	초점	NNG	O
을	을	JKO	O
_	_	_	O
맞추	맞추	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 3
## 기억이 안 나서 나중에 유튜브를 찾아봤을 정도다.
## 기억이 안 나서 나중에 <유튜브:POH>를 찾아봤을 정도다.
기억	기억	NNG	O
이	이	JKS	O
_	_	_	O
안	안	MAG	O
_	_	_	O
나서	나+아서	VV+EC	O
_	_	_	O
나중	나중	NNG	O
에	에	JKB	O
_	_	_	O
