## 1
## 서세원은 8일 이른바 ‘동반 홍콩 출국설’에 대해 “매우 화가 난다.
## <서세원:PER>은 <8일:DAT> 이른바 ‘동반 <홍콩:LOC> 출국설’에 대해 “매우 화가 난다.
서세원	서세원	NNP	B-PER
은	은	JX	O
_	_	_	O
8	8	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
이른바	이른바	MAG	O
_	_	_	O
‘	‘	SS	O
동반	동반	NNG	O
_	_	_	O
홍콩	홍콩	NNP	B-LOC
_	_	_	O
출국	출국	NNG	O
설	설	XSN	O
’	’	SS	O
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
“	“	SS	O
매우	매우	MAG	O
_	_	_	O
화	화	NNG	O
가	가	JKS	O
_	_	_	O
난다	나+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 다만 한국 정부에 등록된 외국 정부 소속 외교관은 면책특권 때문에 위반사항이 적발돼도 처벌은 면할 수 있을 것으로 보인다.
## 다만 <한국 정부:ORG>에 등록된 외국 정부 소속 외교관은 면책특권 때문에 위반사항이 적발돼도 처벌은 면할 수 있을 것으로 보인다.
다만	다만	MAG	O
_	_	_	O
한국	한국	NNP	B-ORG
_	_	_	I-ORG
정부	정부	NNG	I-ORG
에	에	JKB	O
_	_	_	O
등록된	등록되+ㄴ	VV+ETM	O
_	_	_	O
외국	외국	NNG	O
_	_	_	O
정부	정부	NNG	O
_	_	_	O
소속	소속	NNG	O
_	_	_	O
외교관	외교관	NNG	O
은	은	JX	O
_	_	_	O
면책	면책	NNG	O
특권	특권	NNG	O
_	_	_	O
때문	때문	NNB	O
에	에	JKB	O
_	_	_	O
위반	위반	NNG	O
사항	사항	NNG	O
이	이	JKS	O
_	_	_	O
적발돼	적발되+어	VV+EC	O
도	도	JX	O
_	_	_	O
처벌	처벌	NNG	O
은	은	JX	O
_	_	_	O
면할	면하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
을	을	ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
보인다	보이+ㄴ다	VV+EF	O
.	.	SF	O

## 3
## 정명훈 전 서울시립교향악단 감독이 지휘하는 서울시향은 1부에는 베토벤의 ‘레오노레 서곡 3번’에 이어 상임 작곡가 진은숙의 ‘별들의 아이들의 노래’를 세계 초연했다.
## <정명훈:PER> 전 <서울시립교향악단:ORG> 감독이 지휘하는 <서울시향:ORG>은 <1부:NOH>에는 <베토벤:PER>의 ‘<레오노레 서곡 3번:POH>’에 이어 상임 작곡가 <진은숙:POH>의 ‘별들의 아이들의 노래’를 세계 초연했다.
정명훈	정명훈	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
서울	서울	NNP	B-ORG
시립	시립	NNG	I-ORG
교향악단	교향악단	NNG	I-ORG
_	_	_	O
감독	감독	NNG	O
