## 1
## 대기업에 다니는 최진영(30·가명) 씨는 얼마 전 병원에 다녀왔다.
## 대기업에 다니는 <최진영:PER>(<30:NOH>·가명) 씨는 얼마 전 병원에 다녀왔다.
대기업	대기업	NNG	O
에	에	JKB	O
_	_	_	O
다니	다니	VV	O
는	는	ETM	O
_	_	_	O
최진영	최진영	NNP	B-PER
(	(	SS	O
30	30	SN	B-NOH
·	·	SP	O
가명	가명	NNG	O
)	)	SS	O
_	_	_	O
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
얼마	얼마	NNG	O
_	_	_	O
전	전	NNG	O
_	_	_	O
병원	병원	NNG	O
에	에	JKB	O
_	_	_	O
다녀	다녀오	VV	O
왔	았	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 넥센이 상대적으로 빈약했던 포수 마스크까지 써야 했다.
## <넥센:ORG>이 상대적으로 빈약했던 포수 마스크까지 써야 했다.
넥센	넥센	NNP	B-ORG
이	이	JKS	O
_	_	_	O
상대적	상대적	NNG	O
으로	으로	JKB	O
_	_	_	O
빈약	빈약하	VA	O
했	었	EP	O
던	던	ETM	O
_	_	_	O
포수	포수	NNG	O
_	_	_	O
마스크	마스크	NNG	O
까지	까지	JX	O
_	_	_	O
써야	+어야	+EC	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 3
## 한편 맹기용은 지난해 5월 JTBC ‘냉장고를 부탁해’에 출연해 꽁치 샌드위치 ‘맹모닝’을 만들었지만 혹평을 받으면서 자질 논란에 휩싸였다.
## 한편 <맹기용:PER>은 지난해 <5월:DAT> <JTBC:ORG> ‘<냉장고를 부탁해:POH>’에 출연해 꽁치 샌드위치 ‘맹모닝’을 만들었지만 혹평을 받으면서 자질 논란에 휩싸였다.
한편	한편	MAG	O
_	_	_	O
맹기	맹기	NNG	B-PER
용	용	XSN	I-PER
은	은	JX	O
_	_	_	O
지난해	지난해	NNG	O
_	_	_	O
5	5	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
JTBC	JTBC	SL	B-ORG
_	_	_	O
‘	‘	SS	O
냉장고	냉장고	NNG	B-POH
를	를	JKO	I-POH
_	_	_	I-POH
부탁해	부탁하+여	VV+EF	I-POH
’	’	SS	O
에	에	JKB	O
_	_	_	O
출연해	출연하+여	VV+EC	O
_	_	_	O
꽁치	꽁치	NNG	O
_	_	_	O
샌드위치	샌드위치	NNG	O
_	_	_	O
‘	‘	SS	O
맹	맹	XPN	O
모닝	모닝	NNG	O
’	’	SS	O
을	을	JKO	O
_	_	_	O
만들	만들	VV	O
었	었	EP	O
지만	지만	EC	O
_	_	_	O
혹평	혹평	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
으면서	으면서	EC	O
_	_	_	O
자질	자질	NNG	O
_	_	_	O
논란	논란	NNG	O
에	에	JKB	O
_	_	_	O
휩싸	휩싸이	VV	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 김민건(56) 범시민대책위 부위원장은 “총탄 1발은 주민 1명과 불과 1m 정도의 가까운 지점에 떨어져 아찔한 상황이었다”며 “특히 목장 내 주택과도 2m 정도로 근접한 곳에 총탄이 떨어졌다”고 말했다.
## <김민건:PER>(<56:NOH>) 범시민대책위 부위원장은 “총탄 <1발:NOH>은 주민 <1명:NOH>과 불과 <1m:NOH> 정도의 가까운 지점에 떨어져 아찔한 상황이었다”며 “특히 목장 내 주택과도 <2m:NOH> 정도로 근접한 곳에 총탄이 떨어졌다”고 말했다.
김민건	김민건	NNP	B-PER
(	(	SS	O
56	56	SN	B-NOH
)	)	SS	O
_	_	_	O
범	범	XPN	O
시민	시민	NNG	O
대책	대책	NNG	O
위	위	NNG	O
_	_	_	O
부위원장	부위원장	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
총탄	총탄	NNG	O
_	_	_	O
1	1	SN	B-NOH
발	발	NNG	I-NOH
은	은	JX	O
_	_	_	O
주민	주민	NNG	O
_	_	_	O
1	1	SN	B-NOH
명	명	NNB	I-NOH
과	과	JKB	O
_	_	_	O
불과	불과	MAG	O
_	_	_	O
1	1	SN	B-NOH
m	m	SL	I-NOH
_	_	_	O
정도	정도	NNG	O
의	의	JKG	O
_	_	_	O
가까	가깝	VA	O
운	ㄴ	ETM	O
_	_	_	O
지점	지점	NNG	O
에	에	JKB	O
_	_	_	O
떨어져	떨어지+어	VV+EC	O
_	_	_	O
아찔한	아찔하+ㄴ	VA+ETM	O
_	_	_	O
상황	상황	NNG	O
이	이	VCP	O
었	었	EP	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
특히	특히	MAG	O
_	_	_	O
목장	목장	NNG	O
_	_	_	O
내	내	NNB	O
_	_	_	O
주택	주택	NNG	O
과	과	JKB	O
도	도	JX	O
_	_	_	O
2	2	SN	B-NOH
