## 1
## 워싱턴포스트(WP)는 ＂트럼프는 가능하면 숀 스파이서 백악관 대변인의 일일 브리핑을 직접 모니터링하고 있다.
## <워싱턴포스트:ORG>(<WP:ORG>)는 ＂<트럼프:PER>는 가능하면 <숀 스파이서:PER> <백악관:ORG> 대변인의 일일 브리핑을 직접 모니터링하고 있다.
워싱턴포스트	워싱턴포스트	NNP	B-ORG
(	(	SS	O
WP	WP	SL	B-ORG
)	)	SS	O
는	는	JX	O
_	_	_	O
＂	＂	SS	O
트럼프	트럼프	NNP	B-PER
는	는	JX	O
_	_	_	O
가능하	가능하	VA	O
면	면	EC	O
_	_	_	O
숀	숀	NNP	B-PER
_	_	_	I-PER
스파이	스파이	NNG	I-PER
서	서	JKB	I-PER
_	_	_	O
백악관	백악관	NNP	B-ORG
_	_	_	O
대변인	대변인	NNG	O
의	의	JKG	O
_	_	_	O
일	일	NNG	O
일	이+ㄹ	VCP+ETM	O
_	_	_	O
브리핑	브리핑	NNG	O
을	을	JKO	O
_	_	_	O
직접	직접	MAG	O
_	_	_	O
모니터링	모니터링	NNG	O
하	하	XSV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 2
## 새롭게 출시된 1.6 모델은 더 매력적이다.
## 새롭게 출시된 <1.6 모델:NOH>은 더 매력적이다.
새롭	새롭	VA	O
게	게	EC	O
_	_	_	O
출시된	출시되+ㄴ	VV+ETM	O
_	_	_	O
1.6	1.6	SN	B-NOH
_	_	_	I-NOH
모델	모델	NNG	I-NOH
은	은	JX	O
_	_	_	O
더	더	MAG	O
_	_	_	O
매력적	매력적	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 3
## 매달린 4개 스크린 속에서 깃털로 전신을 덮은 무용수는 검은 새와 붉은 새를 오가며 푸닥거리를 하듯 요동을 친다.
## 매달린 <4개:NOH> 스크린 속에서 깃털로 전신을 덮은 무용수는 검은 새와 붉은 새를 오가며 푸닥거리를 하듯 요동을 친다.
매달린	매달리+ㄴ	VV+ETM	O
_	_	_	O
4	4	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
스크린	스크린	NNG	O
_	_	_	O
속	속	NNG	O
에서	에서	JKB	O
_	_	_	O
깃털	깃털	NNG	O
로	로	JKB	O
_	_	_	O
전신	전신	NNG	O
을	을	JKO	O
_	_	_	O
덮	덮	VV	O
은	은	ETM	O
_	_	_	O
무용수	무용수	NNG	O
는	는	JX	O
_	_	_	O
검	검	VA	O
은	은	ETM	O
_	_	_	O
새	새	NNG	O
와	와	JC	O
_	_	_	O
붉	붉	VA	O
은	은	ETM	O
_	_	_	O
새	새	NNG	O
를	를	JKO	O
_	_	_	O
오가	오가	VV	O
며	며	EC	O
_	_	_	O
푸닥거리	푸닥거리	NNG	O
를	를	JKO	O
_	_	_	O
하	하	VV	O
듯	듯	EC	O
_	_	_	O
요동	요동	NNG	O
을	을	JKO	O
_	_	_	O
친다	치+ㄴ다	VV+EF	O
.	.	SF	O

## 4
## 지난 경기에서 우승후보 조성주를 누르고 조1위로 8강에 진출하는 등 최고의 기량을 보여주고 있기 때문이다.
## 지난 경기에서 우승후보 <조성주:PER>를 누르고 조<1위:NOH>로 <8강:NOH>에 진출하는 등 최고의 기량을 보여주고 있기 때문이다.
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
경기	경기	NNG	O
에서	에서	JKB	O
_	_	_	O
우승	우승	NNG	O
후보	후보	NNG	O
_	_	_	O
조성주	조성주	NNP	B-PER
를	를	JKO	O
_	_	_	O
누르	누르	VV	O
고	고	EC	O
_	_	_	O
조	조	NNG	O
1	1	SN	B-NOH
위	위	NNB	I-NOH
로	로	JKB	O
_	_	_	O
8	8	SN	B-NOH
강	강	NNG	I-NOH
에	에	JKB	O
_	_	_	O
진출하	진출하	VV	O
는	는	ETM	O
_	_	_	O
등	등	NNB	O
_	_	_	O
최고	최고	NNG	O
의	의	JKG	O
_	_	_	O
기량	기량	NNG	O
을	을	JKO	O
_	_	_	O
보	보이	VV	O
여	어	EC	O
주	주	VX	O
고	고	EC	O
_	_	_	O
있	있	VX	O
기	기	ETN	O
_	_	_	O
때문	때문	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 5
## 시즌 초 홈에서 울산에 2-4로 질 때 그는 발가락 부상으로 뛰지 못했다.
## 시즌 초 홈에서 <울산:ORG>에 <2-4:NOH>로 질 때 그는 발가락 부상으로 뛰지 못했다.
시즌	시즌	NNG	O
_	_	_	O
초	초	NNB	O
_	_	_	O
홈	홈	NNG	O
에서	에서	JKB	O
_	_	_	O
울산	울산	NNP	B-ORG
에	에	JKB	O
_	_	_	O
2	2	SN	B-NOH
-	-	SO	I-NOH
4	4	SN	I-NOH
로	로	JKB	O
_	_	_	O
질	지+ㄹ	VV+ETM	O
_	_	_	O
때	때	NNG	O
_	_	_	O
그	그	NP	O
는	는	JX	O
_	_	_	O
발가락	발가락	NNG	O
_	_	_	O
부상	부상	NNG	O
으로	으로	JKB	O
_	_	_	O
뛰	뛰	VV	O
지	지	EC	O
_	_	_	O
못	못하	VX	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 버락 오바마 대통령의 전략은 아시아 재균형이다.
## <버락 오바마:PER> 대통령의 전략은 <아시아:LOC> 재균형이다.
버락	버락	NNP	B-PER
_	_	_	I-PER
오바마	오바마	NNP	I-PER
_	_	_	O
대통령	대통령	NNG	O
의	의	JKG	O
_	_	_	O
전략	전략	NNG	O
은	은	JX	O
_	_	_	O
아시아	아시아	NNP	B-LOC
_	_	_	O
재	재	XPN	O
균형	균형	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 7
## 폭설로 전날(23일) 오후 5시50분부터 시작된 공항 운영 중단이 이틀 더 연장되는 것이다.
## 폭설로 전날(<23일:DAT>) <오후 5시50분부터:TIM> 시작된 공항 운영 중단이 이틀 더 연장되는 것이다.
폭설	폭설	NNG	O
로	로	JKB	O
_	_	_	O
전날	전날	NNG	O
(	(	SS	O
23	23	SN	B-DAT
일	일	NNB	I-DAT
)	)	SS	O
_	_	_	O
오후	오후	NNG	B-TIM
_	_	_	I-TIM
5	5	SN	I-TIM
시	시	NNB	I-TIM
50	50	SN	I-TIM
분	분	NNB	I-TIM
부터	부터	JX	I-TIM
_	_	_	O
시작된	시작되+ㄴ	VV+ETM	O
_	_	_	O
공항	공항	NNG	O
_	_	_	O
운영	운영	NNG	O
_	_	_	O
중단	중단	NNG	O
이	이	JKS	O
_	_	_	O
이틀	이틀	NNG	O
_	_	_	O
더	더	MAG	O
_	_	_	O
연장되	연장되	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 8
## 제주에는 23일 하루 11㎝ 폭설이 내렸다.
## <제주:LOC>에는 <23일:DAT> 하루 <11㎝:NOH> 폭설이 내렸다.
제주	제주	NNP	B-LOC
에	에	JKB	O
는	는	JX	O
_	_	_	O
23	23	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
하루	하루	NNG	O
_	_	_	O
11	11	SN	B-NOH
㎝	㎝	SW	I-NOH
_	_	_	O
폭설	폭설	NNG	O
이	이	JKS	O
_	_	_	O
내	내리	VV	O
렸	었	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 그는 해당 ‘짤방’을 “지인들이 보내줘 알게 됐다”면서 “아홉살짜리 조카도 ‘선물 사 달라고 전해라’라고 말하더라. 처음엔 인터넷에서 돌아다니는 사진이 부끄럽기도 했는데, 많은 사람들이 좋아해준다기에 위안을 얻었다”고 말했다.
## 그는 해당 ‘짤방’을 “지인들이 보내줘 알게 됐다”면서 “<아홉살:NOH>짜리 조카도 ‘선물 사 달라고 전해라’라고 말하더라. 처음엔 인터넷에서 돌아다니는 사진이 부끄럽기도 했는데, 많은 사람들이 좋아해준다기에 위안을 얻었다”고 말했다.
그	그	NP	O
는	는	JX	O
_	_	_	O
해당	해당	NNG	O
_	_	_	O
‘	‘	SS	O
짤방	짤방	MAG	O
’	’	SS	O
을	을	JKO	O
_	_	_	O
“	“	SS	O
지인	지인	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
보내	보내+어	VV+EC	O
