## 1
## 경기 후 믹스트존을 지나치던 전북 선수들은 한결같이 망연자실한 표정이었다.
## 경기 후 믹스트존을 지나치던 <전북:ORG> 선수들은 한결같이 망연자실한 표정이었다.
경기	경기	NNG	O
_	_	_	O
후	후	NNG	O
_	_	_	O
믹스트	믹스트	NNG	O
존	존	NNG	O
을	을	JKO	O
_	_	_	O
지나치	지나치	VA	O
던	던	ETM	O
_	_	_	O
전북	전북	NNP	B-ORG
_	_	_	O
선수	선수	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
한결같이	한결같이	MAG	O
_	_	_	O
망연자실한	망연자실하+ㄴ	VV+ETM	O
_	_	_	O
표정	표정	NNG	O
이	이	VCP	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 앞서 유승준은 LA 총영사관에 한국에 입국하기 위한 비자를 신청했으나 거부당한 바 있다.
## 앞서 <유승준:PER>은 <LA 총영사관:ORG>에 <한국:LOC>에 입국하기 위한 비자를 신청했으나 거부당한 바 있다.
앞서	앞서	MAG	O
_	_	_	O
유승준	유승준	NNP	B-PER
은	은	JX	O
_	_	_	O
LA	LA	SL	B-ORG
_	_	_	I-ORG
총영사관	총영사관	NNG	I-ORG
에	에	JKB	O
_	_	_	O
한국	한국	NNP	B-LOC
에	에	JKB	O
_	_	_	O
입국하	입국하	VV	O
기	기	ETN	O
_	_	_	O
위한	위하+ㄴ	VV+ETM	O
_	_	_	O
비자	비자	NNG	O
를	를	JKO	O
_	_	_	O
신청	신청하	VV	O
했	였	EP	O
으나	으나	EC	O
_	_	_	O
거부	거부	NNG	O
당한	당하+ㄴ	XSV+ETM	O
_	_	_	O
바	바	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 3
## 유승준은 2002년 1월 한국 국적을 포기하고 미국 시민권을 얻었다.
## <유승준:ORG>은 <2002년 1월:DAT> <한국:ORG> 국적을 포기하고 <미국:ORG> 시민권을 얻었다.
유승준	유승준	NNP	B-ORG
은	은	JX	O
_	_	_	O
2002	2002	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	I-DAT
1	1	SN	I-DAT
월	월	NNB	I-DAT
_	_	_	O
한국	한국	NNP	B-ORG
_	_	_	O
국적	국적	NNG	O
을	을	JKO	O
_	_	_	O
포기하	포기하	VV	O
고	고	EC	O
_	_	_	O
미국	미국	NNP	B-ORG
_	_	_	O
시민권	시민권	NNG	O
을	을	JKO	O
_	_	_	O
얻	얻	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
## [단독]신동빈 “심려끼쳐 죄송… 수사 협조”
## [단독]<신동빈:PER> “심려끼쳐 죄송… 수사 협조”
[	[	SS	O
단독	단독	NNG	O
]	]	SS	O
신동빈	신동빈	NNP	B-PER
_	_	_	O
“	“	SS	O
심려	심려	NNG	O
끼쳐	끼치+어	VV+EC	O
_	_	_	O
죄송	죄송	NNG	O
…	…	SE	O
_	_	_	O
수사	수사	NNG	O
_	_	_	O
협조	협조	NNG	O
”	”	SS	O

## 5
## 현대자동차그룹은 자립을 꿈꾸는 어려운 이웃에게 창업용 차량을 선물하는 ‘기프트카 캠페인 시즌6’를 시작한다고 24일 밝혔다.
## <현대자동차그룹:ORG>은 자립을 꿈꾸는 어려운 이웃에게 창업용 차량을 선물하는 ‘<기프트카 캠페인 시즌6:POH>’를 시작한다고 <24일:DAT> 밝혔다.
현대자동차그룹	현대자동차그룹	NNP	B-ORG
은	은	JX	O
_	_	_	O
자립	자립	NNG	O
을	을	JKO	O
_	_	_	O
꿈꾸	꿈꾸	VV	O
는	는	ETM	O
_	_	_	O
어려	어렵	VA	O
운	ㄴ	ETM	O
_	_	_	O
이웃	이웃	NNG	O
에게	에게	JKB	O
_	_	_	O
창업	창업	NNG	O
용	용	XSN	O
_	_	_	O
차량	차량	NNG	O
을	을	JKO	O
_	_	_	O
선물하	선물하	VV	O
는	는	ETM	O
_	_	_	O
‘	‘	SS	O
기프트	기프트	NNG	B-POH
카	카	NNG	I-POH
_	_	_	I-POH
캠페인	캠페인	NNG	I-POH
_	_	_	I-POH
시즌	시즌	NNG	I-POH
6	6	SN	I-POH
’	’	SS	O
를	를	JKO	O
_	_	_	O
시작한다고	시작하+ㄴ다고	VV+EC	O
_	_	_	O
24	24	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 6
## NASA는 “얼굴 패턴을 찾아내는 심리적 현상에 의해 화성 생명체론이 불거진 것”이라고 말했다.
## <NASA:ORG>는 “얼굴 패턴을 찾아내는 심리적 현상에 의해 화성 생명체론이 불거진 것”이라고 말했다.
NASA	NASA	SL	B-ORG
는	는	JX	O
_	_	_	O
“	“	SS	O
얼굴	얼굴	NNG	O
_	_	_	O
패턴	패턴	NNG	O
을	을	JKO	O
_	_	_	O
찾아내	찾아내	VV	O
는	는	ETM	O
_	_	_	O
심리적	심리적	NNG	O
_	_	_	O
현상	현상	NNG	O
에	에	JKB	O
_	_	_	O
의해	의하+여	VV+EC	O
_	_	_	O
화성	화성	NNP	O
_	_	_	O
생명체	생명체	NNG	O
론	론	XSN	O
이	이	JKS	O
_	_	_	O
불거진	불거지+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 서태지와 아이들의 94년 악마 음악 논란도 파레이돌리아 현상으로 해석할 수 있다.
## <서태지와 아이들:ORG>의 <94년:DAT> 악마 음악 논란도 파레이돌리아 현상으로 해석할 수 있다.
서태지	서태지	NNP	B-ORG
와	와	JC	I-ORG
_	_	_	I-ORG
아이	아이	NNG	I-ORG
들	들	XSN	I-ORG
의	의	JKG	O
_	_	_	O
