## 1
## 양손을 주머니에 찔러 넣은 차재경은 학생을 앞에 둔 교수처럼 천천히 위엄 있는 목소리로 입을 열었다.
## 양손을 주머니에 찔러 넣은 <차재경:PER>은 학생을 앞에 둔 교수처럼 천천히 위엄 있는 목소리로 입을 열었다.
양손	양손	NNG	O
을	을	JKO	O
_	_	_	O
주머니	주머니	NNG	O
에	에	JKB	O
_	_	_	O
찔	찌르	VV	O
러	어	EC	O
_	_	_	O
넣	넣	VV	O
은	은	ETM	O
_	_	_	O
차재경	차재경	NNP	B-PER
은	은	JX	O
_	_	_	O
학생	학생	NNG	O
을	을	JKO	O
_	_	_	O
앞	앞	NNG	O
에	에	JKB	O
_	_	_	O
둔	두+ㄴ	VV+ETM	O
_	_	_	O
교수	교수	NNG	O
처럼	처럼	JKB	O
_	_	_	O
천천히	천천히	MAG	O
_	_	_	O
위엄	위엄	NNG	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
목소리	목소리	NNG	O
로	로	JKB	O
_	_	_	O
입	입	NNG	O
을	을	JKO	O
_	_	_	O
열	열	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 미국 백악관처럼 참모들과 옹기종기 모여 일하겠다.
## <미국:ORG> <백악관:ORG>처럼 참모들과 옹기종기 모여 일하겠다.
미국	미국	NNP	B-ORG
_	_	_	O
백악관	백악관	NNP	B-ORG
처럼	처럼	JKB	O
_	_	_	O
참모	참모	NNG	O
들	들	XSN	O
과	과	JKB	O
_	_	_	O
옹기종기	옹기종기	MAG	O
_	_	_	O
모	모이	VV	O
여	어	EC	O
_	_	_	O
일하	일하	VV	O
겠	겠	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 현재 국내에서 2차 테스트까지 마치고 막바지 준비 단계에 들어갔다.
## 현재 국내에서 <2차:NOH> 테스트까지 마치고 막바지 준비 단계에 들어갔다.
현재	현재	MAG	O
_	_	_	O
국내	국내	NNG	O
에서	에서	JKB	O
_	_	_	O
2	2	SN	B-NOH
차	차	NNB	I-NOH
_	_	_	O
테스트	테스트	NNG	O
까지	까지	JX	O
_	_	_	O
마치	마치	VV	O
고	고	EC	O
_	_	_	O
막바지	막바지	NNG	O
_	_	_	O
준비	준비	NNG	O
_	_	_	O
단계	단계	NNG	O
에	에	JKB	O
_	_	_	O
들어갔	들어가+았	VV+EP	O
다	다	EF	O
.	.	SF	O

