## 1
## 박근혜 대통령은 25일 국무회의에서 국회법 개정안 거부권을 행사하면서 여야 정치권을 싸잡아 비판했다.
## <박근혜:PER> 대통령은 <25일:DAT> 국무회의에서 국회법 개정안 거부권을 행사하면서 여야 정치권을 싸잡아 비판했다.
박근혜	박근혜	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
은	은	JX	O
_	_	_	O
25	25	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
국무회의	국무회의	NNG	O
에서	에서	JKB	O
_	_	_	O
국회법	국회법	NNG	O
_	_	_	O
개정안	개정안	NNG	O
_	_	_	O
거부권	거부권	NNG	O
을	을	JKO	O
_	_	_	O
행사하	행사하	VV	O
면서	면서	EC	O
_	_	_	O
여야	여야	NNG	O
_	_	_	O
정치권	정치권	NNG	O
을	을	JKO	O
_	_	_	O
싸잡	싸잡	VV	O
아	아	EC	O
_	_	_	O
비판	비판하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 이달 31일까지 합동대의원총회를 열어 통합 정관을 승인하고 다음 달 31일까지 문화체육관광부 장관의 승인을 받으면 통합이 완료된다.
## 이달 <31일:DAT>까지 합동대의원총회를 열어 통합 정관을 승인하고 다음 달 <31일:DAT>까지 <문화체육관광부:ORG> 장관의 승인을 받으면 통합이 완료된다.
이달	이달	NNG	O
_	_	_	O
31	31	SN	B-DAT
일	일	NNB	I-DAT
까지	까지	JX	O
_	_	_	O
합동	합동	NNG	O
대	대	XPN	O
의원총회	의원총회	NNG	O
를	를	JKO	O
_	_	_	O
열	열	VV	O
어	어	EC	O
_	_	_	O
통합	통합	NNG	O
_	_	_	O
정관	정관	NNG	O
을	을	JKO	O
_	_	_	O
승인하	승인하	VV	O
고	고	EC	O
_	_	_	O
다음	다음	NNG	O
_	_	_	O
달	달	NNG	O
_	_	_	O
31	31	SN	B-DAT
일	일	NNB	I-DAT
까지	까지	JX	O
_	_	_	O
문화	문화	NNG	B-ORG
