## 1
## 한동안 비과학적이고 혐오스러운 의학의 역사로 치부되기도 했지만, 20세기 들어 재조명받아 2004년엔 미국 식약청이 거머리를 ‘의료기구’로 승인했다.
## 한동안 비과학적이고 혐오스러운 의학의 역사로 치부되기도 했지만, <20세기:DUR> 들어 재조명받아 <2004년:DAT>엔 <미국:LOC> 식약청이 거머리를 ‘의료기구’로 승인했다.
한동안	한동안	NNG	O
_	_	_	O
비	비	XPN	O
과학적	과학적	NNG	O
이	이	VCP	O
고	고	EC	O
_	_	_	O
혐오스러	혐오스럽	VA	O
운	ㄴ	ETM	O
_	_	_	O
의학	의학	NNG	O
의	의	JKG	O
_	_	_	O
역사	역사	NNG	O
로	로	JKB	O
_	_	_	O
치부되	치부되	VV	O
기	기	ETN	O
도	도	JX	O
_	_	_	O
했	+였	+EP	O
지만	지만	EC	O
,	,	SP	O
_	_	_	O
20	20	SN	B-DUR
세기	세기	NNG	I-DUR
_	_	_	O
들	들	VV	O
어	어	EC	O
_	_	_	O
재조명	재조명	NNG	O
받	받	VV	O
아	아	EC	O
_	_	_	O
2004	2004	SN	B-DAT
년	년	NNB	I-DAT
엔	에+ㄴ	JKB+JX	O
_	_	_	O
미국	미국	NNP	B-LOC
_	_	_	O
식약청	식약청	NNG	O
이	이	JKS	O
_	_	_	O
거머리	거머리	NNG	O
를	를	JKO	O
_	_	_	O
‘	‘	SS	O
의료	의료	NNG	O
기구	기구	NNG	O
’	’	SS	O
로	로	JKB	O
_	_	_	O
승인	승인하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 게다가 패턴을 정확하게 지켜나가고 안정적인 패스가 나가니 임동섭, 김준일이 살아나고 라틀리프의 속공가담도 더 적극적이 된다.
## 게다가 패턴을 정확하게 지켜나가고 안정적인 패스가 나가니 <임동섭:PER>, <김준일:PER>이 살아나고 라틀리프의 속공가담도 더 적극적이 된다.
게다가	게다가	MAG	O
_	_	_	O
패턴	패턴	NNG	O
을	을	JKO	O
_	_	_	O
정확하	정확하	VA	O
게	게	EC	O
_	_	_	O
지켜	지키+어	VV+EC	O
나가	나가	VX	O
고	고	EC	O
_	_	_	O
안정적	안정적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
패스	패스	NNG	O
가	가	JKS	O
_	_	_	O
나가	나가	VV	O
니	니	EC	O
_	_	_	O
임동섭	임동섭	NNP	B-PER
,	,	SP	O
_	_	_	O
김준일	김준일	NNP	B-PER
이	이	JKS	O
_	_	_	O
살아나	살아나	VV	O
고	고	EC	O
_	_	_	O
라틀리프	라틀리프	NNP	O
의	의	JKG	O
_	_	_	O
속공	속공	NNG	O
가담	가담	NNG	O
도	도	JX	O
_	_	_	O
더	더	MAG	O
_	_	_	O
적극적	적극적	NNG	O
이	이	JKC	O
_	_	_	O
된다	되+ㄴ다	VV+EF	O
.	.	SF	O

## 3
## 많은 사람들이 철수와 영이가 60~70년대를 대표하는 교과서 주인공으로 알고 있지만 철수와 영이는 1964년까지만 주인공이었다.
## 많은 사람들이 <철수:PER>와 <영이:PER>가 <60~70년대:DUR>를 대표하는 교과서 주인공으로 알고 있지만 <철수:PER>와 <영이:PER>는 <1964년:DAT>까지만 주인공이었다.
많	많	VA	O
은	은	ETM	O
_	_	_	O
사람	사람	NNG	O
