## 1
## 국내 지도자 경험이 없지만 일본이든 한국이든 농구는 똑같다.
## 국내 지도자 경험이 없지만 <일본:ORG>이든 <한국:ORG>이든 농구는 똑같다.
국내	국내	NNG	O
_	_	_	O
지도자	지도자	NNG	O
_	_	_	O
경험	경험	NNG	O
이	이	JKS	O
_	_	_	O
없	없	VA	O
지만	지만	EC	O
_	_	_	O
일본	일본	NNP	B-ORG
이든	이든	JX	O
_	_	_	O
한국	한국	NNP	B-ORG
이든	이든	JX	O
_	_	_	O
농구	농구	NNG	O
는	는	JX	O
_	_	_	O
똑같	똑같	VA	O
다	다	EF	O
.	.	SF	O

## 2
## ＂(KB스타즈 안덕수 감독) 25일 열린 삼성생명 2016~2017 여자프로농구 미디어데이에서 감독과 각 구단 대표 선수들이 뽑은 우승후보는 이번에도 우리은행이었다.
## ＂(<KB스타즈:ORG> <안덕수:PER> 감독) <25일:DAT> 열린 <삼성생명:ORG> <2016~2017:DUR> 여자프로농구 미디어데이에서 감독과 각 구단 대표 선수들이 뽑은 우승후보는 이번에도 <우리은행:ORG>이었다.
＂	＂	SS	O
(	(	SS	O
KB	KB	SL	B-ORG
스타즈	스타즈	NNG	I-ORG
_	_	_	O
안덕수	안덕수	NNP	B-PER
_	_	_	O
감독	감독	NNG	O
)	)	SS	O
_	_	_	O
25	25	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
열린	열리+ㄴ	VV+ETM	O
_	_	_	O
삼성	삼성	NNP	B-ORG
생명	생명	NNG	I-ORG
_	_	_	O
2016	2016	SN	B-DUR
~	~	SO	I-DUR
2017	2017	SN	I-DUR
_	_	_	O
여자	여자	NNG	O
프로	프로	NNG	O
농구	농구	NNG	O
_	_	_	O
미디어데이	미디어데이	NNP	O
에서	에서	JKB	O
_	_	_	O
감독	감독	NNG	O
과	과	JC	O
_	_	_	O
각	각	MM	O
_	_	_	O
구단	구단	NNG	O
_	_	_	O
대표	대표	NNG	O
_	_	_	O
선수	선수	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
뽑	뽑	VV	O
은	은	ETM	O
_	_	_	O
우승	우승	NNG	O
후보	후보	NNG	O
는	는	JX	O
_	_	_	O
이번	이번	NNG	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
우리은행	우리은행	NNP	B-ORG
이	이	VCP	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 이를 통해 방송된 콘텐츠는 아프리카TV 애플리케이션에서 실시간 시청 및 녹화영상 시청이 가능하다.
## 이를 통해 방송된 콘텐츠는 <아프리카TV:ORG> 애플리케이션에서 실시간 시청 및 녹화영상 시청이 가능하다.
이	이	NP	O
를	를	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
방송된	방송되+ㄴ	VV+ETM	O
_	_	_	O
콘텐츠	콘텐츠	NNG	O
는	는	JX	O
_	_	_	O
아프리카	아프리카	NNP	B-ORG
TV	TV	SL	I-ORG
_	_	_	O
애플리케이션	애플리케이션	NNG	O
에서	에서	JKB	O
_	_	_	O
실시간	실시간	NNG	O
_	_	_	O
시청	시청	NNG	O
_	_	_	O
및	및	MAG	O
_	_	_	O
녹화	녹화	NNG	O
영상	영상	NNG	O
_	_	_	O
시청	시청	NNG	O
이	이	JKS	O
_	_	_	O
가능하	가능하	VA	O
다	다	EF	O
.	.	SF	O

## 4
## 인천 출신인 성동일은 불우했던 어린 시절과 생활고로 고생했던 어머니 이야기를 방송에서 여러 차례 밝혔다.
## <인천:LOC> 출신인 <성동일:PER>은 불우했던 어린 시절과 생활고로 고생했던 어머니 이야기를 방송에서 여러 차례 밝혔다.
인천	인천	NNP	B-LOC
_	_	_	O
출신	출신	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
성동일	성동일	NNP	B-PER
은	은	JX	O
_	_	_	O
불우	불우하	VA	O
했	었	EP	O
던	던	ETM	O
_	_	_	O
어린	어리+ㄴ	VA+ETM	O
_	_	_	O
시절	시절	NNG	O
과	과	JC	O
_	_	_	O
생활고	생활고	NNG	O
로	로	JKB	O
_	_	_	O
고생	고생하	VV	O
했	였	EP	O
던	던	ETM	O
_	_	_	O
어머니	어머니	NNG	O
_	_	_	O
이야기	이야기	NNG	O
를	를	JKO	O
_	_	_	O
방송	방송	NNG	O
에서	에서	JKB	O
_	_	_	O
여러	여러	MM	O
_	_	_	O
차례	차례	NNG	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 5
## ‘직언직설’에는 ‘아깜놀(아주 깜짝 놀랄 만한) 인터뷰’ 코너를 신설해 화제가 된 인물의 이면을 파헤친다.
## ‘<직언직설:POH>’에는 ‘아깜놀(아주 깜짝 놀랄 만한) 인터뷰’ 코너를 신설해 화제가 된 인물의 이면을 파헤친다.
‘	‘	SS	O
직언	직언	NNG	B-POH
직설	직설	NNG	I-POH
’	’	SS	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
‘	‘	SS	O
아깜놀	아깜놀	NNG	O
(	(	SS	O
아주	아주	MAG	O
_	_	_	O
깜짝	깜짝	MAG	O
_	_	_	O
놀랄	놀라+ㄹ	VV+ETM	O
_	_	_	O
만한	만하+ㄴ	VX+ETM	O
)	)	SS	O
_	_	_	O
인터뷰	인터뷰	NNG	O
’	’	SS	O
_	_	_	O
코너	코너	NNG	O
를	를	JKO	O
_	_	_	O
신설해	신설하+여	VV+EC	O
_	_	_	O
화제	화제	NNG	O
가	가	JKC	O
_	_	_	O
된	되+ㄴ	VV+ETM	O
_	_	_	O
인물	인물	NNG	O
의	의	JKG	O
_	_	_	O
이면	이면	NNG	O
을	을	JKO	O
_	_	_	O
파헤친다	파헤치+ㄴ다	VV+EF	O
.	.	SF	O

## 6
## 연암이 지금의 중국을 본다면
## <연암:PER>이 지금의 <중국:ORG>을 본다면
연암	연암	NNP	B-PER
이	이	JKS	O
_	_	_	O
지금	지금	NNG	O
의	의	JKG	O
_	_	_	O
중국	중국	NNP	B-ORG
을	을	JKO	O
_	_	_	O
본다면	보+ㄴ다면	VV+EC	O

## 7
## 김혜성 ‘불법 레이싱 피해’…사고 전 CCTV 보니? 외제차 도로 점검+과속 ‘눈살’배우 김혜성(28)의 차를 들이 받아 3명을 다치게 한 운전자가 불법 레이싱을 벌인 것으로 드러난 가운데, 레이싱을 벌이는 모습이 담긴 CCTV 영상이 공개됐다.
## <김혜성:PER> ‘불법 레이싱 피해’…사고 전 CCTV 보니? 외제차 도로 점검+과속 ‘눈살’배우 <김혜성:PER>(<28:NOH>)의 차를 들이 받아 <3명:NOH>을 다치게 한 운전자가 불법 레이싱을 벌인 것으로 드러난 가운데, 레이싱을 벌이는 모습이 담긴 CCTV 영상이 공개됐다.
김혜성	김혜성	NNP	B-PER
_	_	_	O
‘	‘	SS	O
불법	불법	NNG	O
_	_	_	O
레이싱	레이싱	NNG	O
_	_	_	O
피해	피하+여	VV+EF	O
’	’	SS	O
…	…	SE	O
사고	사고	NNG	O
_	_	_	O
전	전	MM	O
_	_	_	O
CCTV	CCTV	SL	O
_	_	_	O
보	보	VV	O
니	니	EF	O
?	?	SF	O
_	_	_	O
외제	외제	NNG	O
차	차	NNG	O
_	_	_	O
도로	도로	NNG	O
_	_	_	O
점검+	점검++	NNG+SW	O
과속	과속	NNG	O
_	_	_	O
‘	‘	SS	O
눈살	눈살	NNG	O
’	’	SS	O
배우	배우	NNG	O
_	_	_	O
김혜성	김혜성	NNP	B-PER
(	(	SS	O
28	28	SN	B-NOH
)	)	SS	O
의	의	JKG	O
_	_	_	O
차	차	NNG	O
를	를	JKO	O
_	_	_	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
받	받	VV	O
아	아	EC	O
_	_	_	O
3	3	SN	B-NOH
명	명	NNB	I-NOH
을	을	JKO	O
_	_	_	O
다치	다치	VV	O
게	게	EC	O
_	_	_	O
한	하+ㄴ	VX+ETM	O
_	_	_	O
운전자	운전자	NNG	O
가	가	JKS	O
_	_	_	O
불법	불법	NNG	O
_	_	_	O
레이싱	레이싱	NNG	O
을	을	JKO	O
_	_	_	O
벌인	벌이+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
드러난	드러나+ㄴ	VV+ETM	O
_	_	_	O
