## 1
## 박지성에 밀려 후보였던 폴 포그바, 세계 최고 몸값(1671억) 눈앞
## <박지성:PER>에 밀려 후보였던 <폴 포그바:PER>, 세계 최고 몸값(<1671억:MNY>) 눈앞
박지성	박지성	NNP	B-PER
에	에	JKB	O
_	_	_	O
밀려	밀리+어	VV+EC	O
_	_	_	O
후보	후보+이	NNG+VCP	O
였	었	EP	O
던	던	ETM	O
_	_	_	O
폴	폴	NNP	B-PER
_	_	_	I-PER
포그	포그	NNG	I-PER
바	바	NNB	I-PER
,	,	SP	O
_	_	_	O
세계	세계	NNG	O
_	_	_	O
최고	최고	NNG	O
_	_	_	O
몸값	몸값	NNG	O
(	(	SS	O
1671	1671	SN	B-MNY
억	억	NR	I-MNY
)	)	SS	O
_	_	_	O
눈앞	눈앞	NNG	O

## 2
## 이날 하니는 크루즈 승무원 ‘하 승무원’으로, 시우민은 재즈바 매니저 ‘시 매니저’ 역할을 맡았다.
## 이날 <하니:PER>는 크루즈 승무원 ‘<하:PER> 승무원’으로, <시우민:PER>은 재즈바 매니저 ‘<시:PER> 매니저’ 역할을 맡았다.
이날	이날	NNG	O
_	_	_	O
하니	하니	NNP	B-PER
는	는	JX	O
_	_	_	O
크루즈	크루즈	NNP	O
_	_	_	O
승무원	승무원	NNG	O
_	_	_	O
‘	‘	SS	O
하	하	IC	B-PER
_	_	_	O
승무원	승무원	NNG	O
’	’	SS	O
으로	으로	JKB	O
,	,	SP	O
_	_	_	O
시우	시우	NNG	B-PER
민	민	XSN	I-PER
은	은	JX	O
_	_	_	O
재즈	재즈	NNG	O
바	바	NNG	O
_	_	_	O
매니저	매니저	NNG	O
_	_	_	O
‘	‘	SS	O
시	시	NNP	B-PER
_	_	_	O
매니저	매니저	NNG	O
’	’	SS	O
_	_	_	O
역할	역할	NNG	O
을	을	JKO	O
_	_	_	O
맡	맡	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 하니는 시우민과 함께 피해자 유기환에 대한 불만을 공유하며 가까워졌다.
## <하니:PER>는 <시우민:PER>과 함께 피해자 <유기환:PER>에 대한 불만을 공유하며 가까워졌다.
하니	하니	NNP	B-PER
는	는	JX	O
_	_	_	O
시우	시우	NNG	B-PER
민	민	XSN	I-PER
과	과	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
피해자	피해자	NNG	O
_	_	_	O
유기환	유기환	NNP	B-PER
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
불만	불만	NNG	O
을	을	JKO	O
_	_	_	O
공유하	공유하	VV	O
며	며	EC	O
_	_	_	O
가까	가깝	VA	O
워	어+지	EC+VX	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 쿱타 테일러 바르샤바대 박사는 동아일보와의 인터뷰에서 “폴란드와 독일은 천주교라는 종교적 배경이 같고 비신스키 추기경 같은 종교인들이 적극적인 화해를 주도했다”며 “동북아에는 이 같은 문화적 공감대가 없고 경제가 나빠질 때면 역사 수정주의가 나오기 마련이어서 폴-독과 같은 과거사 화해는 쉽지 않은 상태”라고 지적했다.
## <쿱타 테일러:PER> <바르샤바대:ORG> 박사는 <동아일보:ORG>와의 인터뷰에서 “<폴란드:ORG>와 <독일:ORG>은 <천주교:ORG>라는 종교적 배경이 같고 <비신스키:PER> 추기경 같은 종교인들이 적극적인 화해를 주도했다”며 “동북아에는 이 같은 문화적 공감대가 없고 경제가 나빠질 때면 역사 수정주의가 나오기 마련이어서 <폴-독:ORG>과 같은 과거사 화해는 쉽지 않은 상태”라고 지적했다.
쿱	쿱	NNP	B-PER
타	타	VV	I-PER
_	_	_	I-PER
테일러	테일러	NNP	I-PER
_	_	_	O
바르샤바대	바르샤바대	NNP	B-ORG
_	_	_	O
박사	박사	NNG	O
는	는	JX	O
_	_	_	O
동아일보	동아일보	NNP	B-ORG
와	와	JKB	O
의	의	JKG	O
_	_	_	O
인터뷰	인터뷰	NNG	O
에서	에서	JKB	O
_	_	_	O
“	“	SS	O
폴란드	폴란드	NNP	B-ORG
와	와	JC	O
_	_	_	O
독일	독일	NNP	B-ORG
은	은	JX	O
_	_	_	O
천주교	천주교+이	NNG+VCP	B-ORG
라는	라는	ETM	O
_	_	_	O
종교적	종교적	NNG	O
_	_	_	O
배경	배경	NNG	O
이	이	JKS	O
_	_	_	O
같	같	VA	O
고	고	EC	O
_	_	_	O
비신스키	비신스키	NNP	B-PER
_	_	_	O
추기경	추기경	NNG	O
_	_	_	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
종교인	종교인	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
적극적	적극적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
화해	화해	NNG	O
를	를	JKO	O
_	_	_	O
주도	주도하	VV	O
했	였	EP	O
