## 1
## 문 후보는 공식선거운동 첫날인이날 대구를 시작으로 22일간의 대선 레이스에 들어갔다.
## <문:PER> 후보는 공식선거운동 첫날인이날 <대구:LOC>를 시작으로 <22일간:DUR>의 대선 레이스에 들어갔다.
문	문	NNP	B-PER
_	_	_	O
후보	후보	NNG	O
는	는	JX	O
_	_	_	O
공식	공식	NNG	O
선거	선거	NNG	O
운동	운동	NNG	O
_	_	_	O
첫날	첫날	NNG	O
인	인	NNG	O
이날	이날	NNG	O
_	_	_	O
대구	대구	NNP	B-LOC
를	를	JKO	O
_	_	_	O
시작	시작	NNG	O
으로	으로	JKB	O
_	_	_	O
22	22	SN	B-DUR
일	일	NNB	I-DUR
간	간	XSN	I-DUR
의	의	JKG	O
_	_	_	O
대선	대선	NNG	O
_	_	_	O
레이스	레이스	NNG	O
에	에	JKB	O
_	_	_	O
들어갔	들어가+았	VV+EP	O
다	다	EF	O
.	.	SF	O

## 2
## 박 대표의 장기적 목표는 세상에서 가장 깨끗한 김치, 안심하고 먹을 수 있는 김치를 만드는 것이다.
## <박:PER> 대표의 장기적 목표는 세상에서 가장 깨끗한 김치, 안심하고 먹을 수 있는 김치를 만드는 것이다.
박	박	NNP	B-PER
_	_	_	O
대표	대표	NNG	O
의	의	JKG	O
_	_	_	O
장기적	장기적	NNG	O
_	_	_	O
목표	목표	NNG	O
는	는	JX	O
_	_	_	O
세상	세상	NNG	O
에서	에서	JKB	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
깨끗한	깨끗하+ㄴ	VA+ETM	O
_	_	_	O
김치	김치	NNG	O
,	,	SP	O
_	_	_	O
안심하	안심하	VV	O
고	고	EC	O
_	_	_	O
먹	먹	VV	O
을	을	ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
김치	김치	NNG	O
를	를	JKO	O
_	_	_	O
만드	만들	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 3
## 컬럼비아는 통기성을 강화한 트레일화 ‘벤트레일리아(Ventrailia)’를 출시한다.
## <컬럼비아:PER>는 통기성을 강화한 트레일화 ‘<벤트레일리아:POH>(<Ventrailia:POH>)’를 출시한다.
컬럼비아	컬럼비아	NNP	B-PER
는	는	JX	O
_	_	_	O
통기성	통기성	NNG	O
을	을	JKO	O
_	_	_	O
강화한	강화하+ㄴ	VV+ETM	O
_	_	_	O
트레일	트레일	NNG	O
화	화	XSN	O
_	_	_	O
‘	‘	SS	O
벤트	벤트	NNG	B-POH
레일	레일	NNG	I-POH
리아	리아	NNP	I-POH
(	(	SS	O
Ventrailia	Ventrailia	SL	B-POH
)	)	SS	O
’	’	SS	O
를	를	JKO	O
_	_	_	O
출시한다	출시하+ㄴ다	VV+EF	O
.	.	SF	O

## 4
## 손영동 한양대 융합국방학과 초빙교수 보기에도 답답했던 ‘네 탓’ 공방이 많이 줄었고 TV 토론 처음으로 정책 위주의 토론에 근접했다.
## <손영동:LOC> <한양대 융합국방학과:ORG> 초빙교수 보기에도 답답했던 ‘네 탓’ 공방이 많이 줄었고 TV 토론 처음으로 정책 위주의 토론에 근접했다.
손영동	손영동	NNP	B-LOC
_	_	_	O
한양대	한양대	NNP	B-ORG
_	_	_	I-ORG
융합	융합	NNG	I-ORG
국방	국방	NNG	I-ORG
학과	학과	NNG	I-ORG
_	_	_	O
초빙	초빙	NNG	O
교수	교수	NNG	O
_	_	_	O
보	보	VV	O
기	기	ETN	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
답답	답답하	VA	O
했	였	EP	O
던	던	ETM	O
_	_	_	O
‘	‘	SS	O
네	너+의	NP+JKG	O
_	_	_	O
탓	탓	NNG	O
’	’	SS	O
_	_	_	O
공방	공방	NNG	O
이	이	JKS	O
_	_	_	O
많이	많이	MAG	O
_	_	_	O
줄	줄	VV	O
었	었	EP	O
고	고	EC	O
_	_	_	O
TV	TV	SL	O
_	_	_	O
토론	토론	NNG	O
_	_	_	O
처음	처음	NNG	O
으로	으로	JKB	O
_	_	_	O
정책	정책	NNG	O
_	_	_	O
위주	위주	NNG	O
의	의	JKG	O
_	_	_	O
토론	토론	NNG	O
에	에	JKB	O
_	_	_	O
근접	근접하	VV	O
했	였	EP	O
