## 1
## 지원 요건 등 모집 세부 사항은 롯데 액셀러레이터 홈페이지(www.lotteacc.com)를 참조하면 된다.
## 지원 요건 등 모집 세부 사항은 <롯데 액셀러레이터 홈페이지:POH>(<www.lotteacc.com:POH>)를 참조하면 된다.
지원	지원	NNG	O
_	_	_	O
요건	요건	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
모집	모집	NNG	O
_	_	_	O
세부	세부	NNG	O
_	_	_	O
사항	사항	NNG	O
은	은	JX	O
_	_	_	O
롯데	롯데	NNP	B-POH
_	_	_	I-POH
액셀러레이터	액셀러레이터	NNG	I-POH
_	_	_	I-POH
홈페이지	홈페이지	NNG	I-POH
(	(	SS	O
www	www	SL	B-POH
.	.	SF	I-POH
lotteacc	lotteacc	SL	I-POH
.	.	SF	I-POH
com	com	SL	I-POH
)	)	SS	O
를	를	JKO	O
_	_	_	O
참조하	참조하	VV	O
면	면	EC	O
_	_	_	O
된다	되+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 역사 교과서 국정화 논란을 두고 청와대 여당 야당이 벌이는 시대착오의 퍼레이드 말이다.
## 역사 교과서 국정화 논란을 두고 <청와대:ORG> 여당 야당이 벌이는 시대착오의 퍼레이드 말이다.
역사	역사	NNG	O
_	_	_	O
교과서	교과서	NNG	O
_	_	_	O
국정	국정	NNG	O
화	화	XSN	O
_	_	_	O
논란	논란	NNG	O
을	을	JKO	O
_	_	_	O
두	두	VV	O
고	고	EC	O
_	_	_	O
청와대	청와대	NNP	B-ORG
_	_	_	O
여당	여당	NNG	O
_	_	_	O
야당	야당	NNG	O
이	이	JKS	O
_	_	_	O
벌이	벌이	VV	O
는	는	ETM	O
_	_	_	O
시대착오	시대착오	NNG	O
의	의	JKG	O
_	_	_	O
퍼레이드	퍼레이드	NNG	O
_	_	_	O
말	말	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 3
## 한 응답자는 “출장 때문에 생리일을 조절해야 할 땐 참담한 기분이다.
## <한:NOH> 응답자는 “출장 때문에 생리일을 조절해야 할 땐 참담한 기분이다.
한	하+ㄴ	VV+ETM	B-NOH
_	_	_	O
응답자	응답자	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
출장	출장	NNG	O
_	_	_	O
때문	때문	NNB	O
에	에	JKB	O
_	_	_	O
생리일	생리일	NNG	O
을	을	JKO	O
_	_	_	O
조절해야	조절하+여야	VV+EC	O
_	_	_	O
할	하+ㄹ	VX+ETM	O
_	_	_	O
땐	때+ㄴ	NNG+JX	O
_	_	_	O
참담한	참담하+ㄴ	VA+ETM	O
_	_	_	O
기분	기분	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 4
## 이들은 80년의 5·17 비상계엄 전국확대, 5·20 임시국회 봉쇄 등을 거쳐 80년 9월 최종적으로 정권을 잡은 과정을 볼 때, 정권창출의 도화선인 12·12사건은 「내란죄의 성격」이 강하다는 주장을 펴고있다.
## 이들은 <80년:DAT>의 <5·17 비상계엄 전국확대:POH>, <5·20 임시국회 봉쇄:POH> 등을 거쳐 <80년 9월:DAT> 최종적으로 정권을 잡은 과정을 볼 때, 정권창출의 도화선인 <12·12사건:POH>은 「내란죄의 성격」이 강하다는 주장을 펴고있다.
이	이	NP	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
80	80	SN	B-DAT
년	년	NNB	I-DAT
의	의	JKG	O
_	_	_	O
5	5	SN	B-POH
·	·	SP	I-POH
17	17	SN	I-POH
_	_	_	I-POH
비상계엄	비상계엄	NNG	I-POH
_	_	_	I-POH
전국	전국	NNG	I-POH
확대	확대	NNG	I-POH
,	,	SP	O
_	_	_	O
5	5	SN	B-POH
·	·	SP	I-POH
20	20	SN	I-POH
_	_	_	I-POH
임시	임시	NNG	I-POH
국회	국회	NNG	I-POH
_	_	_	I-POH
봉쇄	봉쇄	NNG	I-POH
_	_	_	O
등	등	NNB	O
을	을	JKO	O
_	_	_	O
거쳐	거치+어	VV+EC	O
_	_	_	O
80	80	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	I-DAT
9	9	SN	I-DAT
월	월	NNB	I-DAT
_	_	_	O
최종적	최종적	NNG	O
으로	으로	JKB	O
_	_	_	O
정권	정권	NNG	O
을	을	JKO	O
_	_	_	O
잡	잡	VV	O
은	은	ETM	O
_	_	_	O
과정	과정	NNG	O
을	을	JKO	O
_	_	_	O
볼	보+ㄹ	VV+ETM	O
_	_	_	O
때	때	NNG	O
,	,	SP	O
_	_	_	O
정권	정권	NNG	O
창출	창출	NNG	O
의	의	JKG	O
_	_	_	O
도화선	도화선	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
12	12	SN	B-POH
·	·	SP	I-POH
12	12	SN	I-POH
사건	사건	NNG	I-POH
은	은	JX	O
_	_	_	O
「	「	SS	O
내란죄	내란죄	NNG	O
의	의	JKG	O
_	_	_	O
성격	성격	NNG	O
」	」	SS	O
이	이	JKS	O
_	_	_	O
강하	강하	VA	O
다는	다는	ETM	O
_	_	_	O
주장	주장	NNG	O
을	을	JKO	O
_	_	_	O
펴	펴	VV	O
고	고	EC	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 5
## 이를 듣던 MC 김제동은 "크게 욕먹은 경험들이 변하게 만들었냐"고 물었고, 정형돈은 "그렇다.
## 이를 듣던 MC <김제동:PER>은 "크게 욕먹은 경험들이 변하게 만들었냐"고 물었고, <정형돈:PER>은 "그렇다.
이	이	NP	O
를	를	JKO	O
_	_	_	O
듣	듣	VV	O
던	던	ETM	O
_	_	_	O
MC	MC	SL	O
_	_	_	O
김제동	김제동	NNP	B-PER
은	은	JX	O
_	_	_	O
"	"	SS	O
크	크	VA	O
게	게	EC	O
_	_	_	O
욕먹	욕먹	VV	O
은	은	ETM	O
_	_	_	O
경험	경험	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
변하	변하	VV	O
게	게	EC	O
_	_	_	O
만들	만들	VV	O
었	었	EP	O
냐	냐	EF	O
"	"	SS	O
고	고	JKQ	O
_	_	_	O
물	묻	VV	O
었	었	EP	O
고	고	EC	O
,	,	SP	O
_	_	_	O
정형돈	정형돈	NNP	B-PER
은	은	JX	O
_	_	_	O
"	"	SS	O
그렇	그렇	VA	O
다	다	EF	O
.	.	SF	O

## 6
## 당시 유병재는 “프로레슬링에는 인생의 전반이 다 담겨있다”면서 “탐욕이나 배신이 담겨있기 때문에 15년째 좋아하고 있다”고 말했다.
## 당시 <유병재:PER>는 “프로레슬링에는 인생의 전반이 다 담겨있다”면서 “탐욕이나 배신이 담겨있기 때문에 <15년째:NOH> 좋아하고 있다”고 말했다.
당시	당시	NNG	O
_	_	_	O
유병재	유병재	NNP	B-PER
는	는	JX	O
_	_	_	O
“	“	SS	O
프로	프로	NNG	O
레슬링	레슬링	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
인생	인생	NNG	O
의	의	JKG	O
_	_	_	O
전반	전반	NNG	O
이	이	JKS	O
_	_	_	O
다	다	MAG	O
_	_	_	O
담겨	담기+어	VV+EC	O
있	있	VX	O
다	다	EF	O
”	”	SS	O
면서	면서	EC	O
_	_	_	O
“	“	SS	O
탐욕	탐욕	NNG	O
이나	이나	JC	O
_	_	_	O
배신	배신	NNG	O
이	이	JKS	O
_	_	_	O
담겨	담기+어	VV+EC	O
있	있	VX	O
기	기	ETN	O
_	_	_	O
때문	때문	NNB	O
에	에	JKB	O
_	_	_	O
15	15	SN	B-NOH
년	년	NNB	I-NOH
째	째	XSN	I-NOH
_	_	_	O
좋아하	좋아하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 전국 메르스 환자 수가 총 166명 사망자는 24명으로 늘어난 가운데 전체 격리자 수는 전날보다 7909명 줄어든 5930명이 됐다.
## 전국 <메르스:POH> 환자 수가 총 <166명:NOH> 사망자는 <24명:NOH>으로 늘어난 가운데 전체 격리자 수는 전날보다 <7909명:NOH> 줄어든 <5930명:NOH>이 됐다.
전국	전국	NNG	O
_	_	_	O
메르스	메르스	NNG	B-POH
_	_	_	O
환자	환자	NNG	O
_	_	_	O
수	수	NNG	O
가	가	JKS	O
_	_	_	O
총	총	NNG	O
_	_	_	O
166	166	SN	B-NOH
명	명	NNB	I-NOH
_	_	_	O
사망자	사망자	NNG	O
는	는	JX	O
_	_	_	O
24	24	SN	B-NOH
명	명	NNB	I-NOH
으로	으로	JKB	O
_	_	_	O
늘어난	늘어나+ㄴ	VV+ETM	O
_	_	_	O
가운데	가운데	NNG	O
_	_	_	O
전체	전체	NNG	O
_	_	_	O
격리	격리	NNG	O
자	자	XSN	O
_	_	_	O
수	수	NNB	O
는	는	JX	O
_	_	_	O
전날	전날	NNG	O
보다	보다	JKB	O
_	_	_	O
7909	7909	SN	B-NOH
명	명	NNB	I-NOH
_	_	_	O
줄어든	줄어들+ㄴ	VV+ETM	O
_	_	_	O
5930	5930	SN	B-NOH
명	명	NNB	I-NOH
이	이	JKC	O
_	_	_	O
됐	+었	+EP	O
다	다	EF	O
.	.	SF	O

## 8
## 자가격리자는 5161명, 병원 격리자는 769명으로 알려졌다.
## 자가격리자는 <5161명:NOH>, 병원 격리자는 <769명:NOH>으로 알려졌다.
자가	자가	NNG	O
격리	격리	NNG	O
자	자	XSN	O
는	는	JX	O
_	_	_	O
5161	5161	SN	B-NOH
명	명	NNB	I-NOH
,	,	SP	O
_	_	_	O
병원	병원	NNG	O
_	_	_	O
격리	격리	NNG	O
자	자	XSN	O
는	는	JX	O
_	_	_	O
769	769	SN	B-NOH
명	명	NNB	I-NOH
으로	으로	JKB	O
_	_	_	O
알려	알려지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 18홀 4만원으로 책정했다.
## <18홀:NOH> <4만원:MNY>으로 책정했다.
18	18	SN	B-NOH
홀	홀	NNG	I-NOH
_	_	_	O
4	4	SN	B-MNY
만	만	NR	I-MNY
원	원	NNB	I-MNY
으로	으로	JKB	O
_	_	_	O
책정	책정하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 지난 30년간 시즌 20승 고지에 오른 사례는 71차례로, 시즌당 평균 2.37번에 불과하다.
## 지난 <30년간:DUR> 시즌 <20승:NOH> 고지에 오른 사례는 <71차례:NOH>로, 시즌당 평균 <2.37번:NOH>에 불과하다.
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
30	30	SN	B-DUR
년	년	NNB	I-DUR
간	간	XSN	I-DUR
_	_	_	O
시즌	시즌	NNG	O
_	_	_	O
20	20	SN	B-NOH
승	승	NNB	I-NOH
_	_	_	O
고지	고지	NNG	O
에	에	JKB	O
_	_	_	O
오른	오르+ㄴ	VV+ETM	O
_	_	_	O
사례	사례	NNG	O
는	는	JX	O
_	_	_	O
71	71	SN	B-NOH
차례	차례	NNG	I-NOH
로	로	JKB	O
,	,	SP	O
_	_	_	O
시즌	시즌	NNG	O
당	당	XSN	O
_	_	_	O
평균	평균	NNG	O
_	_	_	O
2.37	2.37	SN	B-NOH
번	번	NNB	I-NOH
에	에	JKB	O
_	_	_	O
불과하	불과하	VA	O
다	다	EF	O
.	.	SF	O

## 11
## 호주·뉴질랜드의 교통 패스 판매량도 황금 연휴를 앞두고 13배(1250%) 이상 급증했다.
## <호주:LOC>·<뉴질랜드:LOC>의 교통 패스 판매량도 황금 연휴를 앞두고 <13배:PNT>(<1250%:PNT>) 이상 급증했다.
호주	호주	NNP	B-LOC
·	·	SP	O
뉴질랜드	뉴질랜드	NNP	B-LOC
의	의	JKG	O
_	_	_	O
교통	교통	NNG	O
_	_	_	O
패스	패스	NNG	O
_	_	_	O
판매량	판매량	NNG	O
도	도	JX	O
_	_	_	O
황금	황금	NNG	O
_	_	_	O
연휴	연휴	NNG	O
를	를	JKO	O
_	_	_	O
앞두	앞두	VV	O
고	고	EC	O
_	_	_	O
13	13	SN	B-PNT
배	배	NNG	I-PNT
(	(	SS	O
1250	1250	SN	B-PNT
%	%	SW	I-PNT
)	)	SS	O
_	_	_	O
이상	이상	NNG	O
_	_	_	O
급증	급증하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 12
## 폭력을 쓰며 저항하는 중국 어민을 진압하는 특수진압대 3개 팀이 배치됐다.
## 폭력을 쓰며 저항하는 <중국:LOC> 어민을 진압하는 특수진압대 <3개:NOH> 팀이 배치됐다.
폭력	폭력	NNG	O
을	을	JKO	O
_	_	_	O
쓰	쓰	VV	O
며	며	EC	O
_	_	_	O
저항하	저항하	VV	O
는	는	ETM	O
_	_	_	O
중국	중국	NNP	B-LOC
_	_	_	O
어민	어민	NNG	O
을	을	JKO	O
_	_	_	O
진압하	진압하	VV	O
는	는	ETM	O
_	_	_	O
특수	특수	NNG	O
진압	진압	NNG	O
대	대	NNG	O
_	_	_	O
3	3	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
팀	팀	NNG	O
이	이	JKS	O
_	_	_	O
배치	배치되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 13
## 대한민국 사람이라면 그녀의 조리법대로 만든 음식을 한 번쯤은 먹어봤을 터. ‘요식업계 조물주’로 통하는 그녀의 식탁이 궁금했다.
## <대한민국:ORG> 사람이라면 그녀의 조리법대로 만든 음식을 <한 번:NOH>쯤은 먹어봤을 터. ‘요식업계 조물주’로 통하는 그녀의 식탁이 궁금했다.
대한민국	대한민국	NNP	B-ORG
_	_	_	O
사람	사람	NNG	O
이	이	VCP	O
라면	라면	EC	O
_	_	_	O
그녀	그녀	NP	O
의	의	JKG	O
_	_	_	O
조리법	조리법	NNG	O
대로	대로	JX	O
_	_	_	O
만든	만들+ㄴ	VV+ETM	O
_	_	_	O
음식	음식	NNG	O
을	을	JKO	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
번	번	NNB	I-NOH
쯤	쯤	XSN	O
은	은	JX	O
_	_	_	O
먹	먹	VV	O
어	어	EC	O
봤	보+았	VX+EP	O
을	을	JKO	O
_	_	_	O
터	터	NNG	O
.	.	SF	O
_	_	_	O
‘	‘	SS	O
요식업	요식업	NNG	O
계	계	XSN	O
_	_	_	O
조물주	조물주	NNG	O
’	’	SS	O
로	로	JKB	O
_	_	_	O
통하	통하	VV	O
는	는	ETM	O
_	_	_	O
그녀	그녀	NP	O
의	의	JKG	O
_	_	_	O
식탁	식탁	NNG	O
이	이	JKS	O
_	_	_	O
궁금	궁금하	VA	O
했	었	EP	O
다	다	EF	O
.	.	SF	O

## 14
## 오리사의 주무기는 고속 연사가 가능한 '융합 기관포'로 먼 거리에 있는 적군을 정확히 공격할 수 있는 것이 특징. 단 공격시 이동속도는 감소한다.
## <오리사:PER>의 주무기는 고속 연사가 가능한 '융합 기관포'로 먼 거리에 있는 적군을 정확히 공격할 수 있는 것이 특징. 단 공격시 이동속도는 감소한다.
오리사	오리사	NNP	B-PER
의	의	JKG	O
_	_	_	O
주	주	MM	O
무기	무기	NNG	O
는	는	JX	O
_	_	_	O
고속	고속	NNG	O
_	_	_	O
연사	연사	NNG	O
가	가	JKS	O
_	_	_	O
가능한	가능하+ㄴ	VA+ETM	O
_	_	_	O
'	'	SS	O
융합	융합	NNG	O
_	_	_	O
기관포	기관포	NNG	O
'	'	SS	O
로	로	JKB	O
_	_	_	O
먼	멀+ㄴ	VA+ETM	O
_	_	_	O
거리	거리	NNG	O
에	에	JKB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
적군	적군	NNG	O
을	을	JKO	O
_	_	_	O
정확히	정확히	MAG	O
_	_	_	O
공격할	공격하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
이	이	JKS	O
_	_	_	O
특징	특징	NNG	O
.	.	SF	O
_	_	_	O
단	단	MAG	O
_	_	_	O
공격	공격	NNG	O
시	시	NNG	O
_	_	_	O
이동	이동	NNG	O
속도	속도	NNG	O
는	는	JX	O
_	_	_	O
감소한다	감소하+ㄴ다	VV+EF	O
.	.	SF	O

## 15
## 북한이 핵개발 카드를 한반도 정전체제에 대한 도전으로까지 발전시키고 있다.
## <북한:ORG>이 핵개발 카드를 <한반도:LOC> 정전체제에 대한 도전으로까지 발전시키고 있다.
북한	북한	NNP	B-ORG
이	이	JKS	O
_	_	_	O
핵	핵	NNG	O
개발	개발	NNG	O
_	_	_	O
카드	카드	NNG	O
를	를	JKO	O
_	_	_	O
한반도	한반도	NNP	B-LOC
_	_	_	O
정전	정전	NNG	O
체제	체제	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
도전	도전	NNG	O
으로	으로	JKB	O
까지	까지	JX	O
_	_	_	O
발전	발전	NNG	O
시키	시키	XSV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

