## 1
## 금융감독원 등 6개 공공기관과 협업해 정부 3.0 ‘안심상속 원스톱서비스’도 제공한다.
## <금융감독원:ORG> 등 <6개:NOH> 공공기관과 협업해 <정부 3.0:POH> ‘안심상속 원스톱서비스’도 제공한다.
금융	금융	NNG	B-ORG
감독	감독	NNG	I-ORG
원	원	XSN	I-ORG
_	_	_	O
등	등	NNB	O
_	_	_	O
6	6	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
공공	공공	NNG	O
기관	기관	NNG	O
과	과	JC	O
_	_	_	O
협업해	협업하+여	VV+EC	O
_	_	_	O
정부	정부	NNG	B-POH
_	_	_	I-POH
3.0	3.0	SN	I-POH
_	_	_	O
‘	‘	SS	O
안심	안심	NNG	O
상속	상속	NNG	O
_	_	_	O
원스톱	원스톱	NNG	O
서비스	서비스	NNG	O
’	’	SS	O
도	도	JX	O
_	_	_	O
제공한다	제공하+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## ‘호남과 연정하는 자세로 호남 민심을 끌어안겠다’는 자세를 보이고 있다”면 “호남 민심이 확실하게 돌아올 수 있도록 정성을 다하고 노력할 것”이라고 밝혔다.
## ‘<호남:LOC>과 연정하는 자세로 <호남:LOC> 민심을 끌어안겠다’는 자세를 보이고 있다”면 “<호남:LOC> 민심이 확실하게 돌아올 수 있도록 정성을 다하고 노력할 것”이라고 밝혔다.
‘	‘	SS	O
호남	호남	NNP	B-LOC
과	과	JC	O
_	_	_	O
연정하	연정하	VA	O
는	는	ETM	O
_	_	_	O
자세	자세	NNG	O
로	로	JKB	O
_	_	_	O
호남	호남	NNP	B-LOC
_	_	_	O
민심	민심	NNG	O
을	을	JKO	O
_	_	_	O
끌어안	끌어안	VV	O
겠	겠	EP	O
다	다	EF	O
’	’	SS	O
는	는	JX	O
_	_	_	O
자세	자세	NNG	O
를	를	JKO	O
_	_	_	O
보이	보이	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
”	”+이	SS+VCP	O
면	면	EC	O
_	_	_	O
“	“	SS	O
호남	호남	NNP	B-LOC
_	_	_	O
민심	민심	NNG	O
이	이	JKS	O
_	_	_	O
확실하	확실하	VA	O
게	게	EC	O
_	_	_	O
돌아올	돌아오+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
도록	도록	EC	O
_	_	_	O
정성	정성	NNG	O
을	을	JKO	O
_	_	_	O
다하	다하	VV	O
고	고	EC	O
_	_	_	O
노력할	노력하+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 송 의원은 이날 오전 BBS라디오 ‘전영신의 아침저널’과 인터뷰에서 “호남 민심은 올바른 정권교체의 희망과 비전을 누가 제시하는가를 바라는 문제”라면서 이같이 말했다.
## <송:PER> 의원은 이날 오전 <BBS라디오:POH> ‘<전영신의 아침저널:POH>’과 인터뷰에서 “<호남:LOC> 민심은 올바른 정권교체의 희망과 비전을 누가 제시하는가를 바라는 문제”라면서 이같이 말했다.
송	송	NNP	B-PER
_	_	_	O
의원	의원	NNG	O
은	은	JX	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
오전	오전	NNG	O
_	_	_	O
BBS	BBS	SL	B-POH
라디오	라디오	NNG	I-POH
_	_	_	O
‘	‘	SS	O
전영신	전영신	NNP	B-POH
의	의	JKG	I-POH
_	_	_	I-POH
아침	아침	NNG	I-POH
저널	저널	NNG	I-POH
’	’	SS	O
과	과	JKB	O
_	_	_	O
인터뷰	인터뷰	NNG	O
에서	에서	JKB	O
_	_	_	O
“	“	SS	O
호남	호남	NNP	B-LOC
_	_	_	O
민심	민심	NNG	O
은	은	JX	O
_	_	_	O
올바른	올바르+ㄴ	VA+ETM	O
_	_	_	O
정권	정권	NNG	O
교체	교체	NNG	O
의	의	JKG	O
_	_	_	O
희망	희망	NNG	O
과	과	JC	O
_	_	_	O
비전	비전	NNG	O
을	을	JKO	O
_	_	_	O
누	누구	NP	O
가	가	JKS	O
_	_	_	O
제시하	제시하	VV	O
는가	는가	EC	O
