## 1
## 반경 1㎞ 이내 한화(770가구)와 진흥(1900가구 재건축 예정) 아파트 등이 들어설 예정이다.
## 반경 <1㎞:NOH> 이내 <한화:ORG>(<770가구:NOH>)와 <진흥:ORG>(<1900가구:NOH> 재건축 예정) 아파트 등이 들어설 예정이다.
반경	반경	NNG	O
_	_	_	O
1	1	SN	B-NOH
㎞	㎞	SW	I-NOH
_	_	_	O
이내	이내	NNG	O
_	_	_	O
한화	한화	NNP	B-ORG
(	(	SS	O
770	770	SN	B-NOH
가구	가구	NNG	I-NOH
)	)	SS	O
와	와	JKB	O
_	_	_	O
진흥	진흥	NNG	B-ORG
(	(	SS	O
1900	1900	SN	B-NOH
가구	가구	NNG	I-NOH
_	_	_	O
재건축	재건축	NNG	O
_	_	_	O
예정	예정	NNG	O
)	)	SS	O
_	_	_	O
아파트	아파트	NNG	O
_	_	_	O
등	등	NNB	O
이	이	JKS	O
_	_	_	O
들어설	들어서+ㄹ	VV+ETM	O
_	_	_	O
예정	예정	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## ‘사람이 재산’이란 생각에 와인 모임을 조직하고 애견 관련 사이트도 개설해 활동하며 500여 명의 인맥을 유지했다.
## ‘사람이 재산’이란 생각에 와인 모임을 조직하고 애견 관련 사이트도 개설해 활동하며 <500여 명:NOH>의 인맥을 유지했다.
‘	‘	SS	O
사람	사람	NNG	O
이	이	JKS	O
_	_	_	O
재산	재산	NNG	O
’	’	SS	O
이	이	VCP	O
란	란	ETM	O
_	_	_	O
생각	생각	NNG	O
에	에	JKB	O
_	_	_	O
와인	와인	NNG	O
_	_	_	O
모임	모임	NNG	O
을	을	JKO	O
_	_	_	O
조직하	조직하	VV	O
고	고	EC	O
_	_	_	O
애견	애견	NNG	O
_	_	_	O
관련	관련	NNG	O
_	_	_	O
사이트	사이트	NNG	O
도	도	JX	O
_	_	_	O
개설해	개설하+여	VV+EC	O
_	_	_	O
활동하	활동하	VV	O
며	며	EC	O
_	_	_	O
500	500	SN	B-NOH
여	여	XSN	I-NOH
_	_	_	I-NOH
명	명	NNB	I-NOH
의	의	JKG	O
_	_	_	O
인맥	인맥	NNG	O
을	을	JKO	O
_	_	_	O
유지	유지하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 허태수(58·사진) GS홈쇼핑 부회장의 중국 패션시장 출사표다.
## <허태수:PER>(<58:NOH>·사진) <GS홈쇼핑:ORG> 부회장의 <중국:LOC> 패션시장 출사표다.
허태수	허태수	NNP	B-PER
(	(	SS	O
58	58	SN	B-NOH
·	·	SP	O
사진	사진	NNG	O
)	)	SS	O
_	_	_	O
GS	GS	SL	B-ORG
홈	홈	NNG	I-ORG
쇼핑	쇼핑	NNG	I-ORG
_	_	_	O
부회장	부회장	NNG	O
의	의	JKG	O
_	_	_	O
중국	중국	NNP	B-LOC
_	_	_	O
패션	패션	NNG	O
시장	시장	NNG	O
_	_	_	O
출사표	출사표	NNG	O
다	다	NNG	O
.	.	SF	O

## 4
## 서동록 서울시 경제진흥본부장은 “세금 성실 납부를 통해 해외 자본과 한국 경제가 같이 성장하고 이익을 나눈다는 것을 보여주는 사례”라고 평가했다.
## <서동록:PER> <서울시:LOC> 경제진흥본부장은 “세금 성실 납부를 통해 해외 자본과 <한국:ORG> 경제가 같이 성장하고 이익을 나눈다는 것을 보여주는 사례”라고 평가했다.
서동록	서동록	NNP	B-PER
_	_	_	O
서울시	서울시	NNP	B-LOC
_	_	_	O
경제	경제	NNG	O
진흥	진흥	NNG	O
본부	본부	NNG	O
장	장	XSN	O
은	은	JX	O
_	_	_	O
“	“	SS	O
세금	세금	NNG	O
