## 1
## 지금이야 그럭저럭 버티지만 이 상태로 5년만 지속돼도 고통이 폐부를 찌를 것이다.
## 지금이야 그럭저럭 버티지만 이 상태로 <5년:DUR>만 지속돼도 고통이 폐부를 찌를 것이다.
지금	지금	NNG	O
이야	이야	JX	O
_	_	_	O
그럭저럭	그럭저럭	MAG	O
_	_	_	O
버티	버티	VV	O
지만	지만	EC	O
_	_	_	O
이	이	MM	O
_	_	_	O
상태	상태	NNG	O
로	로	JKB	O
_	_	_	O
5	5	SN	B-DUR
년	년	NNB	I-DUR
만	만	JX	O
_	_	_	O
지속돼	지속되+어	VV+EC	O
도	도	JX	O
_	_	_	O
고통	고통	NNG	O
이	이	JKS	O
_	_	_	O
폐부	폐부	NNG	O
를	를	JKO	O
_	_	_	O
찌를	찌르+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 새누리당의 한 당직자는 “결국은 다시 야당과 협상을 할 수밖에 없다는 점을 감안한 발언으로 봐야 한다”고 설명했다.
## <새누리당:ORG>의 <한:PER> 당직자는 “결국은 다시 야당과 협상을 할 수밖에 없다는 점을 감안한 발언으로 봐야 한다”고 설명했다.
새누리당	새누리당	NNP	B-ORG
의	의	JKG	O
_	_	_	O
한	한	MM	B-PER
_	_	_	O
당직자	당직자	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
결국	결국	NNG	O
은	은	JX	O
_	_	_	O
다시	다시	MAG	O
_	_	_	O
야당	야당	NNG	O
과	과	JKB	O
_	_	_	O
협상	협상	NNG	O
을	을	JKO	O
_	_	_	O
할	하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
밖에	밖에	JX	O
_	_	_	O
없	없	VA	O
다는	다는	ETM	O
_	_	_	O
점	점	NNG	O
을	을	JKO	O
_	_	_	O
감안한	감안하+ㄴ	VV+ETM	O
_	_	_	O
발언	발언	NNG	O
으로	으로	JKB	O
_	_	_	O
봐야	보+아야	VV+EC	O
_	_	_	O
한다	하+ㄴ다	VX+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
설명	설명하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 을숙도에코센터는 철새에 관한 정보 제공과 낙동강 하구의 아름다움, 생태환경 보전의 중요성을 알리기 위한 홍보관이다.
## <을숙도에코센터:ORG>는 철새에 관한 정보 제공과 <낙동강:LOC> 하구의 아름다움, 생태환경 보전의 중요성을 알리기 위한 홍보관이다.
을숙도	을숙도	NNP	B-ORG
에코	에코	NNP	I-ORG
센터	센터	NNG	I-ORG
는	는	JX	O
_	_	_	O
철새	철새	NNG	O
에	에	JKB	O
_	_	_	O
관한	관하+ㄴ	VV+ETM	O
_	_	_	O
정보	정보	NNG	O
_	_	_	O
제공	제공	NNG	O
과	과	JC	O
_	_	_	O
낙동강	낙동강	NNP	B-LOC
_	_	_	O
하구	하구	NNG	O
의	의	JKG	O
_	_	_	O
아름다움	아름답+ㅁ	VA+ETN	O
,	,	SP	O
_	_	_	O
생태	생태	NNG	O
환경	환경	NNG	O
_	_	_	O
보전	보전	NNG	O
의	의	JKG	O
_	_	_	O
중요성	중요성	NNG	O
을	을	JKO	O
_	_	_	O
알리	알리	VV	O
기	기	ETN	O
_	_	_	O
위한	위하+ㄴ	VV+ETM	O
_	_	_	O
홍보	홍보	NNG	O
관	관	XSN	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 4
## 스마트폰 성장세가 정체기로 들어서고 중국과의 가격 경쟁이 심화하면서 실적이 더 악화할 수 있다”고 예상했다.
## 스마트폰 성장세가 정체기로 들어서고 <중국:ORG>과의 가격 경쟁이 심화하면서 실적이 더 악화할 수 있다”고 예상했다.
스마트	스마트	NNG	O
폰	폰	NNG	O
_	_	_	O
성장세	성장세	NNG	O
가	가	JKS	O
_	_	_	O
