## 1
## 인근 중국(1만4679원)만 해도 자국 삼겹살이 우리의 절반 수준이다.
## 인근 <중국:ORG>(<1만4679원:MNY>)만 해도 자국 삼겹살이 우리의 절반 수준이다.
인근	인근	NNG	O
_	_	_	O
중국	중국	NNP	B-ORG
(	(	SS	O
1	1	SN	B-MNY
만	만	NR	I-MNY
4679	4679	SN	I-MNY
원	원	NNB	I-MNY
)	)	SS	O
만	만	JX	O
_	_	_	O
해도	하+여도	VV+EC	O
_	_	_	O
자국	자국	NNG	O
_	_	_	O
삼겹살	삼겹살	NNG	O
이	이	JKS	O
_	_	_	O
우리	우리	NP	O
의	의	JKG	O
_	_	_	O
절반	절반	NNG	O
_	_	_	O
수준	수준	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 2
## 이문옥전감사관의 복직판결 소식을 접한 27일 오후 중앙부처 공무원들은 다양한 반응을 보였다.
## <이문옥:PER>전감사관의 복직판결 소식을 접한 <27일:DAT> 오후 중앙부처 공무원들은 다양한 반응을 보였다.
이문옥	이문옥	NNP	B-PER
전	전	MM	O
감사관	감사관	NNG	O
의	의	JKG	O
_	_	_	O
복직	복직	NNG	O
판결	판결	NNG	O
_	_	_	O
소식	소식	NNG	O
을	을	JKO	O
_	_	_	O
접한	접하+ㄴ	VV+ETM	O
_	_	_	O
27	27	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
오후	오후	NNG	O
_	_	_	O
중앙	중앙	NNG	O
부처	부처	NNG	O
_	_	_	O
공무원	공무원	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
다양한	다양하+ㄴ	VA+ETM	O
_	_	_	O
반응	반응	NNG	O
을	을	JKO	O
_	_	_	O
보	보이	VV	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 의사표시는 할 수 있지만 시위를 파괴적인 방향으로 몰고 가거나 청와대를 점령하자고 하는 건 헌법에 보장된 표현의 자유와는 거리가 멀다.
## 의사표시는 할 수 있지만 시위를 파괴적인 방향으로 몰고 가거나 <청와대:ORG>를 점령하자고 하는 건 헌법에 보장된 표현의 자유와는 거리가 멀다.
의사	의사	NNG	O
표시	표시	NNG	O
는	는	JX	O
_	_	_	O
