## 1
## 그때는 퇴계와 율곡이 활약한 유교 문화의 전성기였다.
## 그때는 <퇴계:PER>와 <율곡:PER>이 활약한 유교 문화의 전성기였다.
그때	그때	NNG	O
는	는	JX	O
_	_	_	O
퇴계	퇴계	NNP	B-PER
와	와	JC	O
_	_	_	O
율곡	율곡	NNP	B-PER
이	이	JKS	O
_	_	_	O
활약한	활약하+ㄴ	VV+ETM	O
_	_	_	O
유교	유교	NNG	O
_	_	_	O
문화	문화	NNG	O
의	의	JKG	O
_	_	_	O
전성기	전성기+이	NNG+VCP	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 방송 당시 연기자 소속사 레드라인 엔터테인먼트의 연습생으로 출연해 이목을 끌기도 했다.
## 방송 당시 연기자 소속사 <레드라인 엔터테인먼트:ORG>의 연습생으로 출연해 이목을 끌기도 했다.
방송	방송	NNG	O
_	_	_	O
당시	당시	NNG	O
_	_	_	O
연기자	연기자	NNG	O
_	_	_	O
소속	소속	NNG	O
사	사	XSN	O
_	_	_	O
레드라인	레드라인	NNG	B-ORG
_	_	_	I-ORG
엔터테인먼트	엔터테인먼트	NNG	I-ORG
의	의	JKG	O
_	_	_	O
연습생	연습생	NNG	O
으로	으로	JKB	O
_	_	_	O
출연해	출연하+여	VV+EC	O
_	_	_	O
이목	이목	NNG	O
을	을	JKO	O
_	_	_	O
끌	끌	VV	O
기	기	ETN	O
도	도	JX	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 3
## 다음은 S&P 엔터테인먼트의 공식입장 전문.현재 S&P 소속 연예인인 김소혜는 '프로듀스 101'에서 5위의 성적으로 데뷔해 그룹 I.O.I의 멤버로써 활동 중에 있습니다.
## 다음은 <S&P 엔터테인먼트:ORG>의 공식입장 전문.현재 <S&P:ORG> 소속 연예인인 <김소혜:PER>는 '<프로듀스 101:POH>'에서 <5위:NOH>의 성적으로 데뷔해 그룹 <I.O.I:ORG>의 멤버로써 활동 중에 있습니다.
다음	다음	NNG	O
은	은	JX	O
_	_	_	O
S	S	SL	B-ORG
&	&	SW	I-ORG
P	P	SL	I-ORG
_	_	_	I-ORG
엔터테인먼트	엔터테인먼트	NNG	I-ORG
의	의	JKG	O
_	_	_	O
공식	공식	NNG	O
입장	입장	NNG	O
_	_	_	O
전문	전문	NNG	O
.	.	SF	O
현재	현재	MAG	O
_	_	_	O
S	S	SL	B-ORG
&	&	SW	I-ORG
P	P	SL	I-ORG
_	_	_	O
소속	소속	NNG	O
_	_	_	O
연예인	연예인	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
김소혜	김소혜	NNP	B-PER
는	는	JX	O
_	_	_	O
'	'	SS	O
프로듀스	프로듀스	NNG	B-POH
_	_	_	I-POH
101	101	SN	I-POH
'	'	SS	O
에서	에서	JKB	O
_	_	_	O
5	5	SN	B-NOH
위	위	NNB	I-NOH
의	의	JKG	O
_	_	_	O
성적	성적	NNG	O
으로	으로	JKB	O
_	_	_	O
데뷔해	데뷔하+여	VV+EC	O
_	_	_	O
그룹	그룹	NNG	O
_	_	_	O
I	I	SL	B-ORG
.	.	SF	I-ORG
O	O	SL	I-ORG
.	.	SF	I-ORG
I	I	SL	I-ORG
의	의	JKG	O
_	_	_	O
멤버	멤버	NNG	O
로써	로써	JKB	O
_	_	_	O
활동	활동	NNG	O
_	_	_	O
중	중	NNB	O
에	에	JKB	O
_	_	_	O
있	있	VA	O
