## 1
## 대중화 라인으로는 ▶기초 스킨케어 제품군(토너·앰플·세럼·크림·마스크팩 5종) ▶핸드앤바디 제품군(핸드크림·바디로션·바디크림·튼살크림 4종) 9종이 판매되고 있다.
## 대중화 라인으로는 ▶기초 스킨케어 제품군(토너·앰플·세럼·크림·마스크팩 5종) ▶핸드앤바디 제품군(핸드크림·바디로션·바디크림·튼살크림 <4종:NOH>) <9종:NOH>이 판매되고 있다.
대중화	대중화	NNG	O
_	_	_	O
라인	라인	NNG	O
으로	으로	JKB	O
는	는	JX	O
_	_	_	O
▶	▶	SW	O
기초	기초	NNG	O
_	_	_	O
스킨케어	스킨케어	NNG	O
_	_	_	O
제품	제품	NNG	O
군	군	NNG	O
(	(	SS	O
토너	토너	NNG	O
·	·	SP	O
앰플	앰플	NNG	O
·	·	SP	O
세럼	세럼	NNG	O
·	·	SP	O
크림	크림	NNG	O
·	·	SP	O
마스크	마스크	NNG	O
팩	팩	NNG	O
_	_	_	O
5	5	SN	O
종	종	NNG	O
)	)	SS	O
_	_	_	O
▶	▶	SW	O
핸드	핸드	NNG	O
앤	앤	NNP	O
바디	바디	NNG	O
_	_	_	O
제품	제품	NNG	O
군	군	NNG	O
(	(	SS	O
핸드크림	핸드크림	NNG	O
·	·	SP	O
바디로션	바디로션	NNG	O
·	·	SP	O
바디	바디	NNG	O
크림	크림	NNG	O
·	·	SP	O
튼	트+ㄴ	VV+ETM	O
살	살	NNG	O
크림	크림	NNG	O
_	_	_	O
4	4	SN	B-NOH
종	종	NNG	I-NOH
)	)	SS	O
_	_	_	O
9	9	SN	B-NOH
종	종	NNG	I-NOH
이	이	JKS	O
_	_	_	O
판매되	판매되	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 2
## 승리를 거두기 위해서는 일단 90점을 넘겨야 하는 양 팀이다.
## 승리를 거두기 위해서는 일단 <90점:NOH>을 넘겨야 하는 양 팀이다.
승리	승리	NNG	O
를	를	JKO	O
_	_	_	O
거두	거두	VV	O
기	기	ETN	O
_	_	_	O
위해서	위하+여서	VV+EC	O
는	는	JX	O
_	_	_	O
일단	일단	MAG	O
_	_	_	O
90	90	SN	B-NOH
점	점	NNB	I-NOH
을	을	JKO	O
_	_	_	O
넘겨야	넘기+어야	VV+EC	O
_	_	_	O
하	하	VV	O
는	는	ETM	O
_	_	_	O
양	양	NNB	O
_	_	_	O
팀	팀	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 3
## 10월 22∼24일 3회 공연이 예정돼 있다.
## <10월 22∼24일:DUR> <3회:NOH> 공연이 예정돼 있다.
10	10	SN	B-DUR
월	월	NNB	I-DUR
_	_	_	I-DUR
22	22	SN	I-DUR
∼	∼	SO	I-DUR
24	24	SN	I-DUR
일	일	NNB	I-DUR
_	_	_	O
3	3	SN	B-NOH
회	회	NNB	I-NOH
_	_	_	O
공연	공연	NNG	O
이	이	JKS	O
_	_	_	O
예정돼	예정되+어	VV+EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 4
## 온난화의 심각성 2041년까지 평균 2℃가 상승할 것으로 예측되는 기온은 온난화의 돌이킬 수 없는 지점이 될 것이며, 2056년 지구 기온이 평균 3℃ 이상 상승한다면 자연과 인간의 시스템을 영구적으로 붕괴시킬 가능성도 있다.
## 온난화의 심각성 <2041년:DAT>까지 평균 <2℃:NOH>가 상승할 것으로 예측되는 기온은 온난화의 돌이킬 수 없는 지점이 될 것이며, <2056년:DAT> 지구 기온이 평균 <3℃:NOH> 이상 상승한다면 자연과 인간의 시스템을 영구적으로 붕괴시킬 가능성도 있다.
