## 1
## 아웃도어 브랜드 마운티아가 새해를 맞아 모델 주원을 내세운 특별한 응원 이벤트를 개최한다.
## 아웃도어 브랜드 <마운티아:ORG>가 새해를 맞아 모델 <주원:PER>을 내세운 특별한 응원 이벤트를 개최한다.
아웃도어	아웃도어	NNG	O
_	_	_	O
브랜드	브랜드	NNG	O
_	_	_	O
마운티	마운티	NNP	B-ORG
아가	아가	NNG	O
_	_	_	O
새해	새해	NNG	O
를	를	JKO	O
_	_	_	O
맞	맞	VV	O
아	고	EC	O
_	_	_	O
모델	모델	NNG	O
_	_	_	O
주원	주원	NNP	B-PER
을	을	JKO	O
_	_	_	O
내세운	내세우+ㄴ	VV+ETM	O
_	_	_	O
특별한	특별하+ㄴ	VA+ETM	O
_	_	_	O
응원	응원	NNG	O
_	_	_	O
이벤트	이벤트	NNG	O
를	를	JKO	O
_	_	_	O
개최한다	개최하+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 새정치연합도 남의 잘못을 비판하려면 자신의 허물부터 되돌아봐야 한다.
## <새정치연합:ORG>도 남의 잘못을 비판하려면 자신의 허물부터 되돌아봐야 한다.
새정치연합	새정치연합	NNP	B-ORG
도	도	JX	O
_	_	_	O
남	남	NNG	O
의	의	JKG	O
_	_	_	O
잘못	잘못	NNG	O
을	을	JKO	O
_	_	_	O
비판하	비판하	VV	O
려면	려면	EC	O
_	_	_	O
자신	자신	NNG	O
의	의	JKG	O
_	_	_	O
허물	허물	NNG	O
부터	부터	JX	O
_	_	_	O
되돌아봐야	되돌아보+아야	VV+EC	O
_	_	_	O
한다	하+ㄴ다	VX+EF	O
.	.	SF	O

## 3
## 게다가 올해 들어서는 10만원 이하의 초저가 드론이 대량으로 생산되기 시작하면서 공원에 드론을 들고 나가 가족사진을 찍거나 취미로 활용하는 경우도 많아졌습니다.
## 게다가 올해 들어서는 <10만원:MNY> 이하의 초저가 드론이 대량으로 생산되기 시작하면서 공원에 드론을 들고 나가 가족사진을 찍거나 취미로 활용하는 경우도 많아졌습니다.
게다가	게다가	MAG	O
_	_	_	O
올해	올해	NNG	O
_	_	_	O
들	들	VV	O
어서	어서	EC	O
는	는	JX	O
_	_	_	O
10	10	SN	B-MNY
만	만	NR	I-MNY
원	원	NNB	I-MNY
_	_	_	O
이하	이하	NNG	O
의	의	JKG	O
_	_	_	O
초	초	XPN	O
저가	저가	NNG	O
_	_	_	O
드론	드론	NNG	O
이	이	JKS	O
_	_	_	O
대량	대량	NNG	O
으로	으로	JKB	O
_	_	_	O
생산되	생산되	VV	O
기	기	ETN	O
_	_	_	O
시작하	시작하	VV	O
면서	면서	EC	O
_	_	_	O
공원	공원	NNG	O
에	에	JKB	O
_	_	_	O
드론	드론	NNG	O
을	을	JKO	O
_	_	_	O
들	들	VV	O
고	고	EC	O
_	_	_	O
나가	나가+아	VV+EC	O
_	_	_	O
가족사진	가족사진	NNG	O
을	을	JKO	O
_	_	_	O
찍	찍	VV	O
거나	거나	EC	O
_	_	_	O
취미	취미	NNG	O
로	로	JKB	O
_	_	_	O
활용하	활용하	VV	O
는	는	ETM	O
_	_	_	O
경우	경우	NNG	O
도	도	JX	O
_	_	_	O
많아	많아지	VV	O
졌	었	EP	O
습니다	습니다	EF	O
.	.	SF	O

## 4
## 작년 가을에 미국 고향으로 돌아왔다.
## 작년 가을에 <미국:LOC> 고향으로 돌아왔다.
작년	작년	NNG	O
_	_	_	O
가을	가을	NNG	O
에	에	JKB	O
_	_	_	O
미국	미국	NNP	B-LOC
_	_	_	O
고향	고향	NNG	O
으로	으로	JKB	O
_	_	_	O
돌아	돌아오	VV	O
왔	았	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 이번 서비스를 통해 ‘포켓몬고’를 즐기는 유저들의 이용 편의가 크게 증가할뿐 아니라 점포를 중심으로 포켓몬 핫플레이스가 형성될 것이라는 게 롯데 계열사 측 설명. 특히 수도권을 제외한 지역의 경우 상대적으로 ‘포켓스톱’ 및 ‘체육관’이 부족한 만큼 롯데 계열 점포가 새로운 포켓몬 명소로 부상할 것이라는 기대감에 차 있다.
## 이번 서비스를 통해 ‘<포켓몬고:POH>’를 즐기는 유저들의 이용 편의가 크게 증가할뿐 아니라 점포를 중심으로 <포켓몬:POH> 핫플레이스가 형성될 것이라는 게 <롯데:ORG> 계열사 측 설명. 특히 <수도권:LOC>을 제외한 지역의 경우 상대적으로 ‘<포켓스톱:LOC>’ 및 ‘<체육관:LOC>’이 부족한 만큼 <롯데:ORG> 계열 점포가 새로운 <포켓몬:POH> 명소로 부상할 것이라는 기대감에 차 있다.
이번	이번	NNG	O
_	_	_	O
서비스	서비스	NNG	O
를	를	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
‘	‘	SS	O
포켓몬	포켓몬	NNG	B-POH
고	고	JKQ	I-POH
’	’	SS	O
를	를	JKO	O
_	_	_	O
즐기	즐기	VV	O
는	는	ETM	O
