## 1
## 정부가 고고도미사일방어(THAAD·사드) 체계 배치 절차를 속전속결로 진행하고 있다.
## 정부가 <고고도미사일방어:POH>(<THAAD:POH>·<사드:POH>) 체계 배치 절차를 속전속결로 진행하고 있다.
정부	정부	NNG	O
가	가	JKS	O
_	_	_	O
고고도	고고도	NNG	B-POH
미사일	미사일	NNG	I-POH
방어	방어	NNG	I-POH
(	(	SS	O
THAAD	THAAD	SL	B-POH
·	·	SP	O
사드	사드	NNP	B-POH
)	)	SS	O
_	_	_	O
체계	체계	NNG	O
_	_	_	O
배치	배치	NNG	O
_	_	_	O
절차	절차	NNG	O
를	를	JKO	O
_	_	_	O
속전속결	속전속결	NNG	O
로	로	JKB	O
_	_	_	O
진행하	진행하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 2
## 》 20대 국회의 출범과 함께 건강보험료 부과체계 개편 논란이 점화됐다.
## 》 <20대:NOH> 국회의 출범과 함께 건강보험료 부과체계 개편 논란이 점화됐다.
》	》	SS	O
_	_	_	O
20	20	SN	B-NOH
대	대	NNB	I-NOH
_	_	_	O
국회	국회	NNG	O
의	의	JKG	O
_	_	_	O
출범	출범	NNG	O
과	과	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
건강	건강	NNG	O
보험료	보험료	NNG	O
_	_	_	O
부과	부과	NNG	O
체계	체계	NNG	O
_	_	_	O
개편	개편	NNG	O
_	_	_	O
논란	논란	NNG	O
이	이	JKS	O
_	_	_	O
점화	점화되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 이 중 38명의 증인이 채택됐고, 26명이 헌재 대심판정 증인석에 섰다.
## 이 중 <38명:NOH>의 증인이 채택됐고, <26명:NOH>이 헌재 대심판정 증인석에 섰다.
이	이	MM	O
_	_	_	O
중	중	NNB	O
_	_	_	O
38	38	SN	B-NOH
명	명	NNB	I-NOH
의	의	JKG	O
_	_	_	O
증인	증인	NNG	O
이	이	JKS	O
_	_	_	O
채택	채택되	VV	O
됐	었	EP	O
고	고	EC	O
,	,	SP	O
_	_	_	O
26	26	SN	B-NOH
명	명	NNB	I-NOH
이	이	JKS	O
_	_	_	O
헌재	헌재	NNG	O
_	_	_	O
대심	대심	NNG	O
판정	판정	NNG	O
_	_	_	O
증인석	증인석	NNG	O
에	에	JKB	O
_	_	_	O
섰	서+었	VV+EP	O
다	다	EF	O
.	.	SF	O

## 4
## 여의도를 출발해 신사역과 영동대교 남단을 지나 강변북로를 타고 올림픽대로에 위치한 카페 스테이지 28에 이르는 편도 29.09km를 약 1시간 동안 달렸다.
## <여의도:LOC>를 출발해 <신사역:LOC>과 <영동대교:LOC> 남단을 지나 <강변북로:LOC>를 타고 <올림픽대로:LOC>에 위치한 카페 <스테이지 28:ORG>에 이르는 편도 <29.09km:NOH>를 약 <1시간 동안:DUR> 달렸다.
여의도	여의도	NNP	B-LOC
를	를	JKO	O
_	_	_	O
출발해	출발하+여	VV+EC	O
_	_	_	O
신사역	신사역	NNP	B-LOC
과	과	JC	O
_	_	_	O
영동대교	영동대교	NNP	B-LOC
_	_	_	O
남단	남단	NNG	O
을	을	JKO	O
_	_	_	O
지나	지나+아	VV+EC	O
_	_	_	O
강변북로	강변북로	NNP	B-LOC
를	를	JKO	O
_	_	_	O
타	타	VV	O
고	고	EC	O
_	_	_	O
올림픽대로	올림픽대로	NNP	B-LOC
에	에	JKB	O
_	_	_	O
위치한	위치하+ㄴ	VV+ETM	O
_	_	_	O
