## 1
## 노인의 빈곤율이 무려 50%에 육박한다는 조사가 나와 충격을 주고 있다.
## 노인의 빈곤율이 무려 <50%:PNT>에 육박한다는 조사가 나와 충격을 주고 있다.
노인	노인	NNG	O
의	의	JKG	O
_	_	_	O
빈곤	빈곤	NNG	O
율	율	XSN	O
이	이	JKS	O
_	_	_	O
무려	무려	MAG	O
_	_	_	O
50	50	SN	B-PNT
%	%	SW	I-PNT
에	에	JKB	O
_	_	_	O
육박한다는	육박하+ㄴ다는	VV+ETM	O
_	_	_	O
조사	조사	NNG	O
가	가	JKS	O
_	_	_	O
나	나오	VV	O
와	아	EC	O
_	_	_	O
충격	충격	NNG	O
을	을	JKO	O
_	_	_	O
주	주	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 2
## 실제로 네덜란드 집권 기민당은 지난번 총선직전 퇴직연금을 4년동안 동결한다는 법안을 발표했다가 전통적 지지계층이었던 노령층 표를 대거 상실한 것으로 분석되고 있다.
## 실제로 <네덜란드:ORG> 집권 <기민당:ORG>은 지난번 총선직전 퇴직연금을 <4년동안:DUR> 동결한다는 법안을 발표했다가 전통적 지지계층이었던 노령층 표를 대거 상실한 것으로 분석되고 있다.
실제로	실제로	MAG	O
_	_	_	O
네덜란드	네덜란드	NNP	B-ORG
_	_	_	O
집권	집권	NNG	O
_	_	_	O
기민당	기민당	NNP	B-ORG
은	은	JX	O
_	_	_	O
지난번	지난번	NNG	O
_	_	_	O
총선	총선	NNG	O
직전	직전	NNG	O
_	_	_	O
퇴직	퇴직	NNG	O
연금	연금	NNG	O
을	을	JKO	O
_	_	_	O
4	4	SN	B-DUR
년	년	NNB	I-DUR
동안	동안	NNG	I-DUR
_	_	_	O
동결한다는	동결하+ㄴ다는	VV+ETM	O
_	_	_	O
법안	법안	NNG	O
을	을	JKO	O
_	_	_	O
발표	발표하	VV	O
했	였	EP	O
다가	다가	EC	O
_	_	_	O
전통적	전통적	NNG	O
_	_	_	O
지지	지지	NNG	O
계층	계층	NNG	O
이	이	VCP	O
었	었	EP	O
던	던	ETM	O
_	_	_	O
노령	노령	NNG	O
층	층	XSN	O
_	_	_	O
표	표	NNG	O
를	를	JKO	O
_	_	_	O
대거	대거	MAG	O
_	_	_	O
상실한	상실하+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
분석되	분석되	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 3
## 앞서 행정자치부는 2008년 1월부터 11월까지 서울에서 89만2437명이 순유출됐다고 밝혔다.
## 앞서 <행정자치부:ORG>는 <2008년:DAT> <1월부터 11월까지:DUR> <서울:LOC>에서 <89만2437명:NOH>이 순유출됐다고 밝혔다.
앞서	앞서+어	VV+EC	O
_	_	_	O
행정자치부	행정자치부	NNG	B-ORG
는	는	JX	O
_	_	_	O
2008	2008	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
1	1	SN	B-DUR
월	월	NNB	I-DUR
부터	부터	JX	I-DUR
_	_	_	I-DUR
11	11	SN	I-DUR
월	월	NNB	I-DUR
까지	까지	JX	I-DUR
_	_	_	O
서울	서울	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
89	89	SN	B-NOH
만	만	NR	I-NOH
2437	2437	SN	I-NOH
명	명	NNB	I-NOH
이	이	JKS	O
_	_	_	O
순	순	MM	O
유출	유출	NNG	O
됐	되+었	XSV+EP	O
다고	다고	EC	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 윤수현은 25일 오전 방송한 KBS1 시사 교양 프로그램 ‘만남의 강은 흐른다’에 출연해 신곡 ‘꽃길’ 무대를 공개했다.
## <윤수현:PER>은 <25일:DAT> 오전 방송한 <KBS1:ORG> 시사 교양 프로그램 ‘<만남의 강은 흐른다:POH>’에 출연해 신곡 ‘<꽃길:POH>’ 무대를 공개했다.
윤수현	윤수현	NNP	B-PER
은	은	JX	O
_	_	_	O
25	25	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
오전	오전	NNG	O
_	_	_	O
방송	방송	NNG	O
한	한	NNP	O
_	_	_	O
KBS	KBS	SL	B-ORG
1	1	SN	I-ORG
_	_	_	O
시사	시사	NNG	O
_	_	_	O
교양	교양	NNG	O
_	_	_	O
프로그램	프로그램	NNG	O
_	_	_	O
‘	‘	SS	O
만남	만남	NNG	B-POH
의	의	JKG	I-POH
_	_	_	I-POH
강	강	NNG	I-POH
은	은	JX	I-POH
_	_	_	I-POH
