## 1
## 이태임 근황 포착 “父母와 휴식” 욕설 파문에 연예활동 ‘올스톱’…소속사 계약은?
## <이태임:PER> 근황 포착 “父母와 휴식” 욕설 파문에 연예활동 ‘올스톱’…소속사 계약은?
이태임	이태임	NNP	B-PER
_	_	_	O
근황	근황	NNG	O
_	_	_	O
포착	포착	NNG	O
_	_	_	O
“	“	SS	O
父母	父母	SH	O
와	와	JC	O
_	_	_	O
휴식	휴식	NNG	O
”	”	SS	O
_	_	_	O
욕설	욕설	NNG	O
_	_	_	O
파문	파문	NNG	O
에	에	JKB	O
_	_	_	O
연예	연예	NNG	O
활동	활동	NNG	O
_	_	_	O
‘	‘	SS	O
올스톱	올스톱	NNG	O
’	’	SS	O
…	…	SE	O
소속	소속	NNG	O
사	사	XSN	O
_	_	_	O
계약	계약	NNG	O
은	은	JX	O
?	?	SF	O

## 2
## ‘슈퍼맨’ 서언 서준, 번데기에 반해… ‘폭풍 먹방’
## ‘<슈퍼맨:PER>’ <서언:PER> <서준:PER>, 번데기에 반해… ‘폭풍 먹방’
‘	‘	SS	O
슈퍼맨	슈퍼맨	NNP	B-PER
’	’	SS	O
_	_	_	O
서언	서언	NNG	B-PER
_	_	_	O
서	서+어	VV+EC	B-PER
준	주+ㄴ	VX+ETM	I-PER
,	,	SP	O
_	_	_	O
번데기	번데기	NNG	O
에	에	JKB	O
_	_	_	O
반해	반하+여	VV+EC	O
…	…	SE	O
_	_	_	O
‘	‘	SS	O
폭풍	폭풍	NNG	O
_	_	_	O
먹방	먹방	NNG	O
’	’	SS	O

## 3
## 2004년 삼성물산을 상대로 벌였던 경영권 분쟁을 또 다시 일으키지 말란 법이 없다.
## <2004년:DAT> <삼성물산:ORG>을 상대로 벌였던 경영권 분쟁을 또 다시 일으키지 말란 법이 없다.
2004	2004	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
삼성물산	삼성물산	NNP	B-ORG
을	을	JKO	O
_	_	_	O
상대	상대	NNG	O
로	로	JKB	O
_	_	_	O
벌	벌이	VV	O
였	었	EP	O
던	던	ETM	O
_	_	_	O
경영권	경영권	NNG	O
_	_	_	O
분쟁	분쟁	NNG	O
을	을	JKO	O
_	_	_	O
또	또	MAG	O
_	_	_	O
다시	다시	MAG	O
_	_	_	O
일으키	일으키	VV	O
지	지	EC	O
_	_	_	O
말	말	VX	O
란	란	ETM	O
_	_	_	O
법	법	NNB	O
이	이	JKS	O
_	_	_	O
없	없	VA	O
다	다	EF	O
.	.	SF	O

## 4
## "미국, 北핵시설 타격시 남북·중국·일본 핵오염 위험"
## "<미국:ORG>, <北:ORG>핵시설 타격시 <남북:ORG>·<중국:ORG>·<일본:ORG> 핵오염 위험"
"	"	SS	O
미국	미국	NNP	B-ORG
,	,	SP	O
_	_	_	O
北	北	SH	B-ORG
핵	핵	NNG	O
시설	시설	NNG	O
_	_	_	O
타격	타격	NNG	O
시	시	NNB	O
_	_	_	O
남북	남북	NNP	B-ORG
·	·	SP	O
중국	중국	NNP	B-ORG
·	·	SP	O
일본	일본	NNP	B-ORG
_	_	_	O
핵	핵	NNG	O
오염	오염	NNG	O
_	_	_	O
위험	위험	NNG	O
"	"	SS	O

## 5
