## 1
## 강원도 정선군 화암면 백전리에 소재한 용소동굴은‘용이 사는 동굴’이라는 뜻을 가지고 있다.
## <강원도:LOC> <정선군:LOC> <화암면:LOC> <백전리:LOC>에 소재한 <용소동굴:POH>은‘용이 사는 동굴’이라는 뜻을 가지고 있다.
강원도	강원도	NNP	B-LOC
_	_	_	O
정선군	정선군	NNP	B-LOC
_	_	_	O
화암	화암+이	NNP+VCP	B-LOC
면	면	EC	I-LOC
_	_	_	O
백전리	백전리	NNP	B-LOC
에	에	JKB	O
_	_	_	O
소재한	소재하+ㄴ	VV+ETM	O
_	_	_	O
용소	용소	NNG	B-POH
동굴	동굴	NNG	I-POH
은	은	JX	O
‘	‘	SS	O
용	용	NNG	O
이	이	JKS	O
_	_	_	O
사	살	VV	O
는	는	ETM	O
_	_	_	O
동굴	동굴	NNG	O
’	’	SS	O
이	이	VCP	O
라는	라는	ETM	O
_	_	_	O
뜻	뜻	NNG	O
을	을	JKO	O
_	_	_	O
가지	가지	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 2
## 문화재청은 2013년 시행된 ‘천연동굴 문화재지정 기초 학술조사’에서 자연유산적 가치가 뛰어난 수중동굴로 조사되어 천연기념물 지정을 추진했다.
## <문화재청:ORG>은 <2013년:DAT> 시행된 ‘천연동굴 문화재지정 기초 학술조사’에서 자연유산적 가치가 뛰어난 수중동굴로 조사되어 천연기념물 지정을 추진했다.
문화재청	문화재청	NNG	B-ORG
은	은	JX	O
_	_	_	O
2013	2013	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
시행된	시행되+ㄴ	VV+ETM	O
_	_	_	O
‘	‘	SS	O
천연	천연	NNG	O
동굴	동굴	NNG	O
_	_	_	O
문화재	문화재	NNG	O
지정	지정	NNG	O
_	_	_	O
기초	기초	NNG	O
_	_	_	O
학술	학술	NNG	O
조사	조사	NNG	O
’	’	SS	O
에서	에서	JKB	O
_	_	_	O
자연	자연	NNG	O
유산	유산	NNG	O
적	적	XSN	O
_	_	_	O
가치	가치	NNG	O
가	가	JKS	O
_	_	_	O
뛰어난	뛰어나+ㄴ	VA+ETM	O
_	_	_	O
수중	수중	NNG	O
동굴	동굴	NNG	O
로	로	JKB	O
_	_	_	O
조사되	조사되	VV	O
어	어	EC	O
_	_	_	O
천연기념물	천연기념물	NNG	O
_	_	_	O
지정	지정	NNG	O
을	을	JKO	O
_	_	_	O
추진	추진하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 용소동굴은 현재까지 국내에서 발견된 수중동굴 중 가장 큰 규모로, 조사 구간을 기준으로 통로 길이 약 250m, 수심은 약 50m이며, 도롱뇽과 서식 어류 등 다양한 수중생물도 확인되고 있다.
## <용소동굴:POH>은 현재까지 국내에서 발견된 수중동굴 중 가장 큰 규모로, 조사 구간을 기준으로 통로 길이 약 <250m:NOH>, 수심은 약 <50m:NOH>이며, 도롱뇽과 서식 어류 등 다양한 수중생물도 확인되고 있다.
용소	용소	NNG	B-POH
동굴	동굴	NNG	I-POH
은	은	JX	O
_	_	_	O
현재	현재	NNG	O
까지	까지	JX	O
_	_	_	O
국내	국내	NNG	O
에서	에서	JKB	O
_	_	_	O
발견된	발견되+ㄴ	VV+ETM	O
_	_	_	O
수중	수중	NNG	O
동굴	동굴	NNG	O
_	_	_	O
중	중	NNB	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
큰	크+ㄴ	VA+ETM	O
_	_	_	O
규모	규모	NNG	O
로	로	JKB	O
,	,	SP	O
_	_	_	O
조사	조사	NNG	O
_	_	_	O
구간	구간	NNG	O
을	을	JKO	O
_	_	_	O
기준	기준	NNG	O
으로	으로	JKB	O
_	_	_	O
통로	통로	NNG	O
_	_	_	O
길이	길이	NNG	O
_	_	_	O
약	약	MM	O
_	_	_	O
250	250	SN	B-NOH
m	m	SL	I-NOH
,	,	SP	O
_	_	_	O
수심	수심	NNG	O
은	은	JX	O
_	_	_	O
약	약	MM	O
_	_	_	O
50	50	SN	B-NOH
m	m	SL	I-NOH
이	이	VCP	O
며	며	EC	O
,	,	SP	O
_	_	_	O
도롱뇽과	도롱뇽과	NNG	O
_	_	_	O
서식	서식	NNG	O
_	_	_	O
어류	어류	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
다양한	다양하+ㄴ	VA+ETM	O
_	_	_	O
수중	수중	NNG	O
생물	생물	NNG	O
도	도	JX	O
_	_	_	O
확인되	확인되	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 4
## 한편 2012년 뉴이스트 멤버로 데뷔한 최민기는 같은 그룹 멤버 강동호, 김종현, 황민현과 함께 '프로듀스 101 시즌 2'에 출연해 재도약을 꿈꾸고 있다.
## 한편 <2012년:DAT> <뉴이스트:ORG> 멤버로 데뷔한 <최민기:PER>는 같은 그룹 멤버 <강동호:PER>, <김종현:PER>, <황민현:PER>과 함께 '<프로듀스 101 시즌 2:POH>'에 출연해 재도약을 꿈꾸고 있다.
한편	한편	MAG	O
_	_	_	O
2012	2012	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
뉴	뉴	NNG	B-ORG
이스트	이스트	NNG	I-ORG
_	_	_	O
멤버	멤버	NNG	O
로	로	JKB	O
_	_	_	O
데뷔한	데뷔하+ㄴ	VV+ETM	O
_	_	_	O
최민기	최민기	NNP	B-PER
는	는	JX	O
_	_	_	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
그룹	그룹	NNG	O
_	_	_	O
멤버	멤버	NNG	O
_	_	_	O
강동호	강동호	NNP	B-PER
