## 1
## 팔순의 사회학자 송복(연세대 명예교수)은 ‘상층(上層)은 있는데 상류사회가 없고, 고위직층은 있는데 노블레스 오블리주가 없는’ 이유를 집요하게 추적한다.
## 팔순의 사회학자 <송복:PER>(<연세대:ORG> 명예교수)은 ‘상층(上層)은 있는데 상류사회가 없고, 고위직층은 있는데 노블레스 오블리주가 없는’ 이유를 집요하게 추적한다.
팔순	팔순	NNG	O
의	의	JKG	O
_	_	_	O
사회학	사회학	NNG	O
자	자	XSN	O
_	_	_	O
송복	송복	NNG	B-PER
(	(	SS	O
연세대	연세대	NNP	B-ORG
_	_	_	O
명예	명예	NNG	O
교수	교수	NNG	O
)	)	SS	O
은	은	JX	O
_	_	_	O
‘	‘	SS	O
상층	상층	NNG	O
(	(	SS	O
上層	上層	SH	O
)	)	SS	O
은	은	JX	O
_	_	_	O
있	있	VA	O
는데	는데	EC	O
_	_	_	O
상류	상류	NNG	O
사회	사회	NNG	O
가	가	JKS	O
_	_	_	O
없	없	VA	O
고	고	EC	O
,	,	SP	O
_	_	_	O
고위	고위	NNG	O
직	직	NNG	O
층	층	XSN	O
은	은	JX	O
_	_	_	O
있	있	VA	O
는데	는데	EC	O
_	_	_	O
노블레스	노블레스	NNG	O
_	_	_	O
오블리주	오블리주	NNG	O
가	가	JKS	O
_	_	_	O
없	없	VA	O
는	는	ETM	O
’	’	SS	O
_	_	_	O
이유	이유	NNG	O
를	를	JKO	O
_	_	_	O
집요하	집요하	VA	O
게	게	EC	O
_	_	_	O
추적한다	추적하+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 지난 23일 남자 대회전에서 은메달을 딴 김현태는 생일인 이날 은메달을 추가했다.
## 지난 <23일:DAT> 남자 대회전에서 은메달을 딴 <김현태:PER>는 생일인 이날 은메달을 추가했다.
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
23	23	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
남자	남자	NNG	O
_	_	_	O
대회	대회	NNG	O
전	전	XSN	O
에서	에서	JKB	O
_	_	_	O
은메달	은메달	NNG	O
을	을	JKO	O
_	_	_	O
딴	따+ㄴ	VV+ETM	O
_	_	_	O
김현태	김현태	NNP	B-PER
는	는	JX	O
_	_	_	O
생일	생일	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
은메달	은메달	NNG	O
을	을	JKO	O
_	_	_	O
추가	추가하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 2011년 1월엔 ‘스폰서에게 줄 성관계 장면이 필요하다’,
## <2011년 1월:DAT>엔 ‘스폰서에게 줄 성관계 장면이 필요하다’,
2011	2011	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	I-DAT
1	1	SN	I-DAT
월	월	NNB	I-DAT
엔	에+ㄴ	JKB+JX	O
_	_	_	O
‘	‘	SS	O
스폰서	스폰서	NNG	O
에게	에게	JKB	O
_	_	_	O
줄	주+ㄹ	VV+ETM	O
_	_	_	O
성관계	성관계	NNG	O
_	_	_	O
장면	장면	NNG	O
이	이	JKS	O
_	_	_	O
필요하	필요하	VA	O
다	다	EF	O
’	’	SS	O
,	,	SP	O

## 4
## 백승호, 35개월 만에 복귀…후반 13분 교체 OUT, 팀은 0:1 敗유소년 선수 국제 이적 규정을 어겼다는 이유로 국제축구연맹(FIFA)으로부터 징계를 받아 공식 경기에 나오지 못했던 백승호(바르셀로나 후베닐A·18)가 35개월 만에 복귀전을 치렀다.
## <백승호:PER>, <35개월:NOH> 만에 복귀…<후반 13분:TIM> 교체 OUT, 팀은 <0:1:NOH> 敗유소년 선수 국제 이적 규정을 어겼다는 이유로 <국제축구연맹:ORG>(<FIFA:ORG>)으로부터 징계를 받아 공식 경기에 나오지 못했던 <백승호:PER>(<바르셀로나 후베닐A:ORG>·<18:NOH>)가 <35개월:NOH> 만에 복귀전을 치렀다.
백승호	백승호	NNP	B-PER
,	,	SP	O
_	_	_	O
35	35	SN	B-NOH
개월	개월	NNB	I-NOH
_	_	_	O
만	만	NNB	O
에	에	JKB	O
_	_	_	O
복귀	복귀	NNG	O
…	…	SE	O
후반	후반	NNG	B-TIM
_	_	_	I-TIM
13	13	SN	I-TIM
분	분	NNB	I-TIM
_	_	_	O
교체	교체	NNG	O
_	_	_	O
OUT	OUT	SL	O
,	,	SP	O
_	_	_	O
팀	팀	NNG	O
은	은	JX	O
_	_	_	O
0	0	SN	B-NOH
:	:	SP	I-NOH
1	1	SN	I-NOH
_	_	_	O
敗	敗	SH	O
유소년	유소년	NNG	O
_	_	_	O
선수	선수	NNG	O
