## 1
## 권창훈은 “이번 동아시안컵에 뽑혔다고 올림픽대표팀에도 선발된다는 보장이 없다.
## <권창훈:PER>은 “이번 <동아시안컵:POH>에 뽑혔다고 올림픽대표팀에도 선발된다는 보장이 없다.
권창훈	권창훈	NNP	B-PER
은	은	JX	O
_	_	_	O
“	“	SS	O
이번	이번	NNG	O
_	_	_	O
동	동	NNG	B-POH
아시안	아시안	NNG	I-POH
컵	컵	NNG	I-POH
에	에	JKB	O
_	_	_	O
뽑	뽑히	VV	O
혔	었	EP	O
다고	다고	EC	O
_	_	_	O
올림픽	올림픽	NNG	O
대표	대표	NNG	O
팀	팀	NNG	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
선발된다는	선발되+ㄴ다는	VV+ETM	O
_	_	_	O
보장	보장	NNG	O
이	이	JKS	O
_	_	_	O
없	없	VA	O
다	다	EF	O
.	.	SF	O

## 2
## 현장에는 고무로 된 원뿔 4개에 ‘안전제일’이라고 적힌 띠가 둘러진 상태였다.
## 현장에는 고무로 된 원뿔 <4개:NOH>에 ‘안전제일’이라고 적힌 띠가 둘러진 상태였다.
현장	현장	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
고무	고무	NNG	O
로	로	JKB	O
_	_	_	O
된	되+ㄴ	VV+ETM	O
_	_	_	O
원뿔	원뿔	NNG	O
_	_	_	O
4	4	SN	B-NOH
개	개	NNB	I-NOH
에	에	JKB	O
_	_	_	O
‘	‘	SS	O
안전제일	안전제일	NNG	O
’	’	SS	O
이라고	이라고	JKQ	O
_	_	_	O
적힌	적히+ㄴ	VV+ETM	O
_	_	_	O
띠	띠	NNG	O
가	가	JKS	O
_	_	_	O
둘	두르	VV	O
러	어	EC	O
진	지+ㄴ	VX+ETM	O
_	_	_	O
상태	상태+이	NNG+VCP	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 모나리자를 연상시키는 옅은 눈썹, 이 세상 사람이 아닌 듯한 오묘한 얼굴은 성적 매력을 드러내야 하는 캐릭터 P를 더욱 비일상적이고 독특하게 만드는 데 일조했다.
## <모나리자:PER>를 연상시키는 옅은 눈썹, 이 세상 사람이 아닌 듯한 오묘한 얼굴은 성적 매력을 드러내야 하는 캐릭터 <P:PER>를 더욱 비일상적이고 독특하게 만드는 데 일조했다.
모나리자	모나리자	NNP	B-PER
를	를	JKO	O
_	_	_	O
연상	연상	NNG	O
시키	시키	XSV	O
는	는	ETM	O
_	_	_	O
옅	옅	VA	O
은	은	ETM	O
_	_	_	O
눈썹	눈썹	NNG	O
,	,	SP	O
_	_	_	O
이	이	MM	O
_	_	_	O
세상	세상	NNG	O
_	_	_	O
사람	사람	NNG	O
이	이	JKC	O
_	_	_	O
아닌	아니+ㄴ	VCN+ETM	O
_	_	_	O
듯한	듯하+ㄴ	VX+ETM	O
_	_	_	O
오묘한	오묘하+ㄴ	VA+ETM	O
