## 1
## 그리고 그 정점에서 신 총괄회장이 한·일 양국의 롯데를 총괄했다.그러던 중 지난해 말과 올해 초에 걸쳐 신 전 부회장이 주요 보직에서 잇따라 밀려났다.
## 그리고 그 정점에서 <신:PER> 총괄회장이 <한·일:ORG> <양국:NOH>의 <롯데:ORG>를 총괄했다.그러던 중 지난해 말과 올해 초에 걸쳐 <신:PER> 전 부회장이 주요 보직에서 잇따라 밀려났다.
그리고	그리고	MAJ	O
_	_	_	O
그	그	MM	O
_	_	_	O
정점	정점	NNG	O
에서	에서	JKB	O
_	_	_	O
신	신	NNG	B-PER
_	_	_	O
총괄	총괄	NNG	O
회장	회장	NNG	O
이	이	JKS	O
_	_	_	O
한	한	NNP	B-ORG
·	·	SP	I-ORG
일	일	NNP	I-ORG
_	_	_	O
양국	양국	NNG	B-NOH
의	의	JKG	O
_	_	_	O
롯데	롯데	NNP	B-ORG
를	를	JKO	O
_	_	_	O
총괄	총괄하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O
그러	그러	VV	O
던	던	ETM	O
_	_	_	O
중	중	NNB	O
_	_	_	O
지난해	지난해	NNG	O
_	_	_	O
말	말	NNB	O
과	과	JC	O
_	_	_	O
올해	올해	NNG	O
_	_	_	O
초	초	NNB	O
에	에	JKB	O
_	_	_	O
걸쳐	걸치+어	VV+EC	O
_	_	_	O
신	신	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
부회장	부회장	NNG	O
이	이	JKS	O
_	_	_	O
주요	주요	NNG	O
_	_	_	O
보직	보직	NNG	O
에서	에서	JKB	O
_	_	_	O
잇따	잇따르	VV	O
라	아	EC	O
_	_	_	O
밀려났	밀려나+았	VV+EP	O
다	다	EF	O
.	.	SF	O

## 2
## 경북 칠곡이 고향인 김루트와는 대구에서 버스킹을 하면서 만났다.
## <경북:LOC> <칠곡:LOC>이 고향인 <김루트:PER>와는 <대구:LOC>에서 버스킹을 하면서 만났다.
경북	경북	NNP	B-LOC
_	_	_	O
칠곡	칠곡	NNP	B-LOC
이	이	JKS	O
_	_	_	O
고향	고향	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
김루트	김루트	NNG	B-PER
와	와	JKB	O
는	는	JX	O
_	_	_	O
대구	대구	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
버스	버스	NNG	O
킹	킹	NNP	O
을	을	JKO	O
_	_	_	O
하	하	VV	O
면서	면서	EC	O
_	_	_	O
만났	만나+았	VV+EP	O
다	다	EF	O
.	.	SF	O

## 3
## 96년 대통령표창을 받았다.유족으로는 부인 이정희 씨와 재영ㆍ혜원ㆍ혜경ㆍ혜준 씨 등 1남 3녀가 있다.
## <96년:DAT> 대통령표창을 받았다.유족으로는 부인 <이정희:PER> 씨와 <재영:PER>ㆍ<혜원:PER>ㆍ<혜경:PER>ㆍ<혜준:PER> 씨 등 <1남:NOH> <3녀:NOH>가 있다.
96	96	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
대통령	대통령	NNG	O
표창	표창	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O
유족	유족	NNG	O
으로	으로	JKB	O
는	는	JX	O
_	_	_	O
부인	부인	NNG	O
_	_	_	O
이정희	이정희	NNP	B-PER
_	_	_	O
씨	씨	NNB	O
와	와	JC	O
_	_	_	O
재영	재영	NNP	B-PER
ㆍ	ㆍ	SP	O
혜원	혜원	NNP	B-PER
ㆍ	ㆍ	SP	O
혜경	혜경	NNP	B-PER
ㆍ	ㆍ	SP	O
혜	혜	NNG	B-PER
준	준	XPN	I-PER
_	_	_	O
씨	씨	NNB	O
_	_	_	O
등	등	NNB	O
_	_	_	O
1	1	SN	B-NOH
남	남	NNG	I-NOH
_	_	_	O
3	3	SN	B-NOH
녀	녀	NNG	I-NOH
가	가	JKS	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 4
## 정 씨의 출산 의혹은 그가 페이스북 계정에 2014년 후반기와 지난해 5월 자신의 임신을 암시하는 듯한 내용의 글을 올렸다가 삭제하면서 급속히 퍼지기 시작했다.
## <정:PER> 씨의 출산 의혹은 그가 <페이스북:POH> 계정에 <2014년:DAT> 후반기와 지난해 <5월:DAT> 자신의 임신을 암시하는 듯한 내용의 글을 올렸다가 삭제하면서 급속히 퍼지기 시작했다.
정	정	NNP	B-PER
_	_	_	O
씨	씨	NNB	O
의	의	JKG	O
_	_	_	O
출산	출산	NNG	O
_	_	_	O
의혹	의혹	NNG	O
은	은	JX	O
_	_	_	O
그	그	NP	O
가	가	JKS	O
_	_	_	O
페이스북	페이스북	NNP	B-POH
_	_	_	O
계정	계정	NNG	O
에	에	JKB	O
_	_	_	O
2014	2014	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
후반기	후반기	NNG	O
와	와	JC	O
_	_	_	O
지난해	지난해	NNG	O
_	_	_	O
5	5	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
자신	자신	NNG	O
의	의	JKG	O
_	_	_	O
임신	임신	NNG	O
을	을	JKO	O
_	_	_	O
암시하	암시하	VV	O
는	는	ETM	O
_	_	_	O
듯한	듯하+ㄴ	VX+ETM	O
_	_	_	O
내용	내용	NNG	O
의	의	JKG	O
_	_	_	O
글	글	NNG	O
을	을	JKO	O
_	_	_	O
올	올리	VV	O
렸	었	EP	O
다가	다가	EC	O
_	_	_	O
삭제하	삭제하	VV	O
면서	면서	EC	O
_	_	_	O
급속히	급속히	MAG	O
_	_	_	O
퍼지	퍼지	VV	O
기	기	ETN	O
_	_	_	O
시작	시작하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 그는 또 내년 10월1일 이 군대를 창설, 가동할 준비가 돼있으며 또 그렇게 될 것이라고 강조했다.
## 그는 또 내년 <10월1일:DAT> 이 군대를 창설, 가동할 준비가 돼있으며 또 그렇게 될 것이라고 강조했다.
그	그	NP	O
는	는	JX	O
_	_	_	O
또	또	MAG	O
_	_	_	O
내년	내년	NNG	O
_	_	_	O
10	10	SN	B-DAT
월	월	NNB	I-DAT
1	1	SN	I-DAT
일	일	NNB	I-DAT
_	_	_	O
이	이	MM	O
_	_	_	O
군대	군대	NNG	O
를	를	JKO	O
_	_	_	O
창설	창설	NNG	O
,	,	SP	O
_	_	_	O
가동할	가동하+ㄹ	VV+ETM	O
_	_	_	O
준비	준비	NNG	O
가	가	JKC	O
_	_	_	O
돼	되+어	VV+EC	O
있	있	VX	O
으며	으며	EC	O
_	_	_	O
또	또	MAG	O
_	_	_	O
그렇	그렇	VA	O
게	게	EC	O
_	_	_	O
될	되+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
라고	라고	EC	O
_	_	_	O
강조	강조하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 클린턴 전 대통령은 또 “변화를 만드는 최고 적임자”라고 극찬했다.뉴욕타임스 칼럼니스트 모린 다우드는 클린턴 전 대통령의 연설은 유권자들에게 비호감 이미지를 지닌 부인 클린턴을 위해 발 벗고 나선 것이라고 26일 분석했다.
## <클린턴:PER> 전 대통령은 또 “변화를 만드는 최고 적임자”라고 극찬했다.<뉴욕타임스:ORG> 칼럼니스트 <모린 다우드:PER>는 <클린턴:PER> 전 대통령의 연설은 유권자들에게 비호감 이미지를 지닌 부인 <클린턴:PER>을 위해 발 벗고 나선 것이라고 <26일:DAT> 분석했다.
클린턴	클린턴	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
대통령	대통령	NNG	O
은	은	JX	O
_	_	_	O
또	또	MAG	O
_	_	_	O
“	“	SS	O
변화	변화	NNG	O
를	를	JKO	O
_	_	_	O
만드	만들	VV	O
는	는	ETM	O
_	_	_	O
최고	최고	NNG	O
_	_	_	O
적임자	적임자	NNG	O
”	”	SS	O
라고	라고	JKQ	O
_	_	_	O
극찬	극찬하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O
뉴욕타임스	뉴욕타임스	NNP	B-ORG
_	_	_	O
칼럼니스트	칼럼니스트	NNG	O
_	_	_	O
모린	모린	NNP	B-PER
_	_	_	I-PER
다우드	다우드	NNP	I-PER
는	는	JX	O
_	_	_	O
클린턴	클린턴	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
대통령	대통령	NNG	O
의	의	JKG	O
_	_	_	O
연설	연설	NNG	O
은	은	JX	O
_	_	_	O
유권자	유권자	NNG	O
들	들	XSN	O
에게	에게	JKB	O
_	_	_	O
비	비	XPN	O
호감	호감	NNG	O
_	_	_	O
이미지	이미지	NNG	O
를	를	JKO	O
_	_	_	O
지닌	지니+ㄴ	VV+ETM	O
_	_	_	O
부인	부인	NNG	O
_	_	_	O
클린턴	클린턴	NNP	B-PER
을	을	JKO	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
발	발	NNG	O
_	_	_	O
벗	벗	VV	O
고	고	EC	O
_	_	_	O
나선	나서+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
라고	라고	EC	O
_	_	_	O
26	26	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
분석	분석하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 글=강태화·이지상 기자 thkang@joongang.co.kr사진=김성룡 기자
## 글=<강태화:PER>·<이지상:PER> 기자 <thkang@joongang.co.kr:POH>사진=<김성룡:PER> 기자
글	글	NNG	O
=	=	SW	O
강태화	강태화	NNP	B-PER
·	·	SP	O
이지상	이지상	NNP	B-PER
_	_	_	O
기자	기자	NNG	O
_	_	_	O
thkang	thkang	SL	B-POH
@	@	SW	I-POH
joongang	joongang	SL	I-POH
.	.	SF	I-POH
co	co	SL	I-POH
.	.	SF	I-POH
kr	kr	SL	I-POH
사진	사진	NNG	O
=	=	SW	O
김성룡	김성룡	NNP	B-PER
_	_	_	O
기자	기자	NNG	O

## 8
## 북측 인사는 "경비가 강하지 않고 다른 경기 때와 똑같은 것을 보면…"이라고 말했다.
## <북:ORG>측 인사는 "경비가 강하지 않고 다른 경기 때와 똑같은 것을 보면…"이라고 말했다.
북측	북측	NNG	O
_	_	_	O
인사	인사	NNG	O
는	는	JX	O
_	_	_	O
"	"	SS	O
경비	경비	NNG	O
가	가	JKS	O
_	_	_	O
강하	강하	VA	O
지	지	EC	O
_	_	_	O
않	않	VX	O
고	고	EC	O
_	_	_	O
다른	다른	MM	O
_	_	_	O
경기	경기	NNG	O
_	_	_	O
때	때	NNG	O
와	와	JKB	O
_	_	_	O
똑같	똑같	VA	O
은	은	ETM	O
_	_	_	O
것	것	NNB	O
을	을	JKO	O
_	_	_	O
보	보	VV	O
면	면	EC	O
…	…	SE	O
"	"	SS	O
이라고	이라고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 소유진, 백종원에 “여봉 보고시퍼여” 문자하자 곧바로…‘닭살 부부’ 인증소유진 백종원.둘째 출산을 앞두고 있는 소유진이 백종원과의 행복한 결혼생활을 공개했다.9일 방송된 SBS 러브FM ‘김지선 김일중의 세상을 만나자’에서는 ‘블링블링 스타 특집’ 코너를 통해 소유진과 전화 인터뷰를 진행했다.
## <소유진:PER>, <백종원:PER>에 “여봉 보고시퍼여” 문자하자 곧바로…‘닭살 부부’ 인증<소유진:PER> <백종원:PER>.둘째 출산을 앞두고 있는 <소유진:PER>이 <백종원:PER>과의 행복한 결혼생활을 공개했다.<9일:DAT> 방송된 <SBS 러브FM:POH> ‘<김지선 김일중의 세상을 만나자:POH>’에서는 ‘<블링블링 스타 특집:POH>’ 코너를 통해 <소유진:PER>과 전화 인터뷰를 진행했다.
소유진	소유진	NNP	B-PER
,	,	SP	O
_	_	_	O
백종원	백종원	NNP	B-PER
에	에	JKB	O
_	_	_	O
“	“	SS	O
여봉	여봉	NNG	O
_	_	_	O
