## 1
## 현지 경찰은 현장 감식과 부검을 의뢰하는 한편, 사고당시 A씨와 함께 술을 마신 한국인 2명을 상대로 조사에 나섰다.
## 현지 경찰은 현장 감식과 부검을 의뢰하는 한편, 사고당시 <A:PER>씨와 함께 술을 마신 한국인 <2명:NOH>을 상대로 조사에 나섰다.
현지	현지	NNG	O
_	_	_	O
경찰	경찰	NNG	O
은	은	JX	O
_	_	_	O
현장	현장	NNG	O
_	_	_	O
감식	감식	NNG	O
과	과	XSN	O
_	_	_	O
부검	부검	NNG	O
을	을	JKO	O
_	_	_	O
의뢰하	의뢰하	VV	O
는	는	ETM	O
_	_	_	O
한편	한편	NNG	O
,	,	SP	O
_	_	_	O
사고	사고	NNG	O
당시	당시	NNG	O
_	_	_	O
A	A	SL	B-PER
씨	씨	NNB	O
와	와	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
술	술	NNG	O
을	을	JKO	O
_	_	_	O
마신	마시+ㄴ	VV+ETM	O
_	_	_	O
한국인	한국인	NNG	O
_	_	_	O
2	2	SN	B-NOH
명	명	NNB	I-NOH
을	을	JKO	O
_	_	_	O
상대	상대	NNG	O
로	로	JKB	O
_	_	_	O
조사	조사	NNG	O
에	에	JKB	O
_	_	_	O
나섰	나서+었	VV+EP	O
다	다	EF	O
.	.	SF	O

## 2
## 최고의 내한 스타는 한국 팬들에게 남긴 자필 편지 마지막에 삐뚤빼뚤한 한글로 서명을 해준 ‘톰 형님’(‘미션 임파서블’의 톰 크루즈)일 듯. ▽베스트 코스튬 상=‘매너가 사람을 만든다’며 양복점에 본부를 차린 ‘킹스맨’에서 이미 눈치 챘다.
## 최고의 내한 스타는 <한국:LOC> 팬들에게 남긴 자필 편지 마지막에 삐뚤빼뚤한 한글로 서명을 해준 ‘<톰 형님:PER>’(‘<미션 임파서블:POH>’의 <톰 크루즈:PER>)일 듯. ▽베스트 코스튬 상=‘매너가 사람을 만든다’며 양복점에 본부를 차린 ‘<킹스맨:POH>’에서 이미 눈치 챘다.
최고	최고	NNG	O
의	의	JKG	O
_	_	_	O
내한	내한	NNG	O
_	_	_	O
스타	스타	NNG	O
는	는	JX	O
_	_	_	O
한국	한국	NNP	B-LOC
_	_	_	O
팬	팬	NNG	O
들	들	XSN	O
에게	에게	JKB	O
_	_	_	O
남긴	남기+ㄴ	VV+ETM	O
_	_	_	O
자필	자필	NNG	O
_	_	_	O
편지	편지	NNG	O
_	_	_	O
마지막	마지막	NNG	O
에	에	JKB	O
_	_	_	O
삐뚤빼뚤한	삐뚤빼뚤하+ㄴ	VA+ETM	O
_	_	_	O
한글	한글	NNG	O
로	로	JKB	O
_	_	_	O
서명	서명	NNG	O
을	을	JKO	O
_	_	_	O
해	하+여	VV+EC	O
준	주+ㄴ	VX+ETM	O
_	_	_	O
‘	‘	SS	O
톰	톰	NNP	B-PER
_	_	_	I-PER
형님	형님	NNG	I-PER
’	’	SS	O
(	(	SS	O
‘	‘	SS	O
미션	미션	NNG	B-POH
_	_	_	I-POH
임파서블	임파서블	NNG	I-POH
’	’	SS	O
의	의	JKG	O
_	_	_	O
톰	톰	NNP	B-PER
_	_	_	I-PER
크루즈	크루즈	NNP	I-PER
)	)	SS	O
일	이+ㄹ	VCP+ETM	O
_	_	_	O
듯	듯	NNB	O
.	.	SF	O
_	_	_	O
▽	▽	SW	O
베스트	베스트	NNG	O
_	_	_	O
코스튬	코스튬	NNG	O
_	_	_	O
상	상	NNG	O
=	=	SW	O
‘	‘	SS	O
매너	매너	NNG	O
가	가	JKS	O
_	_	_	O
사람	사람	NNG	O
을	을	JKO	O
_	_	_	O
만든다	만들+ㄴ다	VV+EF	O
’	’	SS	O
며	며	EC	O
_	_	_	O
양복점	양복점	NNG	O
에	에	JKB	O
_	_	_	O
본부	본부	NNG	O
를	를	JKO	O
_	_	_	O
차린	차리+ㄴ	VV+ETM	O
_	_	_	O
‘	‘	SS	O
킹스맨	킹스맨	NNP	B-POH
’	’	SS	O
에서	에서	JKB	O
_	_	_	O
이미	이미	MAG	O
_	_	_	O
눈치	눈치	NNG	O
_	_	_	O
챘	채+었	VV+EP	O
다	다	EF	O
.	.	SF	O

## 3
## 웹캠이 켜져 피해자가 됐다는 한 여성의 증언이 나왔다.
## 웹캠이 켜져 피해자가 됐다는 <한 여성:NOH>의 증언이 나왔다.
웹캠	웹캠	NNG	O
이	이	JKS	O
_	_	_	O
켜	켜+어	VV+EC	O
져	지+어	VX+EC	O
_	_	_	O
피해자	피해자	NNG	O
가	가	JKC	O
_	_	_	O
됐	+었	+EP	O
다는	다는	ETM	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
여성	여성	NNG	I-NOH
의	의	JKG	O
_	_	_	O
증언	증언	NNG	O
이	이	JKS	O
_	_	_	O
나	나오	VV	O
