## 1
## 휴먼다큐 안현수 우나리, "선배가 금메달 필요하다고" 승부조작 내막이?
## <휴먼다큐:POH> <안현수:PER> <우나리:PER>, "선배가 금메달 필요하다고" 승부조작 내막이?
휴먼	휴먼	NNG	B-POH
다큐	다큐	NNG	I-POH
_	_	_	O
안현수	안현수	NNP	B-PER
_	_	_	O
우	우	NNG	B-PER
나리	나리	NNG	I-PER
,	,	SP	O
_	_	_	O
"	"	SS	O
선배	선배	NNG	O
가	가	JKS	O
_	_	_	O
금메달	금메달	NNG	O
_	_	_	O
필요하	필요하	VA	O
다고	다고	EF	O
"	"	SS	O
_	_	_	O
승부	승부	NNG	O
조작	조작	NNG	O
_	_	_	O
내막	내막	NNG	O
이	이	JKS	O
?	?	SF	O

## 2
## 1인 광고 제작자의 등장은 그런 점에서 혁신이죠.그래도 UHD(Ultra-HD) 화질 가상현실(VR) 광고나 360도 광고, PC, 태블릿, 휴대전화 등 디바이스별로 최적화된 첨단 광고는 대형 광고회사만 만들 수 있는 영역으로 여겨졌는데요, 이 공식도 무너지고 있습니다.
## <1인:NOH> 광고 제작자의 등장은 그런 점에서 혁신이죠.그래도 UHD(Ultra-HD) 화질 가상현실(VR) 광고나 <360도:NOH> 광고, PC, 태블릿, 휴대전화 등 디바이스별로 최적화된 첨단 광고는 대형 광고회사만 만들 수 있는 영역으로 여겨졌는데요, 이 공식도 무너지고 있습니다.
1	1	SN	B-NOH
인	인	NNG	I-NOH
_	_	_	O
광고	광고	NNG	O
_	_	_	O
제작자	제작자	NNG	O
의	의	JKG	O
_	_	_	O
등장	등장	NNG	O
은	은	JX	O
_	_	_	O
그런	그런	MM	O
_	_	_	O
점	점	NNG	O
에서	에서	JKB	O
_	_	_	O
혁신	혁신	NNG	O
이	이	VCP	O
죠	죠	EF	O
.	.	SF	O
그래도	그리하+여도	VV+EC	O
_	_	_	O
UHD	UHD	SL	O
(	(	SS	O
Ultra	Ultra	SL	O
-	-	SO	O
HD	HD	SL	O
)	)	SS	O
_	_	_	O
화질	화질	NNG	O
_	_	_	O
가상현실	가상현실	NNG	O
(	(	SS	O
VR	VR	SL	O
)	)	SS	O
_	_	_	O
광고	광고	NNG	O
나	나	JC	O
_	_	_	O
360	360	SN	B-NOH
도	도	NNB	I-NOH
_	_	_	O
광고	광고	NNG	O
,	,	SP	O
_	_	_	O
PC	PC	SL	O
,	,	SP	O
_	_	_	O
태블릿	태블릿	NNG	O
,	,	SP	O
_	_	_	O
휴대	휴대	NNG	O
전화	전화	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
디바이스	디바이스	NNG	O
별	별	XSN	O
로	로	JKB	O
_	_	_	O
최적화된	최적화되+ㄴ	VV+ETM	O
_	_	_	O
첨단	첨단	NNG	O
