## 1
## 시즌 타율은 0.269에서 0.259 (27타수 7안타)로 약간 떨어졌다.
## 시즌 타율은 <0.269:PNT>에서 <0.259:PNT> (<27타수:NOH> <7안타:NOH>)로 약간 떨어졌다.
시즌	시즌	NNG	O
_	_	_	O
타율	타율	NNG	O
은	은	JX	O
_	_	_	O
0.269	0.269	SN	B-PNT
에서	에서	JKB	O
_	_	_	O
0.259	0.259	SN	B-PNT
_	_	_	O
(	(	SS	O
27	27	SN	B-NOH
타수	타수	NNG	I-NOH
_	_	_	O
7	7	SN	B-NOH
안타	안타	NNG	I-NOH
)	)	SS	O
로	로	JKB	O
_	_	_	O
약간	약간	MAG	O
_	_	_	O
떨어	떨어지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 그간 박 전 대통령은 자신이 직접 돈을 수수한 적이 없다고 주장해왔다.
## 그간 <박:PER> 전 대통령은 자신이 직접 돈을 수수한 적이 없다고 주장해왔다.
그간	그간	NNG	O
_	_	_	O
박	박	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
대통령	대통령	NNG	O
은	은	JX	O
_	_	_	O
자신	자신	NNG	O
이	이	JKS	O
_	_	_	O
직접	직접	MAG	O
_	_	_	O
돈	돈	NNG	O
을	을	JKO	O
_	_	_	O
수수한	수수하+ㄴ	VA+ETM	O
_	_	_	O
적	적	NNB	O
이	이	JKS	O
_	_	_	O
없	없	VA	O
다고	다고	EC	O
_	_	_	O
주장해	주장하+여+오	VV+EC+VX	O
왔	았	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 그러나 체력테스트를 부각하고 싶지 않은 데에는 김 감독 특유의 ‘배려’가 담겨져 있다.
## 그러나 체력테스트를 부각하고 싶지 않은 데에는 <김:PER> 감독 특유의 ‘배려’가 담겨져 있다.
그러나	그러나	MAJ	O
_	_	_	O
체력	체력	NNG	O
테스트	테스트	NNG	O
를	를	JKO	O
_	_	_	O
부각하	부각하	VV	O
고	고	EC	O
_	_	_	O
싶	싶	VX	O
지	지	EC	O
_	_	_	O
않	않	VX	O
은	은	ETM	O
_	_	_	O
데	데	NNB	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
김	김	NNP	B-PER
_	_	_	O
감독	감독	NNG	O
_	_	_	O
특유	특유	NNG	O
의	의	JKG	O
_	_	_	O
‘	‘	SS	O
배려	배려	NNG	O
’	’	SS	O
가	가	JKS	O
_	_	_	O
담겨	담기+어	VV+EC	O
져	지+어	VX+EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 4
## 이에 "과연 김기춘"이라는 반응이 쏟아졌다.
## 이에 "과연 <김기춘:PER>"이라는 반응이 쏟아졌다.
이	이	NP	O
에	에	JKB	O
_	_	_	O
"	"	SS	O
과연	과연	MAG	O
_	_	_	O
김기춘	김기춘	NNP	B-PER
"	"	SS	O
이	이	VCP	O
라는	라는	ETM	O
_	_	_	O
반응	반응	NNG	O
이	이	JKS	O
_	_	_	O
쏟아	쏟아지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 다만, 협회는 "한국에서도 다른 선진국처럼 제대로 된 타투 문화가 정착되려면 문신 시술자들에 대한 보건당국의 위생교육 의무화와 정기적인 관리감독이 필요하다"는 점을 강조했다.
## 다만, 협회는 "<한국:ORG>에서도 다른 선진국처럼 제대로 된 타투 문화가 정착되려면 문신 시술자들에 대한 보건당국의 위생교육 의무화와 정기적인 관리감독이 필요하다"는 점을 강조했다.
다만	다만	MAG	O
,	,	SP	O
_	_	_	O
협회	협회	NNG	O
는	는	JX	O
_	_	_	O
"	"	SS	O
한국	한국	NNP	B-ORG
에서	에서	JKB	O
도	도	JX	O
_	_	_	O
다른	다른	MM	O
_	_	_	O
선진국	선진국	NNG	O
처럼	처럼	JKB	O
_	_	_	O
제대로	제대로	MAG	O
_	_	_	O
된	되+ㄴ	VV+ETM	O
_	_	_	O
타투	타투	NNP	O
_	_	_	O
문화	문화	NNG	O
가	가	JKS	O
_	_	_	O
정착되	정착되	VV	O
려면	려면	EC	O
_	_	_	O
문신	문신	NNG	O
_	_	_	O
시술자	시술자	NNG	O
들	들	XSN	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
보건	보건	NNG	O
당국	당국	NNG	O
의	의	JKG	O
_	_	_	O
위생	위생	NNG	O
교육	교육	NNG	O
_	_	_	O
의무화	의무화	NNG	O
와	와	JC	O
_	_	_	O
정기적	정기적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
관리	관리	NNG	O
감독	감독	NNG	O
이	이	JKS	O
_	_	_	O
필요하	필요하	VA	O
다	다	EF	O
"	"	SS	O
는	는	JX	O
_	_	_	O
점	점	NNG	O
을	을	JKO	O
_	_	_	O
강조	강조하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 김 대표 측은 우선추천지역에 대구·경북이나 서울 강남 지역은 배제해야 한다는 입장이지만 친박계는 두 지역도 가능하다고 주장한다.
## <김:PER> 대표 측은 우선추천지역에 <대구:LOC>·<경북:LOC>이나 <서울 강남:LOC> 지역은 배제해야 한다는 입장이지만 친박계는 두 지역도 가능하다고 주장한다.
김	김	NNP	B-PER
_	_	_	O
대표	대표	NNG	O
_	_	_	O
측	측	NNB	O
은	은	JX	O
_	_	_	O
우선	우선	NNG	O
추천	추천	NNG	O
지역	지역	NNG	O
에	에	JKB	O
_	_	_	O
대구	대구	NNP	B-LOC
·	·	SP	O
경북	경북	NNP	B-LOC
이나	이나	JC	O
_	_	_	O
서울	서울	NNP	B-LOC
_	_	_	I-LOC
강남	강남	NNP	I-LOC
_	_	_	O
지역	지역	NNG	O
은	은	JX	O
_	_	_	O
배제해야	배제하+여야	VV+EC	O
_	_	_	O
한다는	하+ㄴ다는	VX+ETM	O
_	_	_	O
입장	입장	NNG	O
이	이	VCP	O
지만	지만	EC	O
_	_	_	O
친	친	XPN	O
박	박	NNP	O
계	계	XSN	O
는	는	JX	O
_	_	_	O
두	두	MM	O
_	_	_	O
지역	지역	NNG	O
도	도	JX	O
_	_	_	O
가능하	가능하	VA	O
다고	다고	EC	O
_	_	_	O
주장한다	주장하+ㄴ다	VV+EF	O
.	.	SF	O

## 7
## 서승욱 기자 sswook@joongang.co.kr◆관련기사[정치 Who & Why] 상향식 공천 집착 김무성 사심? 진심? 친박 두둔 원유철 ‘무대’와 멀어지나
## <서승욱:PER> 기자 <sswook@joongang.co.kr:POH>◆관련기사[정치 Who & Why] 상향식 공천 집착 <김무성:PER> 사심? 진심? 친박 두둔 <원유철:PER> ‘무대’와 멀어지나
서승욱	서승욱	NNP	B-PER
_	_	_	O
기자	기자	NNG	O
_	_	_	O
sswook	sswook	SL	B-POH
@	@	SW	I-POH
joongang	joongang	SL	I-POH
.	.	SF	I-POH
co	co	SL	I-POH
.	.	SF	I-POH
kr	kr	SL	I-POH
◆	◆	SW	O
관련	관련	NNG	O
기사	기사	NNG	O
[	[	SS	O
정치	정치	NNG	O
_	_	_	O
Who	Who	SL	O
_	_	_	O
&	&	SW	O
_	_	_	O
Why	Why	SL	O
]	]	SS	O
_	_	_	O
상향	상향	NNG	O
식	식	XSN	O
_	_	_	O
공천	공천	NNG	O
_	_	_	O
집착	집착	NNG	O
_	_	_	O
김무성	김무성	NNP	B-PER
_	_	_	O
사심	사심	NNG	O
?	?	SF	O
_	_	_	O
진심	진심	NNG	O
?	?	SF	O
_	_	_	O
친	친	XPN	O
박	박	NNP	O
_	_	_	O
두둔	두둔	NNG	O
_	_	_	O
원유철	원유철	NNP	B-PER
_	_	_	O
‘	‘	SS	O
무대	무대	NNG	O
’	’	SS	O
와	와	JKB	O
_	_	_	O
멀	멀	VA	O
어	어	EC	O
지	지	VX	O
나	나	EF	O

## 8
## 경추(목)에는 다양한 부위에 통증이 유발되는데 4~5번 디스크에 문제가 생기면 어깨와 삼각근 부위에, 경추 5~6번 디스크는 팔에 바깥쪽과 엄지와 검지에, 6~7번 디스크가 돌출한 경우엔 팔 뒤쪽과 가운데 세 개 손가락에 통증이 나타나게 된다.
## 경추(목)에는 다양한 부위에 통증이 유발되는데 <4:NOH>~<5번:NOH> 디스크에 문제가 생기면 어깨와 삼각근 부위에, 경추 <5:NOH>~<6번:NOH> 디스크는 팔에 바깥쪽과 엄지와 검지에, <6:NOH>~<7번:NOH> 디스크가 돌출한 경우엔 팔 뒤쪽과 가운데 세 개 손가락에 통증이 나타나게 된다.
경추	경추	NNG	O
(	(	SS	O
목	목	NNG	O
)	)	SS	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
다양한	다양하+ㄴ	VA+ETM	O
_	_	_	O
부위	부위	NNG	O
에	에	JKB	O
_	_	_	O
통증	통증	NNG	O
이	이	JKS	O
_	_	_	O
유발되	유발되	VV	O
는데	는데	EC	O
_	_	_	O
4	4	SN	B-NOH
~	~	SO	O
