## 1
## 바비킴 입국, 만취 상태 기내 난동…‘한 달여 만에 입 연다’
## <바비킴:PER> 입국, 만취 상태 기내 난동…‘<한 달:NOH>여 만에 입 연다’
바비	바비	NNP	B-PER
킴	킴	NNP	I-PER
_	_	_	O
입국	입국	NNG	O
,	,	SP	O
_	_	_	O
만취	만취	NNG	O
_	_	_	O
상태	상태	NNG	O
_	_	_	O
기내	기내	NNG	O
_	_	_	O
난동	난동	NNG	O
…	…	SE	O
‘	‘	SS	O
한	한	MM	B-NOH
_	_	_	I-NOH
달	달	NNB	I-NOH
여	여	XSN	O
_	_	_	O
만	만	NNB	O
에	에	JKB	O
_	_	_	O
입	입	NNG	O
_	_	_	O
연다	열+ㄴ다	VV+EF	O
’	’	SS	O

## 2
## 군은 이날 오후 4시경 북한의 포 공격이 있었던 부대에 먼저 ‘진돗개 하나’를 발령한 뒤 오후 5시 40분경 전 군으로 확대했다.
## 군은 이날 <오후 4시:TIM>경 <북한:ORG>의 포 공격이 있었던 부대에 먼저 ‘<진돗개 하나:POH>’를 발령한 뒤 <오후 5시 40분:TIM>경 전 군으로 확대했다.
군	군	NNG	O
은	은	JX	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
오후	오후	NNG	B-TIM
_	_	_	I-TIM
4	4	SN	I-TIM
시	시	NNB	I-TIM
경	경	XSN	O
_	_	_	O
북한	북한	NNP	B-ORG
의	의	JKG	O
_	_	_	O
포	포	NNG	O
_	_	_	O
공격	공격	NNG	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
었	었	EP	O
던	던	ETM	O
_	_	_	O
부대	부대	NNG	O
에	에	JKB	O
_	_	_	O
먼저	먼저	MAG	O
_	_	_	O
‘	‘	SS	O
진돗개	진돗개	NNG	B-POH
_	_	_	I-POH
하나	하나	NNP	I-POH
’	’	SS	O
를	를	JKO	O
_	_	_	O
발령한	발령하+ㄴ	VV+ETM	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
오후	오후	NNG	B-TIM
_	_	_	I-TIM
5	5	SN	I-TIM
시	시	NNB	I-TIM
_	_	_	I-TIM
40	40	SN	I-TIM
분	분	NNB	I-TIM
경	경	XSN	O
_	_	_	O
전	전	MM	O
_	_	_	O
군	군	NNG	O
으로	으로	JKB	O
_	_	_	O
확대	확대하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 재편되는 세계질서 속에서 남북한의 통일은 불가피한 것이고 어떤 과정을 거치든 평화적 방법을 통할 수밖에 없다.
## 재편되는 세계질서 속에서 <남북한:ORG>의 통일은 불가피한 것이고 어떤 과정을 거치든 평화적 방법을 통할 수밖에 없다.
재편되	재편되	VV	O
는	는	ETM	O
_	_	_	O
세계	세계	NNG	O
질서	질서	NNG	O
_	_	_	O
속	속	NNG	O
에서	에서	JKB	O
_	_	_	O
남	남	NNG	B-ORG
북한	북한	NNP	I-ORG
의	의	JKG	O
_	_	_	O
통일	통일	NNG	O
은	은	JX	O
_	_	_	O
불가피한	불가피하+ㄴ	VA+ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
고	고	EC	O
_	_	_	O
어떤	어떤	MM	O
_	_	_	O
과정	과정	NNG	O
을	을	JKO	O
_	_	_	O
거치	거치	VV	O
든	든	EC	O
_	_	_	O
평화적	평화적	NNG	O
_	_	_	O
방법	방법	NNG	O
을	을	JKO	O
_	_	_	O
통할	통하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
밖에	밖에	JX	O
_	_	_	O
없	없	VA	O
다	다	EF	O
.	.	SF	O

## 4
## 그래서 12월에 결산하는 기업은 3월에 정기주총을 열지요.
## 그래서 <12월:DAT>에 결산하는 기업은 <3월:DAT>에 정기주총을 열지요.
그래서	그래서	MAJ	O
_	_	_	O
12	12	SN	B-DAT
월	월	NNB	I-DAT
에	에	JKB	O
_	_	_	O
결산하	결산하	VV	O
는	는	ETM	O
_	_	_	O
기업	기업	NNG	O
은	은	JX	O
_	_	_	O
3	3	SN	B-DAT
월	월	NNB	I-DAT
에	에	JKB	O
_	_	_	O
정기	정기	NNG	O
주총	주총	NNG	O
을	을	JKO	O
_	_	_	O
열	열	VV	O
지요	지요	EF	O
.	.	SF	O

## 5
## 미국 프로야구에서 활동하고 있는 강정호(피츠버그 파이리츠)와 추신수(텍사스 레인저스), 박병호(미네소타 트윈스)가 메이저리그 올스타 투표 후보에 이름을 올렸다.
## <미국:ORG> 프로야구에서 활동하고 있는 <강정호:PER>(<피츠버그 파이리츠:ORG>)와 <추신수:PER>(<텍사스 레인저스:ORG>), <박병호:PER>(<미네소타 트윈스:ORG>)가 <메이저리그:POH> 올스타 투표 후보에 이름을 올렸다.
미국	미국	NNP	B-ORG
_	_	_	O
프로	프로	NNG	O
야구	야구	NNG	O
에서	에서	JKB	O
_	_	_	O
활동하	활동하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
강정호	강정호	NNP	B-PER
(	(	SS	O
피츠버그	피츠버그	NNP	B-ORG
_	_	_	I-ORG
파이리츠	파이리츠	NNP	I-ORG
)	)	SS	O
와	와	JKB	O
_	_	_	O
추신수	추신수	NNP	B-PER
(	(	SS	O
텍사스	텍사스	NNP	B-ORG
_	_	_	I-ORG
레인저스	레인저스	NNP	I-ORG
)	)	SS	O
,	,	SP	O
_	_	_	O
박병호	박병호	NNP	B-PER
(	(	SS	O
미네소타	미네소타	NNP	B-ORG
_	_	_	I-ORG
트윈스	트윈스	NNP	I-ORG
)	)	SS	O
가	가	JKS	O
_	_	_	O
메이저리그	메이저리그	NNG	B-POH
_	_	_	O
올스타	올스타	NNG	O
_	_	_	O
투표	투표	NNG	O
_	_	_	O
후보	후보	NNG	O
에	에	JKB	O
_	_	_	O
이름	이름	NNG	O
을	을	JKO	O
_	_	_	O
올	올리	VV	O
렸	었	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 메이저리그 공식 홈페이지 MLB닷컴은 오는 6월 13일 미국 캘리포니아주 샌디에이고의 펫코파크에서 열리는 제87회 올스타전에 출전할 선수 후보 명단을 공개했다.
## <메이저리그:POH> 공식 홈페이지 <MLB닷컴:POH>은 오는 <6월 13일:DAT> <미국 캘리포니아주 샌디에이고:LOC>의 <펫코파크:LOC>에서 열리는 <제87회:NOH> 올스타전에 출전할 선수 후보 명단을 공개했다.
메이저리그	메이저리그	NNG	B-POH
_	_	_	O
공식	공식	NNG	O
_	_	_	O
홈페이지	홈페이지	NNG	O
_	_	_	O
MLB	MLB	SL	B-POH
닷컴	닷컴	NNG	I-POH
은	은	JX	O
_	_	_	O
오	오	VV	O
는	는	ETM	O
_	_	_	O
6	6	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	I-DAT
13	13	SN	I-DAT
일	일	NNB	I-DAT
_	_	_	O
미국	미국	NNP	B-LOC
_	_	_	I-LOC
캘리포니아주	캘리포니아주	NNP	I-LOC
_	_	_	I-LOC
샌디에이고	샌디에이고	NNP	I-LOC
의	의	JKG	O
_	_	_	O
펫코파크	펫코파크	NNG	B-LOC
에서	에서	JKB	O
_	_	_	O
열리	열리	VV	O
는	는	ETM	O
_	_	_	O
제	제	XPN	B-NOH
87	87	SN	I-NOH
회	회	NNB	I-NOH
_	_	_	O
올스타	올스타	NNG	O
전	전	XSN	O
에	에	JKB	O
_	_	_	O
출전할	출전하+ㄹ	VV+ETM	O
_	_	_	O
선수	선수	NNG	O
_	_	_	O
후보	후보	NNG	O
_	_	_	O
명단	명단	NNG	O
을	을	JKO	O
_	_	_	O
공개	공개하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 강정호는 내셔널리그 3루수 올스타 후보, 추신수는 아메리칸리그 외야수 올스타 후보, 박병호는 아메리칸리그 지명타자 올스타 후보에 올랐다.
## <강정호:PER>는 <내셔널리그:POH> <3루수:NOH> 올스타 후보, <추신수:PER>는 <아메리칸리그:POH> 외야수 올스타 후보, <박병호:PER>는 <아메리칸리그:POH> 지명타자 올스타 후보에 올랐다.
강정호	강정호	NNP	B-PER
는	는	JX	O
_	_	_	O
내셔널리그	내셔널리그	NNG	B-POH
_	_	_	O
3	3	SN	B-NOH
루수	루수	NNG	I-NOH
_	_	_	O
올스타	올스타	NNG	O
_	_	_	O
후보	후보	NNG	O
,	,	SP	O
_	_	_	O
추신수	추신수	NNP	B-PER
는	는	JX	O
_	_	_	O
아메리칸	아메리칸	NNG	B-POH
리그	리그	NNG	I-POH
_	_	_	O
외야수	외야수	NNG	O
_	_	_	O
올스타	올스타	NNG	O
_	_	_	O
후보	후보	NNG	O
,	,	SP	O
_	_	_	O
박병호	박병호	NNP	B-PER
는	는	JX	O
_	_	_	O
아메리칸	아메리칸	NNG	B-POH
리그	리그	NNG	I-POH
_	_	_	O
지명	지명	NNG	O
타자	타자	NNG	O
_	_	_	O
올스타	올스타	NNG	O
_	_	_	O
후보	후보	NNG	O
에	에	JKB	O
_	_	_	O
올	오르	VV	O
랐	았	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 팀마다 포지션별로 1명까지만 후보에 오를 수 있는 올스타는 오는 7월 1일까지 MLB닷컴과 30개 구단 홈페이지 온라인 팬 투표로 선발한다.
## 팀마다 포지션별로 <1명:NOH>까지만 후보에 오를 수 있는 올스타는 오는 <7월 1일:DAT>까지 <MLB닷컴:ORG>과 <30개:NOH> 구단 홈페이지 온라인 팬 투표로 선발한다.
팀	팀	NNG	O
마다	마다	JX	O
_	_	_	O
포지션	포지션	NNG	O
별	별	XSN	O
로	로	JKB	O
_	_	_	O
1	1	SN	B-NOH
명	명	NNG	I-NOH
까지	까지	JX	O
만	만	JX	O
_	_	_	O
후보	후보	NNG	O
에	에	JKB	O
_	_	_	O
오를	오르+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
올스타	올스타	NNG	O
는	는	JX	O
_	_	_	O
오	오	VV	O
는	는	ETM	O
_	_	_	O
7	7	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	I-DAT
1	1	SN	I-DAT
일	일	NNB	I-DAT
까지	까지	JX	O
_	_	_	O
MLB	MLB	SL	B-ORG
닷컴	닷컴	NNG	I-ORG
과	과	JC	O
_	_	_	O
30	30	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
구단	구단	NNG	O
_	_	_	O
홈페이지	홈페이지	NNG	O
_	_	_	O
온라인	온라인	NNG	O
_	_	_	O
팬	팬	NNG	O
_	_	_	O
투표	투표	NNG	O
로	로	JKB	O
_	_	_	O
선발한다	선발하+ㄴ다	VV+EF	O
.	.	SF	O

## 9
## 한 예로 「별이 빛나는 밤에」에선 신세대의 행태를 비판하면서 「머리에 피도 안마른… 버릇 없는 거죠」 운운한 것, 「FM인기가요」의 경우 「니 맘대로 하세요」 「목소리가 나긋나긋 하네요」라는등 방송에 부적합한 표현들이 적지않다는 분석.
## 한 예로 「<별이 빛나는 밤에:POH>」에선 신세대의 행태를 비판하면서 「머리에 피도 안마른… 버릇 없는 거죠」 운운한 것, 「<FM인기가요:POH>」의 경우 「니 맘대로 하세요」 「목소리가 나긋나긋 하네요」라는등 방송에 부적합한 표현들이 적지않다는 분석.
한	한	MM	O
_	_	_	O
예	예	NNG	O
로	로	JKB	O
_	_	_	O
「	「	SS	O
별	별	NNG	B-POH
이	이	JKS	I-POH
_	_	_	I-POH
빛나	빛나	VV	I-POH
는	는	ETM	I-POH
_	_	_	I-POH
밤	밤	NNG	I-POH
에	에	JKB	I-POH
」	」	SS	O
에선	에서+ㄴ	JKB+JX	O
_	_	_	O
신세대	신세대	NNG	O
의	의	JKG	O
_	_	_	O
행태	행태	NNG	O
를	를	JKO	O
_	_	_	O
비판하	비판하	VV	O
면서	면서	EC	O
_	_	_	O
「	「	SS	O
머리	머리	NNG	O
에	에	JKB	O
_	_	_	O
피	피	NNG	O
도	도	JX	O
_	_	_	O
안	안	NNP	O
마른	마르+ㄴ	VV+ETM	O
…	…	SE	O
_	_	_	O
버릇	버릇	NNG	O
