## 1
## 무릎·고관절센터, 어깨·팔·손목센터, 족부센터 등으로 세분화된 관절센터를 총괄하는 이대영 원장은 전문 분야인 관절내시경과 인공관절 수술에 역량을 쏟고 있다.
## 무릎·고관절센터, 어깨·팔·손목센터, 족부센터 등으로 세분화된 관절센터를 총괄하는 <이대영:PER> 원장은 전문 분야인 관절내시경과 인공관절 수술에 역량을 쏟고 있다.
무릎	무릎	NNG	O
·	·	SP	O
고	고	NNP	O
관절	관절	NNG	O
센터	센터	NNG	O
,	,	SP	O
_	_	_	O
어깨	어깨	NNG	O
·	·	SP	O
팔	팔	NNP	O
·	·	SP	O
손목	손목	NNG	O
센터	센터	NNG	O
,	,	SP	O
_	_	_	O
족부	족부	NNG	O
센터	센터	NNG	O
_	_	_	O
등	등	NNB	O
으로	으로	JKB	O
_	_	_	O
세분화된	세분화되+ㄴ	VV+ETM	O
_	_	_	O
관절	관절	NNG	O
센터	센터	NNG	O
를	를	JKO	O
_	_	_	O
총괄하	총괄하	VV	O
는	는	ETM	O
_	_	_	O
이대영	이대영	NNP	B-PER
_	_	_	O
원장	원장	NNG	O
은	은	JX	O
_	_	_	O
전문	전문	NNG	O
_	_	_	O
분야	분야	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
관절	관절	NNG	O
내시경	내시경	NNG	O
과	과	JC	O
_	_	_	O
인공관절	인공관절	NNG	O
_	_	_	O
수술	수술	NNG	O
에	에	JKB	O
_	_	_	O
역량	역량	NNG	O
을	을	JKO	O
_	_	_	O
쏟	쏟	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 2
## 하지만 인사를 했는데 거의 쳐다보지도 않았다”고 말해 성유리를 민망하게 만들었다.
## 하지만 인사를 했는데 거의 쳐다보지도 않았다”고 말해 <성유리:PER>를 민망하게 만들었다.
하지만	하지만	MAJ	O
_	_	_	O
인사	인사	NNG	O
를	를	JKO	O
_	_	_	O
했	+였	+EP	O
는데	는데	EC	O
_	_	_	O
