## 1
## 대원들은 매주 1~2차례 무거운 배낭을 메고 구미 금오산을 뛰어서 오르는 훈련을 하고 있다.
## 대원들은 매주 <1:NOH>~<2차례:NOH> 무거운 배낭을 메고 <구미:LOC> <금오산:LOC>을 뛰어서 오르는 훈련을 하고 있다.
대원	대원	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
매주	매주	MAG	O
_	_	_	O
1	1	SN	B-NOH
~	~	SO	O
2	2	SN	B-NOH
차례	차례	NNG	I-NOH
_	_	_	O
무거	무겁	VA	O
운	ㄴ	ETM	O
_	_	_	O
배낭	배낭	NNG	O
을	을	JKO	O
_	_	_	O
메	메	VV	O
고	고	EC	O
_	_	_	O
구미	구미	NNP	B-LOC
_	_	_	O
금오산	금오산	NNP	B-LOC
을	을	JKO	O
_	_	_	O
뛰	뛰	VV	O
어서	어서	EC	O
_	_	_	O
오르	오르	VV	O
는	는	ETM	O
_	_	_	O
훈련	훈련	NNG	O
을	을	JKO	O
_	_	_	O
하	하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 2
## ‘푸르던’ 아이유, 연습생 시절 펑펑 운 사연...선배가 뭐라고 했길래?가수 아이유가 네 번째 미니앨범 ‘챗셔(CHAT-SHIRE)’의 수록곡 ‘푸르던’ 첫 번째 티저 영상을 공개한 가운데, 아이유의 과거 발언이 재조명받았다.
## ‘<푸르던:POH>’ <아이유:PER>, 연습생 시절 펑펑 운 사연...선배가 뭐라고 했길래?가수 <아이유:PER>가 네 번째 미니앨범 ‘<챗셔:POH>(<CHAT-SHIRE:POH>)’의 수록곡 ‘<푸르던:POH>’ 첫 번째 티저 영상을 공개한 가운데, <아이유:PER>의 과거 발언이 재조명받았다.
‘	‘	SS	O
푸르	푸르	VA	B-POH
던	던	ETM	I-POH
’	’	SS	O
_	_	_	O
아이유	아이유	NNP	B-PER
,	,	SP	O
_	_	_	O
연습	연습	NNG	O
생	생	XSN	O
_	_	_	O
시절	시절	NNG	O
_	_	_	O
펑펑	펑펑	MAG	O
_	_	_	O
운	울+ㄴ	VV+ETM	O
_	_	_	O
사연	사연	NNG	O
.	.	SF	O
.	.	SF	O
.	.	SF	O
선배	선배	NNG	O
가	가	JKS	O
_	_	_	O
뭐	뭐+이	NP+VCP	O
라고	라고	EC	O
_	_	_	O
했	+였	+EP	O
길래	길래	EF	O
?	?	SF	O
가수	가수	NNG	O
_	_	_	O
아이유	아이유	NNP	B-PER
가	가	JKS	O
_	_	_	O
네	네	MM	O
_	_	_	O
