## 1
## 스페인 출신의 한 미술품 딜러가 첸 씨의 재주를 눈여겨보고 ‘위작을 그려보자’고 제안한 것. 이 딜러는 크뇌들러 갤러리에 15년간 첸 씨가 그린 위작 40여 점을 팔았다.
## <스페인:LOC> 출신의 한 미술품 딜러가 <첸:PER> 씨의 재주를 눈여겨보고 ‘위작을 그려보자’고 제안한 것. 이 딜러는 <크뇌들러 갤러리:ORG>에 <15년간:DUR> <첸:PER> 씨가 그린 위작 <40여 점:NOH>을 팔았다.
스페인	스페인	NNP	B-LOC
_	_	_	O
출신	출신	NNG	O
의	의	JKG	O
_	_	_	O
한	한	MM	O
_	_	_	O
미술품	미술품	NNG	O
_	_	_	O
딜러	딜러	NNG	O
가	가	JKS	O
_	_	_	O
첸	첸	NNP	B-PER
_	_	_	O
씨	씨	NNB	O
의	의	JKG	O
_	_	_	O
재주	재주	NNG	O
를	를	JKO	O
_	_	_	O
눈여겨보	눈여겨보	VV	O
고	고	EC	O
_	_	_	O
‘	‘	SS	O
위작	위작	NNG	O
을	을	JKO	O
_	_	_	O
그려	그리+어	VV+EC	O
보	보	VX	O
자	자	EF	O
’	’	SS	O
고	고	JKQ	O
_	_	_	O
제안한	제안하+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
.	.	SF	O
_	_	_	O
이	이	MM	O
_	_	_	O
딜러	딜러	NNG	O
는	는	JX	O
_	_	_	O
크뇌들러	크뇌들러	NNG	B-ORG
_	_	_	I-ORG
갤러리	갤러리	NNG	I-ORG
에	에	JKB	O
_	_	_	O
15	15	SN	B-DUR
년	년	NNB	I-DUR
간	간	XSN	I-DUR
_	_	_	O
첸	첸	NNP	B-PER
_	_	_	O
씨	씨	NNB	O
가	가	JKS	O
_	_	_	O
그린	그리+ㄴ	VV+ETM	O
_	_	_	O
위작	위작	NNG	O
_	_	_	O
40	40	SN	B-NOH
여	여	XSN	I-NOH
_	_	_	I-NOH
점	점	NNG	I-NOH
을	을	JKO	O
_	_	_	O
팔	팔	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 국내 양대 미술품 경매회사인 서울·K옥션의 낙찰가 총액은 2011년 532억원에서 단색화가 본격적으로 거래되기 시작한 2015년에는 1746억원으로 껑충 뛰었다.
## 국내 양대 미술품 경매회사인 <서울:ORG>·<K옥션:ORG>의 낙찰가 총액은 <2011년:DAT> <532억원:MNY>에서 단색화가 본격적으로 거래되기 시작한 <2015년:DAT>에는 <1746억원:MNY>으로 껑충 뛰었다.
국내	국내	NNG	O
_	_	_	O
양대	양대	MM	O
_	_	_	O
미술품	미술품	NNG	O
_	_	_	O
경매	경매	NNG	O
회사	회사	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
