## 1
## 자신이 진행하던 종편 프로그램에서 ‘5·18 북한군 개입설’을 방송해 논란을 빚은 장성민 전 새천년민주당 의원이 21일 “5·18 폄훼 발언은 전혀 사실무근”이라고 반박했다.
## 자신이 진행하던 종편 프로그램에서 ‘<5·18:POH> 북한군 개입설’을 방송해 논란을 빚은 <장성민:PER> 전 새천년<민주당:ORG> 의원이 <21일:DAT> “<5·18:POH> 폄훼 발언은 전혀 사실무근”이라고 반박했다.
자신	자신	NNG	O
이	이	JKS	O
_	_	_	O
진행하	진행하	VV	O
던	던	ETM	O
_	_	_	O
종편	종편	NNG	O
_	_	_	O
프로그램	프로그램	NNG	O
에서	에서	JKB	O
_	_	_	O
‘	‘	SS	O
5	5	SN	B-POH
·	·	SP	I-POH
18	18	SN	I-POH
_	_	_	O
북한	북한	NNP	O
군	군	NNG	O
_	_	_	O
개입	개입	NNG	O
설	설	XSN	O
’	’	SS	O
을	을	JKO	O
_	_	_	O
방송해	방송하+여	VV+EC	O
_	_	_	O
논란	논란	NNG	O
을	을	JKO	O
_	_	_	O
빚	빚	VV	O
은	은	ETM	O
_	_	_	O
장성민	장성민	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
새천년	새천년	NNP	O
민주당	민주당	NNP	B-ORG
_	_	_	O
의원	의원	NNG	O
이	이	JKS	O
_	_	_	O
21	21	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
“	“	SS	O
5	5	SN	B-POH
·	·	SP	I-POH
18	18	SN	I-POH
_	_	_	O
폄훼	폄훼	NNG	O
_	_	_	O
발언	발언	NNG	O
은	은	JX	O
_	_	_	O
전혀	전혀	MAG	O
_	_	_	O
사실무근	사실무근	NNG	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
반박	반박하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 딸과 사위는 A할머니의 봉양을 B씨에게 요구했다.
## 딸과 사위는 <A:PER>할머니의 봉양을 <B:PER>씨에게 요구했다.
딸	딸	NNG	O
과	과	JC	O
_	_	_	O
사위	사위	NNG	O
는	는	JX	O
_	_	_	O
A	A	SL	B-PER
할머니	할머니	NNG	O
의	의	JKG	O
_	_	_	O
봉양	봉양	NNG	O
을	을	JKO	O
_	_	_	O
B	B	SL	B-PER
씨	씨	NNB	O
에게	에게	JKB	O
_	_	_	O
요구	요구하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## ‘다 지나갈 일들’이라며. 누리꾼들의 고민을 읽다 보니 최근 방영된 MBC 무한도전 ‘나쁜 기억 지우개’ 편이 떠올랐습니다.
