## 1
## 【서울=뉴시스】
## 【<서울:LOC>=<뉴시스:ORG>】
【	【	SS	O
서울	서울	NNP	B-LOC
=	=	SW	O
뉴시스	뉴시스	NNP	B-ORG
】	】	SS	O

## 2
## 전기선이 지하에 매설됨에 따라 금성관 주위를 둘러싼 전봇대 80여 개도 철거됐다.
## 전기선이 지하에 매설됨에 따라 금성관 주위를 둘러싼 전봇대 <80여 개:NOH>도 철거됐다.
전기선	전기선	NNG	O
이	이	JKS	O
_	_	_	O
지하	지하	NNG	O
에	에	JKB	O
_	_	_	O
매설됨	매설되+ㅁ	VV+ETN	O
에	에	JKB	O
_	_	_	O
따	따르	VV	O
라	아	EC	O
_	_	_	O
금성	금성	NNG	O
관	관	XSN	O
_	_	_	O
주위	주위	NNG	O
를	를	JKO	O
_	_	_	O
둘러싼	둘러싸+ㄴ	VV+ETM	O
_	_	_	O
전봇대	전봇대	NNG	O
_	_	_	O
80	80	SN	B-NOH
여	여	XSN	I-NOH
_	_	_	I-NOH
개	개	NNB	I-NOH
도	도	JX	O
_	_	_	O
철거	철거되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 차도진은 같은 질문을 한번 더 한 뒤 “그럼 나랑 시작하자”며 키스를 했다.
## <차도진:PER>은 같은 질문을 <한번:NOH> 더 한 뒤 “그럼 나랑 시작하자”며 키스를 했다.
차도진	차도진	NNP	B-PER
은	은	JX	O
_	_	_	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
질문	질문	NNG	O
을	을	JKO	O
_	_	_	O
한	한	MM	B-NOH
번	번	NNB	I-NOH
_	_	_	O
더	더	MAG	O
_	_	_	O
한	하+ㄴ	VV+ETM	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
“	“	SS	O
그럼	그럼	MAJ	O
_	_	_	O
나	나	NP	O
랑	랑	JKB	O
_	_	_	O
시작하	시작하	VV	O
자	자	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
키스	키스	NNG	O
를	를	JKO	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 4
## 한편 ‘별이 되어 빛나리’는 1960년대를 배경으로 아버지의 죽음과 가문의 몰락 후 해방촌으로 흘러들어온 조봉희가 거친 삶을 헤쳐나가며 대한민국 최고의 패션 디자이너로 성공하는 과정을 그린 드라마로 매주 평일 오전 9시에 방송된다.
## 한편 ‘<별이 되어 빛나리:POH>’는 <1960년대:DUR>를 배경으로 아버지의 죽음과 가문의 몰락 후 해방촌으로 흘러들어온 <조봉희:PER>가 거친 삶을 헤쳐나가며 <대한민국:LOC> 최고의 패션 디자이너로 성공하는 과정을 그린 드라마로 매주 평일 <오전 9시:TIM>에 방송된다.
한편	한편	MAG	O
_	_	_	O
‘	‘	SS	O
별	별	NNG	B-POH
이	이	JKC	I-POH
_	_	_	I-POH
되	되	VV	I-POH
어	어	EC	I-POH
_	_	_	I-POH
빛나리	빛나리	NNG	I-POH
’	’	SS	O
는	는	JX	O
_	_	_	O
1960	1960	SN	B-DUR
년대	년대	NNB	I-DUR
를	를	JKO	O
_	_	_	O
배경	배경	NNG	O
으로	으로	JKB	O
_	_	_	O
아버지	아버지	NNG	O
의	의	JKG	O
_	_	_	O
죽음	죽음	NNG	O
과	과	JC	O
_	_	_	O
가문	가문	NNG	O
의	의	JKG	O
_	_	_	O
몰락	몰락	NNG	O
_	_	_	O
후	후	NNG	O
_	_	_	O
해방	해방	NNG	O
촌	촌	XSN	O
으로	으로	JKB	O
_	_	_	O
흘러들	흘러들	VV	O
어	어	EC	O
온	오+ㄴ	VV+ETM	O
_	_	_	O
조봉희	조봉희	NNP	B-PER
가	가	JKS	O
_	_	_	O
거친	거칠+ㄴ	VA+ETM	O
_	_	_	O
삶	삶	NNG	O
을	을	JKO	O
_	_	_	O
헤쳐	헤치+어	VV+EC	O
나가	나가	VX	O
며	며	EC	O
_	_	_	O
대한민국	대한민국	NNP	B-LOC
_	_	_	O
최고	최고	NNG	O
의	의	JKG	O
_	_	_	O
패션	패션	NNG	O
_	_	_	O
디자이너	디자이너	NNG	O
로	로	JKB	O
_	_	_	O
성공하	성공하	VV	O
는	는	ETM	O
