## 1
## 기존 대표선수들 중에서도 김선형(28·SK)이 한 단계 또 발전하며 팀을 이끌어가는 모습을 보여줬다.
## 기존 대표선수들 중에서도 <김선형:PER>(<28:NOH>·<SK:ORG>)이 한 단계 또 발전하며 팀을 이끌어가는 모습을 보여줬다.
기존	기존	NNG	O
_	_	_	O
대표	대표	NNG	O
선수	선수	NNG	O
들	들	XSN	O
_	_	_	O
중	중	NNB	O
에서	에서	JKB	O
도	도	JX	O
_	_	_	O
김선형	김선형	NNP	B-PER
(	(	SS	O
28	28	SN	B-NOH
·	·	SP	O
SK	SK	SL	B-ORG
)	)	SS	O
이	이	JKS	O
_	_	_	O
한	한	MM	O
_	_	_	O
단계	단계	NNG	O
_	_	_	O
또	또	MAG	O
_	_	_	O
발전하	발전하	VV	O
며	며	EC	O
_	_	_	O
팀	팀	NNG	O
을	을	JKO	O
_	_	_	O
이끌	이끌	VV	O
어	어	EC	O
가	가	VX	O
는	는	ETM	O
_	_	_	O
모습	모습	NNG	O
을	을	JKO	O
_	_	_	O
보	보이	VV	O
여	어+주	EC+VX	O
줬	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## '민화협 리퍼트' 마크 리퍼트(42) 주한 미국대사가 5일 민족화해협력범국민협의회(이하 민화협) 주최 강연을 위해 준비하는 도중 괴한의 공격을 받고 부상 당해 강북삼성병원으로 긴급 후송되는 사건이 일어났다.
## '<민화협:ORG> <리퍼트:PER>' <마크 리퍼트:PER>(<42:NOH>) 주한 미국대사가 <5일:DAT> <민족화해협력범국민협의회:ORG>(이하 <민화협:ORG>) 주최 강연을 위해 준비하는 도중 괴한의 공격을 받고 부상 당해 <강북삼성병원:ORG>으로 긴급 후송되는 사건이 일어났다.
'	'	SS	O
민화협	민화협	NNP	B-ORG
_	_	_	O
리퍼트	리퍼트	NNP	B-PER
'	'	SS	O
_	_	_	O
마크	마크	NNP	B-PER
_	_	_	I-PER
리퍼트	리퍼트	NNP	I-PER
(	(	SS	O
42	42	SN	B-NOH
)	)	SS	O
_	_	_	O
주한	주한	NNG	O
_	_	_	O
미국	미국	NNP	O
대사	대사	NNG	O
가	가	JKS	O
_	_	_	O
5	5	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
민족	민족	NNG	B-ORG
화해	화해	NNG	I-ORG
협력	협력	NNG	I-ORG
범	범	XPN	I-ORG
국민	국민	NNG	I-ORG
협의회	협의회	NNG	I-ORG
(	(	SS	O
이하	이하	NNG	O
_	_	_	O
민화협	민화협	NNP	B-ORG
)	)	SS	O
_	_	_	O
주최	주최	NNG	O
_	_	_	O
강연	강연	NNG	O
을	을	JKO	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
