## 1
## 김 소희는 "원래 체급이 46㎏이라 (올려서 경기를 하느라)외국 선수들에 비해 신장, 힘 차이가 나서 올림픽 기간 동안 웨이트트레이닝을 많이 했었다"면서 "멘탈이 약해서 부담감이 컸는데 심리 치료 등을 통해 많이 좋아졌다"고 말했다.
## 김 소희는 "원래 체급이 <46㎏:NOH>이라 (올려서 경기를 하느라)외국 선수들에 비해 신장, 힘 차이가 나서 올림픽 기간 동안 웨이트트레이닝을 많이 했었다"면서 "멘탈이 약해서 부담감이 컸는데 심리 치료 등을 통해 많이 좋아졌다"고 말했다.
김	김	NNP	O
_	_	_	O
소희	소희	NNP	O
는	는	JX	O
_	_	_	O
"	"	SS	O
원래	원래	NNG	O
_	_	_	O
체급	체급	NNG	O
이	이	JKS	O
_	_	_	O
46	46	SN	B-NOH
㎏	㎏	SW	I-NOH
이라	이라	JKQ	O
_	_	_	O
(	(	SS	O
올려서	올리+어서	VV+EC	O
_	_	_	O
경기	경기	NNG	O
를	를	JKO	O
_	_	_	O
하	하	VV	O
느라	느라	EF	O
)	)	SS	O
외국	외국	NNG	O
_	_	_	O
선수	선수	NNG	O
들	들	XSN	O
에	에	JKB	O
_	_	_	O
비해	비하+여	VV+EC	O
_	_	_	O
신장	신장	NNG	O
,	,	SP	O
_	_	_	O
힘	힘	NNG	O
_	_	_	O
차이	차이	NNG	O
가	가	JKS	O
_	_	_	O
나서	나+아서	VV+EC	O
_	_	_	O
올림픽	올림픽	NNG	O
_	_	_	O
기간	기간	NNG	O
_	_	_	O
동안	동안	NNG	O
_	_	_	O
웨이트	웨이트	NNG	O
트레이닝	트레이닝	NNG	O
을	을	JKO	O
_	_	_	O
많이	많이	MAG	O
_	_	_	O
했었	+였었	+EP	O
다	다	EF	O
"	"	SS	O
면서	면서	EC	O
_	_	_	O
"	"	SS	O
멘탈	멘탈	NNG	O
이	이	JKS	O
_	_	_	O
약해서	약하+여서	VA+EC	O
_	_	_	O
부담감	부담감	NNG	O
이	이	JKS	O
_	_	_	O
컸	+었	+EP	O
는데	는데	EC	O
_	_	_	O
심리	심리	NNG	O
_	_	_	O
치료	치료	NNG	O
_	_	_	O
등	등	NNB	O
을	을	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
많이	많이	MAG	O
_	_	_	O
좋	좋	VA	O
아	아	EC	O
졌	지+었	VX+EP	O
다	다	EF	O
"	"	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 서초구(0.25%), 송파구(0.08%) 등도 오름 폭이 둔화됐다.
## <서초구:LOC>(<0.25%:PNT>), <송파구:LOC>(<0.08%:PNT>) 등도 오름 폭이 둔화됐다.
서초구	서초구	NNP	B-LOC
(	(	SS	O
0.25	0.25	SN	B-PNT
%	%	SW	I-PNT
)	)	SS	O
,	,	SP	O
_	_	_	O
송파구	송파구	NNP	B-LOC
(	(	SS	O
0.08	0.08	SN	B-PNT
%	%	SW	I-PNT
)	)	SS	O
_	_	_	O
등	등	NNB	O
도	도	JX	O
_	_	_	O
오름	오르+ㅁ	VV+ETN	O
_	_	_	O
폭	폭	NNG	O
이	이	JKS	O
_	_	_	O
둔화	둔화되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 김재영 redfoot@donga.com / 세종=손영일 기자
## <김재영:PER> <redfoot@donga.com:POH> / <세종:LOC>=<손영일:PER> 기자
김재영	김재영	NNP	B-PER
_	_	_	O
redfoot	redfoot	SL	B-POH
@	@	SW	I-POH
donga	donga	SL	I-POH
.	.	SF	I-POH
com	com	SL	I-POH
_	_	_	O
/	/	SP	O
_	_	_	O
세종	세종	NNP	B-LOC
=	=	SW	O
손영일	손영일	NNP	B-PER
_	_	_	O
기자	기자	NNG	O

## 4
## 이닝당 최소실점마저 같으면 최소 평균자책점, 최고 타율 순으로 1위 팀을 정한다.
## 이닝당 최소실점마저 같으면 최소 평균자책점, 최고 타율 순으로 <1위:NOH> 팀을 정한다.
이닝	이닝	NNG	O
당	당	XSN	O
_	_	_	O
최소	최소	NNG	O
실점	실점	NNG	O
마저	마저	JX	O
_	_	_	O
같	같	VA	O
으면	으면	EC	O
_	_	_	O
최소	최소	NNG	O
_	_	_	O
평균	평균	NNG	O
자책점	자책점	NNG	O
,	,	SP	O
_	_	_	O
최고	최고	NNG	O
_	_	_	O
타율	타율	NNG	O
_	_	_	O
순	순	NNG	O
으로	으로	JKB	O
_	_	_	O
1	1	SN	B-NOH
위	위	NNB	I-NOH
_	_	_	O
팀	팀	NNG	O
을	을	JKO	O
_	_	_	O
정한다	정하+ㄴ다	VV+EF	O
.	.	SF	O

## 5
## 지상에는 공원 등 녹지공간을 8만 m² 이상 조성한다.
## 지상에는 공원 등 녹지공간을 <8만 m²:NOH> 이상 조성한다.
지상	지상	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
공원	공원	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
녹지	녹지	NNG	O
공간	공간	NNG	O
을	을	JKO	O
_	_	_	O
8	8	SN	B-NOH
만	만	NR	I-NOH
_	_	_	I-NOH
m	m	SL	I-NOH
²	²	SW	I-NOH
_	_	_	O
이상	이상	NNG	O
_	_	_	O
조성한다	조성하+ㄴ다	VV+EF	O
.	.	SF	O

## 6
## 젊은층에게 인기가 높은 ‘비욘드 클로젯’의 고태용 디자이너를 비롯해 유럽에서 주로 활동하는 ‘허환 시뮬레이션’의 허환, 세계 4대 패션 컬렉션 중 하나인 뉴욕 컬렉션에 진출한 ‘제너럴 아이디어’의 최범석, ‘그리디어스’의 박윤희, ‘반달리스트’의 양희민, ‘더 스튜디오 케이’의 홍혜진, ‘오아이오아이’의 정예슬, ‘하상백’의 하상백, ‘딤에크레스’의 김홍범, ‘라이’의 이청청 디자이너가 패션쇼를 선보인다.
## 젊은층에게 인기가 높은 ‘<비욘드 클로젯:POH>’의 <고태용:PER> 디자이너를 비롯해 <유럽:LOC>에서 주로 활동하는 ‘<허환 시뮬레이션:POH>’의 <허환:PER>, 세계 <4대:NOH> 패션 컬렉션 중 <하나:NOH>인 <뉴욕:LOC> 컬렉션에 진출한 ‘<제너럴 아이디어:POH>’의 <최범석:PER>, ‘<그리디어스:POH>’의 <박윤희:PER>, ‘<반달리스트:POH>’의 <양희민:PER>, ‘<더 스튜디오 케이:POH>’의 <홍혜진:PER>, ‘<오아이오아이:POH>’의 <정예슬:PER>, ‘<하상백:POH>’의 <하상백:PER>, ‘<딤에크레스:POH>’의 <김홍범:PER>, ‘<라이:POH>’의 <이청청:PER> 디자이너가 패션쇼를 선보인다.
젊	젊	VA	O
은	은	ETM	O
층	층	NNG	O
에게	에게	JKB	O
_	_	_	O
인기	인기	NNG	O
가	가	JKS	O
_	_	_	O
높	높	VA	O
은	은	ETM	O
_	_	_	O
‘	‘	SS	O
비욘드	비욘드	NNP	B-POH
_	_	_	I-POH
클로	클로	NNG	I-POH
젯	젯	NNP	I-POH
’	’	SS	O
의	의	JKG	O
_	_	_	O
고태용	고태용	NNP	B-PER
_	_	_	O
디자이너	디자이너	NNG	O
를	를	JKO	O
_	_	_	O
비롯해	비롯하+여	VV+EC	O
_	_	_	O
유럽	유럽	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
주로	주로	MAG	O
_	_	_	O
활동하	활동하	VV	O
는	는	ETM	O
_	_	_	O
‘	‘	SS	O
허환	허환	NNG	B-POH
_	_	_	I-POH
