## 1
## 패전일엔 ‘가미카제’ 비행장 방문… 한일 우호발언 하더니 극우행보
## <패전일:DAT>엔 ‘<가미카제:POH>’ 비행장 방문… <한:ORG><일:ORG> 우호발언 하더니 극우행보
패전	패전	NNG	B-DAT
일	일	XSN	I-DAT
엔	에+ㄴ	JKB+JX	O
_	_	_	O
‘	‘	SS	O
가미카제	가미카제	NNP	B-POH
’	’	SS	O
_	_	_	O
비행장	비행장	NNG	O
_	_	_	O
방문	방문	NNG	O
…	…	SE	O
_	_	_	O
한일	한일	NNP	B-ORG
_	_	_	O
우호	우호	NNG	O
발언	발언	NNG	O
_	_	_	O
하	하	VV	O
더니	더니	EC	O
_	_	_	O
극우	극우	NNG	O
행보	행보	NNG	O

## 2
## 공식 시판일은 다음달 24일. 1차 출시국은 미국 호주 캐나다 중국 프랑스 독일 홍콩 일본 영국으로, 한국은 빠졌다.
## 공식 시판일은 다음달 <24일:DAT>. <1차:NOH> 출시국은 <미국:LOC> <호주:LOC> <캐나다:LOC> <중국:LOC> <프랑스:LOC> <독일:LOC> <홍콩:LOC> <일본:LOC> <영국:LOC>으로, 한국은 빠졌다.
공식	공식	NNG	O
_	_	_	O
시판	시판	NNG	O
일	일	XSN	O
은	은	JX	O
_	_	_	O
다음	다음	NNG	O
달	달	NNG	O
_	_	_	O
24	24	SN	B-DAT
일	일	NNB	I-DAT
.	.	SF	O
_	_	_	O
1	1	SN	B-NOH
차	차	NNB	I-NOH
_	_	_	O
출시	출시	NNG	O
국	국	XSN	O
은	은	JX	O
_	_	_	O
미국	미국	NNP	B-LOC
_	_	_	O
호주	호주	NNP	B-LOC
_	_	_	O
캐나다	캐나다	NNP	B-LOC
_	_	_	O
중국	중국	NNP	B-LOC
_	_	_	O
프랑스	프랑스	NNP	B-LOC
_	_	_	O
독일	독일	NNP	B-LOC
_	_	_	O
홍콩	홍콩	NNP	B-LOC
_	_	_	O
일본	일본	NNP	B-LOC
_	_	_	O
영국	영국	NNP	B-LOC
으로	으로	JKB	O
,	,	SP	O
_	_	_	O
한국	한국	NNP	O
은	은	JX	O
_	_	_	O
빠	빠지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 한편, 누리꾼들은 2라운드에 진출한 가수들의 정체에 대해 추측하고 나섰다.
## 한편, 누리꾼들은 <2라운드:NOH>에 진출한 가수들의 정체에 대해 추측하고 나섰다.
한편	한편	NNG	O
,	,	SP	O
_	_	_	O
누리	누리	NNG	O
꾼	꾼	XSN	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
2	2	SN	B-NOH
라운드	라운드	NNG	I-NOH
에	에	JKB	O
_	_	_	O
진출한	진출하+ㄴ	VV+ETM	O
_	_	_	O
가수	가수	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
정체	정체	NNG	O
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
추측하	추측하	VV	O
고	고	EC	O
_	_	_	O
나섰	나서+었	VV+EP	O
다	다	EF	O
.	.	SF	O

## 4
## 정용화는 침대에서 일어난 후 의문의 은색 구두를 손에 잡았다.
## <정용화:PER>는 침대에서 일어난 후 의문의 은색 구두를 손에 잡았다.
정용화	정용화	NNP	B-PER
는	는	JX	O
_	_	_	O
침대	침대	NNG	O
에서	에서	JKB	O
_	_	_	O
