## 1
## 10일 서울시의회 도시계획관리위원회는 6억 원 이상 9억 원 미만의 주택을 매매할 경우 거래가의 0.9% 이내인 현행 부동산 중개보수요율을 0.5% 이내로 조정하는 등의 내용으로 관련 조례 개정안을 의결했다.
## <10일:DAT> <서울시:ORG>의회 도시계획관리위원회는 <6억 원:MNY> 이상 <9억 원:MNY> 미만의 주택을 매매할 경우 거래가의 <0.9%:PNT> 이내인 현행 부동산 중개보수요율을 <0.5%:PNT> 이내로 조정하는 등의 내용으로 관련 조례 개정안을 의결했다.
10	10	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
서울시	서울시	NNP	B-ORG
의회	의회	NNG	O
_	_	_	O
도시계획	도시계획	NNG	O
관리	관리	NNG	O
위원회	위원회	NNG	O
는	는	JX	O
_	_	_	O
6	6	SN	B-MNY
억	억	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
_	_	_	O
이상	이상	NNG	O
_	_	_	O
9	9	SN	B-MNY
억	억	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
_	_	_	O
미만	미만	NNG	O
의	의	JKG	O
_	_	_	O
주택	주택	NNG	O
을	을	JKO	O
_	_	_	O
매매할	매매하+ㄹ	VV+ETM	O
_	_	_	O
경우	경우	NNG	O
_	_	_	O
거래	거래	NNG	O
가	가	XSN	O
의	의	JKG	O
_	_	_	O
0.9	0.9	SN	B-PNT
%	%	SW	I-PNT
_	_	_	O
이내	이내	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
현행	현행	NNG	O
_	_	_	O
부동산	부동산	NNG	O
_	_	_	O
중개	중개	NNG	O
보수	보수	NNG	O
요율	요율	NNG	O
을	을	JKO	O
_	_	_	O
0.5	0.5	SN	B-PNT
%	%	SW	I-PNT
_	_	_	O
이내	이내	NNG	O
로	로	JKB	O
_	_	_	O
조정하	조정하	VV	O
는	는	ETM	O
_	_	_	O
등	등	NNB	O
의	의	JKG	O
_	_	_	O
내용	내용	NNG	O
으로	으로	JKB	O
_	_	_	O
관련	관련	NNG	O
_	_	_	O
조례	조례	NNG	O
_	_	_	O
개정안	개정안	NNG	O
